,Job Title,Company,Location,Salary($),Job-Type,Job-Description,Raw_Link
0,Technology Strategy & Advisory Consultant or Manager - Infrastructure Optimization and Modernization,Accenture,"Cincinnati, OH 45202 (Central Business District area)",Not Provided,Full-time,We are Technology Strategy and Advisory and we design and execute industry-relevant reinventions that allow organizations to realize exceptional business valueâ€¦,https://www.indeed.com/rc/clk?jk=39647b82a28b0a90&bb=MQLJ-5pE_g_7QA5DNMVvTl-Z6b8fdgTqy4f0YORduvco8UU9Yc3KzQLCx0rZsdJCh9TRdFATQceco7h3PjhBIx_XdclUKVG1SzwGHEAYQ99lem2_Fh6MQQ%3D%3D&xkcb=SoAg67M3-F9XvfyU9R0LbzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3
1,EPA Postdoctoral Fellowship on Machine Learning Applications for Lead Service Line Identification,U.S. Environmental Protection Agency (EPA),"Cincinnati, OH","$71,984 - $86,279 a year",Not Provided,"Desired background and/or expertise includes data mining, statistics, machine learning, computer programming, artificial intelligence, and mathematics.",https://www.indeed.com/rc/clk?jk=bde58293827c8138&bb=MQLJ-5pE_g_7QA5DNMVvTiA5vsJtkVaLhyhscBnaXji1yTq-HFs9iMMhTaLdjNb1j8m6ZeqQTs7Vw333ajZOHV6Caut3PUMLASFp6TL6vqWnUwBJCU3VTkCoK13fNKjC&xkcb=SoCU67M3-F9XvfyU9R0KbzkdCdPP&fccid=c04c7b1b607f1cdc&vjs=3
2,Life Sciences R&D Consulting Drug Safety Senior Manager,Accenture,"Cincinnati, OH 45202 (Central Business District area)",Not Provided,Full-time,"Define use cases and business cases for applying modern technology in the PV space, including digital and applied intelligence.",https://www.indeed.com/rc/clk?jk=d7372bef29a031e1&bb=MQLJ-5pE_g_7QA5DNMVvTnbeEnIfvm7aalpIH1Taq-pNMOiMhQL511z3k-QC-0BSRAwNZb6UZwG8whh74NZ7rbzl2sjVliM4NS9hg1RBso8LMUF9eMvBAA%3D%3D&xkcb=SoAJ67M3-F9XvfyU9R0JbzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3
3,"Natural Resources Industry, Consulting Associate Director",Accenture,"Cincinnati, OH 45202 (Central Business District area)",Not Provided,Full-time,"Lead client engagements focused on digital transformation, operational excellence, and sustainability initiatives.",https://www.indeed.com/rc/clk?jk=9e94fbab1962164a&bb=MQLJ-5pE_g_7QA5DNMVvTrYP0c8HW8A43nX2LVg000m-gWB2GbxL7kHFuLeldjS-wFqKaX9FPOIDhxQe29UJ0aMBDPMI5h9nNdHm0XA4ZFNO2EazNtq8Zg%3D%3D&xkcb=SoC967M3-F9XvfyU9R0IbzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3
4,Executive Office Administrator,NaviStone,"Hybrid work in Cincinnati, OH",Not Provided,Not Provided,"You will be responsible for providing high-level administrative support to the executive team, including scheduling and managing meetings and travelâ€¦",https://www.indeed.com/rc/clk?jk=46f6d75240ccddea&bb=MQLJ-5pE_g_7QA5DNMVvTlH7e76wWz35-sc1rciwnnsXhQ9o3f2bZ5PVsfA9rQ8pYwuuUq9D3Mrs2k-RyKTBO3yeaPvL8MUTaXs4ir5dINJdfc_xwN4qHHWh7syhxrIQ&xkcb=SoAz67M3-F9XvfyU9R0PbzkdCdPP&fccid=39494ee8d8006001&vjs=3
5,COLLEGE CO-OP WASTEWATER ENGINEERING (Watershed Planning/LiDar),City of Cincinnati,"Cincinnati, OH 45202 (West End area)","$32,760.00 - $46,113.60 a year",Part-time,"Ability to utilize artificial intelligence and algorithms for use with analyzing video imagery.
All applicants should have availability for work scheduled 32 -â€¦",https://www.indeed.com/rc/clk?jk=235b1ec0e1ca0453&bb=MQLJ-5pE_g_7QA5DNMVvTgnGAmnMLfKzjQeWW3BZSD0nxsOkf6I0iD8ffwfjM6IrEl_RaSHUH4-5JWgHN8EZZ-DqG2f7-FbVmjKtNm-PLqpAofsFrrtuOYVKhgPMRfK5&xkcb=SoCH67M3-F9XvfyU9R0ObzkdCdPP&fccid=79d6146c220f0a50&vjs=3
6,Assistant Vice President â€“ Indirect Sourcing,Genpact,"Cincinnati, OH",Not Provided,Not Provided,"The ideal candidate has a strategic demeanor â€“ specifically, the ability to bring together industry data, business requirements, regional perspectives, andâ€¦",https://www.indeed.com/rc/clk?jk=a629bb567634199d&bb=MQLJ-5pE_g_7QA5DNMVvTkgxLGgcwN1kkaXbE6JEzirl_0C0Fh1Pc_7FWfkZBRd688-REDHBSDetuHrjG--vumBMXbRX0kDj73ilpOEk0L94TT1xsb7xOSl8KcbQ9669&xkcb=SoAa67M3-F9XvfyU9R0NbzkdCdPP&fccid=afe30394bfba1470&vjs=3
7,"Product Manager - Smart Audiences, Integrated Media Solutions",Procter & Gamble,"Cincinnati, OH 45202 (Mount Adams area)","$105,000 - $150,000 a year",Full-time,Owning the relationship with our categories to understand their needs and recommend audience data strategy while helping implement end to end.,https://www.indeed.com/rc/clk?jk=4e01fcbccb7119ab&bb=MQLJ-5pE_g_7QA5DNMVvTlMLONQm30u0aC1ldrvjBYqAbi9KAzQ_LY7X6R2msOLXLTdm60CJWzpu90rljXnomV5v8lG0e6oVudah80uCcIiyeD0lj4HVJw%3D%3D&xkcb=SoCu67M3-F9XvfyU9R0MbzkdCdPP&fccid=2da0dedf6df97194&vjs=3
8,Experienced Scientist - Large Language Modeling,"Medpace, Inc.","Hybrid work in Cincinnati, OH 45227",Not Provided,Full-time,"Integrate artificial intelligence to support a chatbot feature to interact with the LLM.
You will collaborate closely with cross-functional teams, includingâ€¦",https://www.indeed.com/rc/clk?jk=717f1cc98d2d6e7c&bb=MQLJ-5pE_g_7QA5DNMVvTvlVPgMe-ePR5mar8YENqEunS-Lb17nB4ADxMkvKp6PtxFin3nUUXhBwGG2e6pXYDQHMkO4UIOROJEXoSdi7f97uo2iYQbOpCnNlF8gRsESr&xkcb=SoBH67M3-F9XvfyU9R0DbzkdCdPP&fccid=dc86b41d5cdf3527&vjs=3
9,"Manager, Category Leadership, M&B",Campbell Soup Company,"Hybrid work in Cincinnati, OH",Not Provided,Full-time,"As a member of the Meals and Beverage team, the Category Leadership Manager will support Kroger and/or Albertsons using point-of-sale, loyalty and shopper dataâ€¦",https://www.indeed.com/rc/clk?jk=0a052401a0780cf3&bb=MQLJ-5pE_g_7QA5DNMVvTnojBpczESXKZLpcvFOi2HKqmSmFWnV4qb4w--i8TnTKBoC-RsoPF_OG1Y_Z2U5cOuom1ZVYz0TEiQ74PIelZugoRsh0gsldTw%3D%3D&xkcb=SoDz67M3-F9XvfyU9R0CbzkdCdPP&fccid=76c7d9c9adef7d87&vjs=3
