,Job Title,Company,Location,Salary($),Job-Type,Job-Description,Raw_Link
0,Expanded Functions Dental Assistant,Dental Care of Fairfield,"Hamilton, OH 45011",$36 - $39 an hour,Full-time,"Plus weve got the cutest office puppy youve ever seen, with cuddles on demand.
Placing and adjusting composite fillings and buildups.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BoOPnfKNE7m5f660-aTZCTl_yS0-j0qe1izpblM2nxZvq2Z4SpS69lP4Al5I593e0165_7braAB80_VLfyMfG5sQdVnaIG1JE7-gQZiVaVESXeasEFrYpLCvLb0cwkxGB3AuDXOe_sNgjPpeGHZhS9JJD0AaLHlIPhNjTLKHkfdCdx2YEfDPvGrK5TYXTQ31usd6u5w9fLTb-1U72munjkkjIfJGC44g8O_yC23ieGYjj9h2ynnD_ee3THaMOExdJrUHp8C_AEOzC8clPQ-VkNEf0zzGgSqT9qcko_WhaDpn4uiltAt3KVQpmK4_6_J2Xhq8Zm1ieBSpuUqFup_iTIj9xz1OdNpl0Ijttd08BC0zwdsneLZPolvQWtH3wLQMFN9sJOrSI3qaIigHH0YhcJGVWmqJlu7reBadcRy-Zt8m-_VJlh-m-uBDCoD3GSUCEzFxQh9OsNIz83KNpStWdSLQTJ_beWoXfj6m4Au_DRVbMc9nrdXl8PLCZ0o34VTvxjEE66zwqFs4FsDcjAVSgQ9Vywc489yOx1wfKsq3p89FI3RWwETUWVcTERYYEYDuV3w-0aVZAPa5bEtES-NHwb2qb1mQAaujv0Um6HScKhZhlYPwQjE0Bu9lREmFJbLCFJpjFm3p8rN6hSGVe5S5fyCud8Tm8unuJC_1bZr-0dzsUdMo8PA04ijYhL4yIFQ5c=&xkcb=SoDd6_M3-F9-eqwiNJ0LbzkdCdPP&camk=nUmJqO2E8rg3NEAFCsRZKQ==&p=0&fvj=1&vjs=3
1,Data Engineer II (SAP),Archer Daniels Midland Company,"Erlanger, KY",Not Provided,Not Provided,"Data Engineer/Analyst will work on designing, building, and implementing a data foundation to support a strategic analytics project that drives strategic growthâ€¦",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DVlfsYqj6uSOttgSs6lrtrWfsSQ0W0ZovjeZ4JSZxeMM4o63VxLWKiM1XUuxFENXwOFe-ac3iuq40SSceTRDgaJCdjnhLZkN_9lFMVEvfItgcB-PlzD21RwR6wGINTmW3Ce0hFUKPlUyl71sAmDJ3TtNNwEODT76Vusno-Kg9tfCqnZHLu0ug6mv3HLBT0-zwMJEIxJnczJNkWKCVM5u_l2_b6gVZHrSFpkLGqGuVuMUtw5AvngKkbneSvhEaoN7Y9yoaiMCcR0ld_Z_jnjFxWf0uum01PuijM02M85CPItcaiBP2V8AgtwHonP265felCaFyKy4uecX14BJO_FR2ZWYGKP3vYUnu96PN77eDPlPI5ffUGnTSZyRLFCh63Du4dTvkyVLTslDBNi6QmxM0YsEFaIeYzFj_Iei66U3a-rm0y-ojfv5oUlFdWyoflOluET2y1SYX-YfamARUSc5WtTMcEWURO3sycxwL4nWysFpOCn1Ti9VZLm6dcQ8gd-X4bdwY-AbEIxfSucfd-ly2XekRGBHVmVqVqbPDvaqf-ppMEuW5uVuyefnIMN5nCU6hWVMc07linJO40uLOD9TMlrCLnlCuQjP0BiI8J2rC7T10TfoziRqM8QIGjh2FncH6XGjdRsBxK71ThML1unnXDyDqafMrs-EecVOJzVmfFIvNA3XIelZk2_AzfvSSec6BSwbx_3aGSftH5tnI8YgDjzdMz-om4kZEszR-d6rCmnDRYQ6KTGmGIPrtV7OJVL4EZ9-ZJT7FVwqgDIzZUTHmA&xkcb=SoBp6_M3-F9-eqwiNJ0KbzkdCdPP&camk=G42KULXkIwOb9jXV6K66FQ==&p=1&fvj=0&vjs=3
2,Industry X - Digital Manufacturing Solution Architect,Accenture,"Hybrid work in Cincinnati, OH 45202",Not Provided,Full-time,"And when it comes to problem-solving, your creative and analytical abilities shift into high gear.
Produce attractive, cost-effective solutions that willâ€¦",https://www.indeed.com/rc/clk?jk=7c401944c83877c2&bb=q1jAV1pDt7y1cszrXM0KrxGYaQFuwxN2lt1jxfMEfbtShC4GJ23RiYsOMP0Z4B4VVtxjSdBDhkX745lp62-LlsIalPUyxADn1bO-1vBSn2q1SGfWJojzCA%3D%3D&xkcb=SoAA67M3-F9-eqwiNJ0JbzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3
3,Pulmonary Biology - Assistant Professor - Research,Cincinnati Childrens Hospital,"Cincinnati, OH",Not Provided,Full-time,Cincinnati Childrens Research Foundation invites applications for an Assistant Professor position in the Division of Pulmonary Biology.,https://www.indeed.com/rc/clk?jk=f9a83f88250f333f&bb=q1jAV1pDt7y1cszrXM0Kr9QYuE2AJree1H_sZddDYpCa0EiSF08GEAw5M9O7iShuTWgnOaWskZJcap-8xHhl4dD_MCMnOytP2dSICKtBrgDaqdPqC8gBhHBmWpaIsqbE&xkcb=SoC067M3-F9-eqwiNJ0IbzkdCdPP&fccid=1cf1d6e36473c700&vjs=3
4,Intelligent Automation Portfolio Architect,Great American Insurance Company,"Cincinnati, OH 45202 (Central Business District area)",Not Provided,Full-time,"The role involves working with the Great American Divisions to help them define both tactical and cutting-edge solutions using Robotic, cognitive automation, AIâ€¦",https://www.indeed.com/rc/clk?jk=223239949c9f5b17&bb=q1jAV1pDt7y1cszrXM0Krz-GeH5fKVSbXKUbVHiZ4LfeDh8YzmNGi3TB4mkY-GRwEb_f6XwH_Adx2oAx9r-rmy2qRLaCPV4Tk71nBM-gwS_TbDRrmtASgg%3D%3D&xkcb=SoA667M3-F9-eqwiNJ0PbzkdCdPP&fccid=11e7471668f88afd&vjs=3
5,Marketing Director,Dean Dorton,"Fort Wright, KY 41011",Not Provided,Not Provided,"Dean Dorton is seeking a Marketing Director who will play a pivotal role in continuing to shape our brand identity, expanding our market presence, andâ€¦",https://www.indeed.com/rc/clk?jk=65eb5f0a5df9a99f&bb=q1jAV1pDt7y1cszrXM0Kr0VaeVJk4S-5K1vbimSWAXgvSsxc9PMppR5R-vnybSMu0VzNJKvE8h7-MoApb8V82t5QY7eGA1-AiGPy0XS0ntmZLOGR3zjvJYRiff4r6T2F&xkcb=SoCO67M3-F9-eqwiNJ0ObzkdCdPP&fccid=127b57be5b87155e&vjs=3
6,"Manager, Contract Lifecycle Management (CLM) Reporting & AI",Deloitte,"Cincinnati, OH",Not Provided,Full-time,"The CLM Manager (Reporting and AI) utilizes their experience and expertise to establish, maintain, support, and enhance the US Firm CLM tools and products toâ€¦",https://www.indeed.com/rc/clk?jk=16c5ffd5977d5193&bb=q1jAV1pDt7y1cszrXM0Kr-2Vz1pBQpwyXDZFNLA-Q7uxjO-fwfZR1pn2CoFdg5rPVUFyncbT7hCNRWUAsI0_kzcX3NV69zsfas3tWX9KRBWg_10eQmuwdA%3D%3D&xkcb=SoAT67M3-F9-eqwiNJ0NbzkdCdPP&fccid=9e215d88a6b33622&vjs=3
7,Microsoft Dynamics 365 Senior Manager,Deloitte,"Cincinnati, OH",Not Provided,Full-time,"Customer & Marketing is creating a new model for a new age-were an agency and a consultancy.
A Microsoft Dynamics CRM Senior Manager works with Microsoftâ€¦",https://www.indeed.com/rc/clk?jk=6c2ffb12eb326eae&bb=q1jAV1pDt7y1cszrXM0Kr6jDJ50GJsYg4zqbiQmIvc4LRDrsDtKbefJBQS-ANV0-mJJv6VPaCa4L445BvvkRsVICCd43R9YGeFcO_tlSwtJLEt9WvM0UIQ%3D%3D&xkcb=SoCn67M3-F9-eqwiNJ0MbzkdCdPP&fccid=9e215d88a6b33622&vjs=3
8,BPO Solution Architect Senior Manager,Accenture,"Remote in Cincinnati, OH 45202",Not Provided,Full-time,"Developing and maintaining a keen understanding of the health industry, marketplace intelligence trends, competition, emerging capabilities, analytics, toolsâ€¦",https://www.indeed.com/rc/clk?jk=6e939525aab38a7b&bb=q1jAV1pDt7y1cszrXM0Kr8pXIfNFPuiA1XpWGEfVaAhFkK3hG0fR2LsmyNOc46VZhBtuEeZkp-JE5ni_oYVDYXpG6vj7LZ6bisEPbKPyZSFV_dWLhgr9ww%3D%3D&xkcb=SoBO67M3-F9-eqwiNJ0DbzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3
9,SAP Finance/Group Reporting Lead,Accenture,"Cincinnati, OH 45202 (Central Business District area)",Not Provided,Full-time,"We even built myConcerto, a mix of SAP and Accenture that helps lead our clients to big wins.
Build SAP ERP technology solutions that transform clientsâ€™ Financeâ€¦",https://www.indeed.com/rc/clk?jk=3c86ad20e1770742&bb=q1jAV1pDt7y1cszrXM0KrzPFjbEiJUd3t7KdByay7t9FZMvsYWYPJWYbHzE-7Jq09P5d971gGvPRFoL6HUZPcTEafmR4r3JDvT32pI9xLwxmyNGrqy1cgA%3D%3D&xkcb=SoD667M3-F9-eqwiNJ0CbzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3
