Job Title,Company,Location,Salary($),Job-Type,Job-Description,Raw_Link
Computational Chemist – Director / Associate Director,Klein Hersh International,"San Diego, CA",Not Provided,Not Provided,"Our client is a small molecule drug discovery company, employing tools from chemical and computational biology, in conjunction with precision genome editing…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B6r0MQM7tzlXsAiVFnhMI9dYL5EKq7SUYTGwVfYdsqRfNB59_EbA3aV4QNf-OGGSPru8hLsTKTHV9EUPZzQngUgWEKl-mOuR-UQtr14B2qeNuSGhjWR4Q717mtn83TbAJ35E5V_-jMt4z6JKxNTrSafGPpASiPYm_G6tRJoO_e4rz60m7obkb4mRrOqoqH_VQc1BjjF_eNDfnZNmpKXm7LT41YgYE4i6I9db-BaoPfb4wf4Q1b-U3MLdhGJfzARPruLnLq95PUhsRz-QSHZaBX27PFydVMZUssBL-EbVmU0k8Tj3aal_7QuXmHDosOacaTLp_hXmxAfPItlAOLPU6t79l73mbPeYGJPbQTBRwGj91j0kvJdYEyLaQCRjNspYHHQtLIELZEjF0r6onuo7VQngsZWaqfnpdOZLnO-LtwicptGkOjxnpY43Phvv1Dg_oGeCTD9wyjMio3H04NogW3ol3Q1CXouIj4IeIbR2GlGx-MG5kaR6irV7cOPNY_YwVnF59eH6xZGJ0Y2yUOnrTlN2pOLmya2Lr3IrjK4kpNFtB9qX4g6uuYX-jcfYuFXVU_pt8GVbo1jl0nZrTBC_oaFCfKy4K0niR1gxjDTFNxr7YILVLBdGQnhytFSRTTx8tPRzkMNQl0nZ2-coHxSsZmzl1moG0UdYKdjLRrsFSG_62ycoel_4Ejh5c8zTk3D9NZImvQ79wyGvAySVJ2qoafiOANZWRxyKqyWG4vME1EYeYWIqULe8Nw_RqrIjfFsWdz50irw6Bm5Mp6LmgtpAjoyTnKjxNWP_YxOFKoG9AE4GRmCwzu7vQaoIocOps855WA8FQroWNKaji_gvx7IJgu8waaDJc4oasNnmlirqNvdcSkZ1fE7vwU5WqR43a_ITrc3UQSGIFBgYN5yfzBYsFVw1BzceISE6eYa7EMSjmTySkb7ZZHHmx-&xkcb=SoDr6_M3-seyAhapFJ0LbzkdCdPP&camk=cvIYj4HMher8wdyPi4MMng==&p=0&fvj=0&vjs=3
"Director, Analytic Services and AI Integration",TMF Health Quality Institute,Remote,Not Provided,Full-time,"Experience launching technically complex programs, projects, or related work that include the following: big data, analytics, artificial intelligence, and…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ayfsi7bZwdEINvSTe2ayB8wzNrs9wlIq4i_fpG1GWJ4rl6ATpPY-nGDmYW7v3F8MpN17USMxm-uF5DbUSqYs1bLkBbPUuw03OsLeWJpxCgT05_gNzil6ofYMeiQHm3ZW7vDgpwFhwLgrymBOawbBSrv1tx0J_NO2pFBWnACl0Aat1oGSzxdOaeH7YjmBQE1UeQqRiXsgZqi_ud4blK7d42S_1L0t-FXhiC5oZZAJxY_ZR9hER7k2_2mh3cg3zVrtw5oI26lqupqjHQgmr6ak7kquib-r2CpggJfxtAfXRVAbRP8vxCHMBc7StzpTr5pW0ptEMYV2JDp2Yhy9bL_gzPnT-TKIC0TyT2S1RdTDWAkeLtNHxUj3h8cLe_5lNjvhn-sEqcNbzUkR_FGbwd9op-H8qnUXa1r9VVpP3cOg_fhoLP5YQ2pZjvRHEHFGayP4DrgCmQItn7Y62GNrwDV-CYeZe6P-Wz5WFWZ9gKgLsc7LHkSZpEAcyX-z1c5oe4rpmxR8zy9IXQ1w-luXMz3SV2u8BWy1p3BvUbwrjaEtmGI0SUHwqkaaJ_2V3eVlP_F7uJd1NrdhbB9McsF8vAJ90G4J9LYZh2ujh8Vc-47tPyTUXpR9PB29erVx88P1SKroY=&xkcb=SoBf6_M3-seyAhapFJ0KbzkdCdPP&camk=nUmJqO2E8rjeCqh1OdSp3A==&p=1&fvj=1&vjs=3
High Ticket Sales Closer - Sales Rep (Remote),Woosender Inc,Remote,"$84,000 - $150,000 a year",Full-time,"High Ticket Sales Closer - Sales Rep (Remote).
WooSender is a rapidly expanding SaaS company, co-founded by two marketing experts aiming to merge business sales…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ALAoJWNfCWsiK9KMaK8O7awlCaKA_AulsykHeUQgdUEqhuG8Jz3k_zY_Uen4425UP_suDhejvGBXiFRJLKr3wIhf5NHQWkIIHOvIxSSVhyVa4OZs8I_k6gjHuBSweYR6fNkIOY6IKt6kctCErrpBUc_Gy2eSCh87VMiEFqE2qiMlXAhiMVIG25naVB6gxNoBNsjICH4WV6w1LVRILjqTV5kZkKvw8j7ZdqLlukas7Ku2sWi_XxrzrqIhwXNdI2dVjP3bqLlrZ2l2k-c5oCY1moRIR3ajdoGAkStSS2r9dH6smv0q319wnUJcJqeX1yCeuIjes3AbhTxs-MDB4MWaqbb_r9v27k0w1xfLq7i6PxdP92hSSngG4vMgDbUa_v4ehrrlCiks6_s4qy9N46klXWyJyFPvX5-30RKqNsG-6wVy9BFCVy2qzg1Q5Xy3qSfgvqzruT7Jwx9pCnXNE_p91tXGPnafr6_6lIPCIuGwFn9HQmu5zbNdy7PBy2ARoVOCpAilK43ZCMC0S67o37B61fjG2n4m3GC7G4qEGoGpTZCiQPRj7QGYE8PgnYNTK1galmDOqlPwezHG-TpqDxfK8jGCtVPvawE_7TG8WrIlN_26oVUIBR5OjOONB5_8Ld1BhzU0akAia_OwODkcqQsm7XEOa9kr17NK2SyzuprpJ9G-BpWo3U0Em3&xkcb=SoDC6_M3-seyAhapFJ0JbzkdCdPP&camk=4HOcmqOLYrCKgOVOGV7sTw==&p=2&fvj=1&vjs=3
TARS - Machinery Maintenance Mechanic,QinetiQ,"Marfa, TX 79843",Not Provided,Full-time,QinetiQ US is seeking a n experienced Machinery Maintenance Mechanic with specific experience in supporting Telem e try and Control operations to support the…,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BstQ1cHHlvfYhSwKW5jdz4zt04CF6fXBYCw07jciM2M5tVknVIitWGkINCdTcrGiE826ZcqmeCiySP3RicK5RxbJ6wJVZnTZnpD9QCG2sJHtzPfF50hAMEaABP5ksIooWVw4Vq8xYQO2QYDge0FS2XzDOjROi3dbux_WgawxBpo9DLFA4r2yjg3mplM0dCHy--Rxl8JZdlb88goNFoOtBjmnpPoS0oyXV4mQzEV3yYecPmLqdiTUXdN0eSJUq8MGb1DV-EJUYYWOnepho8ZoCYSnzs1corLQMLkIl3z4DKKB8KJ-6s9eUxZwnw161iK3wA21g_abfnZNcGt6GMdpfwbCeMmjspzXZH-8e7otVGNPNlVekUuOxpRgF6UpR338K8VYhYhTKJnbBbAU4V1V_9tzCHUAAipiwJVux1tMKTxwMkglokvOOwvaF67UOStoGZ31DkNXnbCNTm2WX88WZxedo5uYOHN39wOVM6sJ6bzFkF77POPP1bI9ut0TJCSV2glfulM0eXdevwoWg6uQkjeoKqfClb8BlUdtBIarmjRDS0h0xRh3IBZlKamaZ6UgtWeKcr12LMeXzKyhXuhKtFEA9k9-0NbplT9HSMlKFOGa0Q1ZV_P4mZyM_R4SoOk2HOTgfPgPKvefrNd-aXRhO7gIgNPepjeQE=&xkcb=SoB26_M3-seyAhapFJ0IbzkdCdPP&camk=nUmJqO2E8rjeIqyXENpptw==&p=3&fvj=0&vjs=3
"Director, Data Architecture",Insurity,Remote,"$130,000 - $170,000 a year",Not Provided,"Be an expert in one or more areas across the Data & Analytics domain including data analytics, data integration, business intelligence, artificial intelligence …",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C2YNyQh3GFAwQ-dyuiZmvfa2S_250bNGRBUZFpswMPsXcMcw7j4OwuCwot0f7_3CStRURn2rH6RIsPv2n_opzri3-SW-kBZWpnuWDMFtD6yoxAjl8mCzKN-s38AUrUYnCJ3h-gLqH4HW7WPh67rIvbGbFHUkdTMjGM23eaVYItdvqUIj-TolI7SoaqF9D-VuJ7UJJPY_RhYB5x1WWqvzpbVVMwsEt8y_xqiFvtFX4lQK-LpiGjy1Pgvz8emhFxGdmUlVDV4X2bfXX7ebSK9PXiTkrdJc3IW0eM47LeMbbM9bB-QFtE3GnOqgnCKXhZWqEW7uEY2gw-2wfYOKkrz9BltZpSd-hFVL9da5ZcGhZkDFuUHntmy-hzkB0cE0T8IR9ZtHFj-oqqrJh3vU7UCKsjm1or2ECC11cvJHapnI8A52P0Sm6T5dkcpUlpBPbPpa1fluMnBSQtN1nWZL6WP314kSuPkC4_3KAKso-2b2ID7uHaKs-ak5TXZb2KFcs-nVW6_Qyra_WsxU4i76x59H9fP0jH_Nd19XfU41KPLr4dMFZMqG1ZZv7h5eSqs1CMTUiQP2W-uHs7eoeIE2Z6_-6dWV97_Frnm52euNgST4XTBk4nzQ8PQ1l1guQCpiKno7hcKbXlugm5Z0plBczC9i4-VnlpTEbPU7Zlg6ivfXl-vtFFaxBayUxl&xkcb=SoD46_M3-seyAhapFJ0PbzkdCdPP&camk=tQsC0y0u1Lr3wSThIsfJ4w==&p=4&fvj=0&vjs=3
Security Engineer,DerbySoft,"Dallas, TX 75254 (Far North area)","$70,000 - $132,000 a year",Full-time,"The Security Engineer holds a pivotal position within the Security team, actively contributing to the design, implementation, and monitoring of security…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AaHXs3Vl_q9TVbYax1WnGNSNJsztRyof9NWE-KxIEEBsmZsHUwk4MOaPIumZk2Xv15Zshcf4FgnQ-mlYhDEBShj9doSVjSYFE6_QXvb1ryfRiskv-Ilps3X3ChIyof9veWvxEDfyE-3NJeTdvT6od4frTkI1X9yIrONa-cw2J6JJ403zWxxHEYjdrYai33ecInczQkOh5N44HPrqOI5Fo6aMcKZPK-Op9okntF8Q4OTPunm7DIDcD2Oay1nj5eXFZFCiNGXRO1cSgY76PxYv3n7UUUcR-4Rd3xeUZ2ZpLH1_9D11oZxiZOIwGLa9t5FBjDePsirE6VG3UdC6109PlGAcAml8w_-gJ-PrmEruWMxR2MGsohFGHRocH40RHa1YroB8SxvnZb-e9ZW3OSprwzMyo2AMM9zDWoO_uNuTf4rHa-UOtykl2Jl7E7KPXSAROx6SiF8v1kaK42PsA76ub7XxZB5GzegqbWIun0q6UzztJtsWQJZ_N_d5PTNvXtpZdjjLWJcXXJCefBMktIUvZckw7aBekA7X2SVSSAuKw0H30CUvAsfKIunOjQLH9TUEQc9j_WL7wFJgnBg2koevbP_c_mrXPKmENSPNd490sqPT91_5KzOdlpPPsttXyUIyoAsKVlF4m9YMX08zXJTE9457vmt5-lC9r-nqK95Nb1USIL_0NGhxUIXoiMzdigdP50G0mqQ2-Z6K7sZo3whyOGjImbjkQzvDMjfgGxLz9UVjVE4XVbP0GrCnlkSm7SMgYhG374xCNqLrvFTq7HN9ADUe-ZSe1gC2A5L3RKA8X7rVMfRj93iVv79TTko4V8IxvwmSGdgTdcAMIk5gOBVUgzSJqvvNcuUnjca_mwCOanld3A9a9GKC_lhmNejsuJq-XnOwbxmJg2BBUyuf_OO0IsF3czk2dSb4JcP0WYLkNWB0-fPTjth6y5gK0gnLR3u8I=&xkcb=SoBM6_M3-seyAhapFJ0ObzkdCdPP&camk=nUmJqO2E8riAxFHMtUlWjw==&p=5&fvj=0&vjs=3
Data Science Consultant (Hybrid),Securian Financial Group,"Hybrid work in Hastings, MN 55033","$84,000 - $155,000 a year",Full-time,"4+ years in data science or related field developing both traditional algorithmic and advanced analytical solutions to complex business problems and projects,…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BrLlW_ZcUuDJ6jZ6w7g5y0dbJg6hSE_bFUiaAMAdSUKjwRuLRuecyYddHAuiD33dF3fgdrBdDrh5I0vsCHp_fyV85t6e6yCx8pa0g5cU9mP-blZBaKHV3ZhC_AoSnFz0ql6jaFsLzLnQdZWUWzlwtjs3wBvPXEntTJnJVfAmU4YxSWdodpNJb1SSoCNttPiSv3yZ9NDAX2RQWEbtXwAjQzD0Er_3SxOoOyUmfviroZDlgIOHMun49-LbJJsUsDjX0x7Ydna5eN3KCQBAPcVHuIgAIwTUu3ygTfwIfJtFDhfEU0pek4uGpWMyIhHX7cgZOBVbxlWnbMTx1HGGCstW-b5IvuHRwREXzX3BicBfzTyga5XXbCzIrb397yRxDSITdHH2sUbQ-05DUMJA26vikyrnfOMXc1FIsNRVH-cUdf5OSExd1KXoTR3Fwh4zMoBhYrxwDjd2ouxPWM0t8jm3Pf8mVEjmRsC0cHFu0MmdX8K_yFDN_7ARi9fGWhmkcCOdvZnbzMOl7nT26P9FkBFlLVkyfRdrL271LK0cs8On3w-G6NFwrXvkaQkRkqZvSrD0UHAoCxC9Cn6TaJo34Vuu52jS484lcXPK1oe5ChCv2dj9Rex96xtoSdKikB8UTMSRJYo3VjuAUcrezTQtwF5JvG4D9qXHRxlNKWOovJ44v2v9X0NGpTS6oe5mmVsR2iG2bvRQBTiqbiKpe4crpdUWOvSGBX3MkvOI4zaNdCuhoCI6wGlBCe2IQnTizhjx2Mo2q1LtNLZuUV4QOR56vsDnLH49krsQmBs14Sz6R9VlScnl8A-glWezReahJvcBTh4063ZRoCmQDBCuUqWRxznIkSAh_4gBFmMLBMyKoV29vibptArioBEjLdtt8E332YVutTFKHMxstteguCNGqmphJLTnQ0h3udRvAgugzuH3fErAMBsYICdmiSlULdIDXy4xbvu30HUakGJt-7YjqKmjL70FDZQrqlDDo=&xkcb=SoDR6_M3-seyAhapFJ0NbzkdCdPP&camk=f416UQcMBpAMBHzhMBUx0A==&p=6&fvj=0&vjs=3
Sr Lead Software Engineer,JPMorgan Chase & Co,"Jersey City, NJ 07310 (The Waterfront area)","$171,000 - $260,000 a year",Full-time,"Demonstrated knowledge of software applications and technical processes within a technical discipline (e.g., cloud, artificial intelligence, machine learning,…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AF_nh5ZfsFsBmdMtl0VmSp3qr0hiO0v4aMZualv0QEXwqXwKBnae74ANmvVpQ0zTIo0E8R0NUGFvWpDdVsi5GsAN0IlkMZaqELi7KbZ5uyArz0x-zOHXsdgyzrzVJKr9aI1SEo9d_iO5F26hfEd-F4OmvyBxAZ_6I7FrXHbeWzor5lktWZsTS--DOFcuTd7DG3gtwdjfZdRlCU7jeeqaJjOBw1uVoTNoQPPNgTTJfktge51c-qNbdZ8lLNPUIkcRu3cHvxf0bPOp9dmRs291QHFRRYgngIn-zQEhBU3nWLzteGZhUe5HndUeubygQWuYQH7wKpFFhmiIURXX1IGsBlhg9xNooOIthUGPk62NRLvkR1VWreoxEZHj-hLQJvkmld3jOy2w46wz34WDtx72c4GJngVzalfPcblHSE6_328eR99jHI_div-3TsMucwv6vredNjWp8pU_pbqTj7BwF1WEFjxZs-2ltXAaGcWSh_F7Lk1pzfcdGz8VaDq0hEGpJ9stuGreCCNlAA4iomWiKknmEV7R31h7ygu_bYsUX6bn8Pv1CHlQ8AxHwo6ZVq6BY8bFmQ01zz91pjx1nPG06xLJSwlQ4Enn_rkzWp0As9JFTb4vnXaDoXgbdWB0wU2g7DrULJhNw7618TSRUEPBjKuU7gFagCSwA2UU6p3o9ZqFeGLCRTeWtUTWbVY7zut2mwDDgUuHOV-eZdDykYTlfki9D0WoudBjVG6gg0E19HEuRgtljEcgpV4pEz7YPJ73bTO6rED2T2pDO1rS2LSeXliAwvfA8M6_ZXCV6SZDUDjvINXhKY_OvDQaKt7VwMZlQ01e5U4cVCBOpqwjklyj-mDRV4JVqglqcTKLViemguocGWvB3AthssAxZ_4Iso2E-4o8UrXnjQ-rflE_Wgd-5-LvWxhFbYOZdnV9tEQDHYgq_8Z_KSxyd-RejK03DoOu_yfjWJTXtFFDWFrmI5l1a4JB79ZaktBuhXWXJLZPmDssvxSG9sqF3Sgn9m401jW0d5xeZNsy-6SGF87Iq3Iwm7iQ2EfskQgQ5tLf6zZKaFbVPTgFt5h3RRe0HsAqbUrHjnD5FgoQnFXoX2n4Ql3HbiWenI1EpX6oKUruNE8-LZIbVMZJ08pTi4IBjPDHFozgN1k5zXJrYtm9F7vwrwpu1lf6NCck0Mn1b3t3wS2wd4sZkUJKZodq-zO_na7oLnH6IBkYxc2QAqAXeZtJyyjIcKm6LFw8cnur4JfWc_dVeRyK6wNwX8fG8jLWTzROFH3JVxubryN7UWTYYzDYdKOMDsNGwUlFGBuMut_qU9Xuu-Hlbp8SQmz5rzO54ztJWUBozm5CU6NaoJgmbg6kN15MAy&xkcb=SoBl6_M3-seyAhapFJ0MbzkdCdPP&camk=4HOcmqOLYrBqfgxFuoal7g==&p=7&fvj=0&vjs=3
"Advanced Practice Clinician, Primary Care, Eugene, OR",Optum,"Portland, OR 97086",Not Provided,Full-time +1,"Flexible practice models include Traditional, Hybrid & Virtual!
Full-time or Part-time.
Average Daily Patient Census: 16-18 patients.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BWpgndjYL01xMr26yTqLCDFb3b3BUdaEwmMV3w6lpNxQlF9nfElD1_UcCEZeahMAyxlGtDAo9E95zULo5CnbGtFfmSwwTiO8w0eLTSUU3eGTTFjyJodIhRXfb1mNyueTfGxdhQ-BQPqSccnAMUD-SwELOF85rmpjgNYYBsgsNrJTIqR42r30soKY9K397FgH9MEiAvncM-I3KfBaavaRkBXUqy26CsT_QkQasY9uy18Klk_V_SIeXjCJW-4nRrL0IY-NU6LnFalPmB1EN71EfKvtPHdSVWyzAdCVOeO2XP7ILoLsTwJ4jZh083qGxRcOqOz8vMyM5JLf94B047RZzjCFLSBBZV9JXOShSUNdtRBPxEH40Iqu3t_ZjPjzeJNZSO07GY6Zv7xO6jU20T-hn5XhzIQhHOkkwZJXTQREnIVZoxmvNWQNFC4HKd7ysHAIxYdgip1gel3_g_N6YcJL3mZhwyfixe0L6lWMNAj5EZImMpkDrQyLLLl5_r7Lh-ekk3MyS2b3XAZOeDAg8eWlrFs9ZnPqzKgMwFCe1PENuH-4WB26fO0Utzu30nabJZMV6xDDAEplsc2Dwq1vFIKHmot2O2Mw128PXA8lCMokmchpjLH31ae5KxGUn5go0Ne9FdGEw4OK9oI0Cx0HPND3IKWheNkDlJ3Ekuke6TgT_CPo0wAyOMYJUEo6oljynDvZfb8zuBBEfdIZ6TJMcBWnFhQBstrjzt_VgaPG-zfiXTIldEfKfQpmEXO3tJXVSI2GCDl4hrfQ-ZZ6qMs5aRXORm4uMowhuL6imEd4GQJBZX7JR_7VR0P7Cnr2u0hEv_K7RmVFY1vAj24Q==&xkcb=SoCM6_M3-seyAhapFJ0DbzkdCdPP&camk=4HOcmqOLYrBOJqPC6r4zxg==&p=8&fvj=0&vjs=3
Patent Attorney / Agent / Software Computer / Remote USA DC 2567-i,IP Recruiter Group,"Washington, DC",Not Provided,Full-time,"There is an abundance of challenging and sophisticated work here, thus you will be exposed to a diverse array of complex software and computer engineering…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A-GnfhkYhNSkhmOlIaGMZ2A7LEV2ydYFCWtitvr5FzjQTSnyRx3MqhdcauyWGpemrK43H3NWvzXHCgaltDQDStZcWYqMURge6s95eg4lgF3Lp_3wmRrMaMnwg8EexZDIUgBk3ETCRcpL4SaPWeqpcC25NpRU0yxriWhapgqJGVGdo-BejgY9H5_fgUiaLp0z_AUHSnqZxiBiNHOl-aeDnvSnles3I7ObiSw9XvZrJFIyrqU-E-MHZDPNzq3-TjaGEEUfeZNtGrU9AM4ejTpsPbuJXdBjI0nklAF00o43bEH27pAyhv-nU6eGfsrpTrQGuwf1jnD0axO3mn3jeV3RlatOJiohxEOEy3U-4v_7O8Ygg2czpnDrpVzIus58U9FgGLstAJ_Nu-pmY2hJ9bz-EAgAxbv_Kot0dMh3etoK7QS65xm8xvB4USkC3Ur-s8xxnIXU8fnDdhaZuBK9SFphMzRlLiseG2U5PIksCRN3DNDlWkV4Zap_zy_5fo9i3Wfe1XfPE0FJoxF3LCbmY9Z48DNG9uhgDEveXDA-yCLcmoZ4_0izXcAxXBpocMV9z-NSjDIwkSrY7PuNuQnpkYwDZq1FbvTBuMDKNDn3-yOSwIqRd2G2QIUNQLTrG9e4FsAj3htk3SW09hZC90pI80OMn9z0or6m4ntULTNSREumuH3cwkS2kdHuREF1nIq4mueuXXmww3VSgDkVVGSK6Jkfmg&xkcb=SoA46_M3-seyAhapFJ0CbzkdCdPP&camk=4HOcmqOLYrDifSCt-LXYqg==&p=9&fvj=1&vjs=3
