Job Title,Company,Location,Salary($),Job-Type,Job-Description,Raw_Link
Data Scientist II,CareSource,Remote,Not Provided,Not Provided,"Familiarity with optimization techniques and artificial intelligence methods.
The Data Scientist II is responsible for designing and validating predictive…",https://www.indeed.com/rc/clk?jk=58ae9ccf8186a801&bb=br4NLD37ukZYbz7UepSf3mEW_2pSuTdpLEg2MGnA09EIPsgeUcOoCV9_p5RQ7J1rLuxJzqXKSjgkC6yx3qTSP-NGh6eUwmroQDUXEgkER8H6s0-u3JTxT_Vtg-WFfkpX&xkcb=SoAt67M3-seQX-6pFB0IbzkdCdPP&fccid=2786c23b6238da7d&vjs=3
Artificial Intelligence Architect,United States Postal Service,"Raleigh, NC 27609 (Falls of Neuse area)","$120,980 - $138,605 a year",Full-time,Manages component work for the Chief Information Office (CIO) organization that forms the foundation of enterprise wide Artificial Intelligence (AI)…,https://www.indeed.com/rc/clk?jk=c74737bd51c89b38&bb=br4NLD37ukZYbz7UepSf3s3V_P6fuWx9DIWwHnMFNj-LO-u9alCgzoChyKxuDv5vJZtPoQ7GPAJjjE5ZPVno9vqnPTRYt7CPUWmBIo-k5XB_uQ-GePhvkC1Q2thazg4K&xkcb=SoCj67M3-seQX-6pFB0PbzkdCdPP&fccid=e1d100e5797dc264&cmp=United-States-Postal-Service&ti=Architect&vjs=3
"Staff Writer, IT Channel News",TechnologyAdvice,Remote,Not Provided,Not Provided,"The Staff Writer, IT Channel News is responsible for creating high-quality, authoritative content for technology buyers and related professionals with a focus…",https://www.indeed.com/rc/clk?jk=8da958abbd564f57&bb=br4NLD37ukZYbz7UepSf3rAhD3roWmLt2BTmSePNAK1MiAN230u9UIxZjNyzL6Icb2l_cg-BApY238e_HV8DLtjBrzrP2hBKF6QXL9NCHeuyfmd81bv69JTPZvkMvKa7&xkcb=SoAX67M3-seQX-6pFB0ObzkdCdPP&fccid=2f00ae4e43e5dac3&vjs=3
ACIO for Customer Experience & Artificial Intelligence,University of Oregon,"Eugene, OR","$136,400 - $181,000 a year",Full-time,"Categories: Administrative/Professional, Executive/Management/Director, Information Technology, Operations/Infrastructure, Computer and Information Science,…",https://www.indeed.com/rc/clk?jk=fba3440b9b49b242&bb=br4NLD37ukZYbz7UepSf3sZYjUMzqsXwmV_aNidbBvNgCihPkV8cecKvdUxVbQVWu7u74cW8FVHpJviqJvJGUWYwle11Nq9294Ylq1BBJ9QJG4Qq7WXs-Q%3D%3D&xkcb=SoCK67M3-seQX-6pFB0NbzkdCdPP&fccid=3aa6e2f79750bfc5&vjs=3
Applied Scientist,Microsoft,"Redmond, WA 98052 (Overlake area)","$81,900 - $174,600 a year",Full-time,"Innovate speech recognition, speech translation, or speech+LLM algorithms.
Make the models robust to unseen scenarios.",https://www.indeed.com/rc/clk?jk=d92bbd34ad4c0ac5&bb=br4NLD37ukZYbz7UepSf3qIV1B80S0PsToS7XyIMG-w2w_Jv7ZSWxOQb5Mic1g-fMFhGbY3TZXUZDo9tBonztfnaoVl-CrkR3xn_Lvy7CkWJuZ525RITzA%3D%3D&xkcb=SoA-67M3-seQX-6pFB0MbzkdCdPP&fccid=734cb5a01ee60f80&vjs=3
Associate Business Intelligence Director,IQVIA,Remote,Not Provided,Not Provided,The purpose of this role is to lead business intelligence and reporting for the U.S. & Canada RBU Analytics Hub.,https://www.indeed.com/rc/clk?jk=41d8dcf342f98894&bb=br4NLD37ukZYbz7UepSf3itaAQH_iN3n4qKLxN-9jvQJ0I9wF_2Ekykkvk_SAsDIulgXbRgIzpjmQu_8sdZCG0xnaVwoP-Io6YFu0q2RiYbe1oGCJQ7g4CVNRRRkN7B0&xkcb=SoAG67M3-seQX5apFB0LbzkdCdPP&fccid=6b7a1dfe07e7f037&vjs=3
Student Assistant-Sacramento Public Library Makerspace,"University Enterprises, Inc.","Sacramento, CA 95819 (East Sacramento area)",$18 an hour,Part-time,"You do not have to be an expert in creative technology, but curiosity to explore new technology and the commitment to offer excellent customer service is a must…",https://www.indeed.com/rc/clk?jk=6b4985cb3a945c45&bb=br4NLD37ukZYbz7UepSf3gi1JZfX9o0Dbimz7aYGZh-3xsY6ZiQxQdKiUppua_2vxiHcMWRN_zqRRtmXwgAsdCNXYfQ8N-IZQopAP1x_PsLcKeTtU8l6nIDqi0zChP1_&xkcb=SoCy67M3-seQX5apFB0KbzkdCdPP&fccid=ef7f6de61cc02be5&vjs=3
Director-Artificial Intelligence (AI) Risk Management,Amex,"Hybrid work in New York, NY","$130,000 - $205,000 a year",Not Provided,"The Director, Artificial Intelligence (AI) Risk Management is an emerging leadership role focused on managing the risks associated with the development and…",https://www.indeed.com/rc/clk?jk=42b59fd7423a28cb&bb=br4NLD37ukZYbz7UepSf3o75OErah0e-xWkVht-0LBN6xVW2CcSexQbRbJIqP2f2M1BAs4vfOPeLEh0JZs4mnckX6XIenCAqfcv805h92OJ6UkrhQJFzPA%3D%3D&xkcb=SoAv67M3-seQX5apFB0JbzkdCdPP&fccid=f057e04c37cca134&vjs=3
"Specialist, Creator Management",Influential,Remote,Not Provided,Not Provided,"Unlimited PTO with inclusive holiday benefits.
100% company paid medical, dental & vision insurance for employees.
Equity options for all employees.",https://www.indeed.com/rc/clk?jk=2d501d80de2669ad&bb=br4NLD37ukZYbz7UepSf3hK_mg7J0eJyPkTVbRWQ_yuAmAfhVv88LLG5SjA64fdyEy_L3wxZWVVPwpfipewxYlJ1d-WA-jAoHH_cO7gq59vIKWVKPj86AJxuBsx2UuuQ&xkcb=SoCb67M3-seQX5apFB0IbzkdCdPP&fccid=6bd26aaf0463ab88&vjs=3
"Software Engineer, Frontier AI Technologies",Apple,"Cupertino, CA","$121,909 - $214,500 a year",Not Provided,"The candidate should be someone with proven mastery of system software development, NLP development, and a rich mix of education and practical experience with a…",https://www.indeed.com/rc/clk?jk=877a3e54b965bceb&bb=br4NLD37ukZYbz7UepSf3rboQbFwu3mShDPre4Sv91gfo7w9zBmEObgQc0vWWc2BdLI4RN8dQXfqRpk_qUx75p0c3K-hx3iT-OxTkqBMjp0LE4YluIUuoQ%3D%3D&xkcb=SoAV67M3-seQX5apFB0PbzkdCdPP&fccid=c1099851e9794854&vjs=3
