Job Title,Company,Location,Salary($),Job-Type,Job-Description,Raw_Link
"Public Policy Manager, AI Lead",TikTok,"Washington, DC",Not Provided,Not Provided,"The Global Public Policy team’s work spans a broad and diverse range of functions and workstreams, including government affairs and government relations; policy…",https://www.indeed.com/rc/clk?jk=cfec8195e7a08ea8&bb=x8hp1qH4sT52mJLekFIVBUo2WdfHmwIZ4yDYsN6YtAfprPyQNeLjVzNRyNuVtMZFobI7QXSB2pwR_GFbpN0PdZxUWTX8dvZ8C6EA-kxmnZPByPw5BrOz5fdzPBX7kmz8&xkcb=SoBW67M3-sejmI2aYR0LbzkdCdPP&fccid=caed318a9335aac0&vjs=3
"Senior Product Manager, Artificial Intelligence/Machine Learning (AI/ML)",Workiva,Remote,Not Provided,Not Provided,"As the Senior Product Manager for Artificial Intelligence/Machine Learning (AI/ML), you will be responsible for identifying the most impactful problems and…",https://www.indeed.com/rc/clk?jk=016ded9924be6dfa&bb=x8hp1qH4sT52mJLekFIVBR9bYG96cTTpHgjC_mZJiwzOZXjxglVNoBSeUkh6aNlHEOhqnQvCr7rdsav0EJHBoUIvB0C-K6xklEpcg3670Rurag9_i-dqW1GmKzI2NBix&xkcb=SoDi67M3-sejmI2aYR0KbzkdCdPP&fccid=c74820549fd8456b&vjs=3
"Manager, Data Science - NLP",Capital One,"Hybrid work in McLean, VA",Not Provided,Full-time,"We partner with product, tech and design teams to deliver app features that delight customers with dynamic and personalized experiences, enable them to chat…",https://www.indeed.com/rc/clk?jk=12372dc27b524fff&bb=x8hp1qH4sT52mJLekFIVBerAt7HQ7X5sHI0Ng83dQOARS0my3AxoibJ43iaX54pJYwwVbdWA8wtGJL8El11Uj5B39L_Wu_c7V_G25ihLnGA7QsUAAmWvlA%3D%3D&xkcb=SoB_67M3-sejmI2aYR0JbzkdCdPP&fccid=b85c5070c3d3d8c8&vjs=3
Senior Applications Engineer,Zillow,Remote,"$156,300 - $249,700 a year",Full-time,"We use our enterprise engineering expertise to architect, build, and support innovative solutions using both SaaS application functionality and custom…",https://www.indeed.com/rc/clk?jk=9f8c0f213e213a5d&bb=x8hp1qH4sT52mJLekFIVBarRimw3v0TitwcZpzaGR_wq_5dYMyMbIYRz2mPvJXrnMmGkxKS8jm5d9ax0Drwdk1niUisymZZ8W1AuuIOna5SMCIn4jqUv9LyBBD36u41R&xkcb=SoDL67M3-sejmI2aYR0IbzkdCdPP&fccid=913e1b259c8d65e2&vjs=3
Product Manager,Health Advocate,Remote,Not Provided,Not Provided,"National Customer Service Association All-Stars Award: Service Organization of the Year.
Stevie® Awards for Sales & Customer Service: Customer Service…",https://www.indeed.com/rc/clk?jk=d2d1d38f81218b3f&bb=x8hp1qH4sT52mJLekFIVBfLnaVfj6i8pm3z-5N9u6zo3MqyYWX8i6vFr4yreUmWlqGBx-w1NEB_b2yvUFtzFuOOr130lkJaYUTsEbOWyuBsKbFlY8MdoB15LoAzDXu-D&xkcb=SoBF67M3-sejmI2aYR0PbzkdCdPP&fccid=5a9463d313b7f4de&vjs=3
Individual Software Developer Consultant for AI Application Development,"Agbotic, Inc.","Sackets Harbor, NY 13685",Not Provided,Not Provided,"Location:* Sackets Harbor, NY (Remote work with periodic travel required.
Residence within 4 hours to Sackets Harbor, NY).
Sackets Harbor, NY 13685 (Required).",https://www.indeed.com/rc/clk?jk=565cddd21318d976&bb=x8hp1qH4sT52mJLekFIVBaNFs4OpYQE6QBbXKaEH3qSKPyw3atKyJ8FYS3TMpYmrnfSvMHsQSsQ4thC067LRr7RQt3ya3JY3vH71d3LN279ajjdNraH-1U3K1ePJ5fxPQJKy50rSQEI%3D&xkcb=SoDx67M3-sejmI2aYR0ObzkdCdPP&fccid=5bf29e5bdd3ab34b&cmp=Agbotic%2C-Inc.&ti=Software+Engineer&vjs=3
Technical AI Ethicist / AI Red Teamer,Salesforce,"San Francisco, CA 94105 (Financial District/South Beach area)","$151,800 - $227,700 a year",Full-time,"The ideal candidate will have technical experience in generative as well as predictive artificial intelligence.
Experience using SQL and relational databases.",https://www.indeed.com/rc/clk?jk=45578ccce57a3218&bb=x8hp1qH4sT52mJLekFIVBegCDAM7u3HULlRXERzKsBagCNTVzSEwbie8fyRXRCSNWC0RA3C8Hj80KTbV-KQrJ1EuOaCc_bYaBBZ5kZ41pYLNPvE6T5UDfA%3D%3D&xkcb=SoBs67M3-sejmI2aYR0NbzkdCdPP&fccid=4027cfd917e1ee29&vjs=3
Army Intelligence Senior Staff Officer (TS/SCI),Ballygar AI,"Washington, DC 20310","$150,000 - $155,000 a year",Full-time,Bachelor’s Degree; advanced intelligence discipline training; or other equivalent DoD or service Intelligence experience.,https://www.indeed.com/rc/clk?jk=9a65f0852b733cb2&bb=x8hp1qH4sT52mJLekFIVBQrmJcXTQ8yIJrUX3eBuS7zX-_3YwDeHKWPGiCiwviS1JWkVJ6_a8hf7COCmS7KDE7XeKx3IRIO1cRoCvLpKiRgFm2tR6EIFfMk2IfiWgvFM&xkcb=SoDY67M3-sejmI2aYR0MbzkdCdPP&fccid=238aec8f542581e4&cmp=Ballygar-AI&ti=Army+Officer&vjs=3
Designer: Systems,Rockstar Games,"Carlsbad, CA",Not Provided,Not Provided,"You will be required to engage with a range of classic game programming areas such as AI, physics, animation, UI, and data management among others.",https://www.indeed.com/rc/clk?jk=0dcb66c3c4a7f41c&bb=x8hp1qH4sT52mJLekFIVBUU1FwawjUwLSdbbYUnZ6bPwL_rU6GeXRRS4ooznVNfkzkU4D_bKK-hn9gXFjz5iqybEGPdOz9tf02ZJgHOd0ocymaO7X0SQBHnNucTCvhpm&xkcb=SoAx67M3-sejmI2aYR0DbzkdCdPP&fccid=5549c6b9723b4956&vjs=3
AI Software Engineer,Microsoft,"Redmond, WA 98052 (Overlake area)","$98,300 - $208,800 a year",Full-time,"The Mirosoft Customer and Partner Solutions (MCAPS) Enablement and Operations (E&O) organization focuses on making sure sellers, customers, and partners have…",https://www.indeed.com/rc/clk?jk=2f6a9f9bccc7dcfd&bb=x8hp1qH4sT52mJLekFIVBXscWf189eU6xk-BepmzfUGaSHVMVuHfXY9eAYn8GcTDrFekKN-hDtlQRzSZZ8b89_fOLxFYdOmXHYTCqIyj0aq8PjQzRjqZuw%3D%3D&xkcb=SoCF67M3-sejmI2aYR0CbzkdCdPP&fccid=734cb5a01ee60f80&vjs=3
