Job Title,Company,Location,Salary($),Job-Type,Job-Description,Raw_Link
"Vice President, Service Assurance",GTT Communications,Remote,"$175,000 - $225,000 a year",Full-time,"This role provides leadership responsibility for the Service Assurance organization across the product portfolio, specifically maintaining the products and…",https://www.indeed.com/rc/clk?jk=79d3b3c54d375682&bb=KX417tIkSRMatTHvaS-LEebih_uQhBrULtDfGYK3haOsabC0yTFAvxSPkdhr-rVaKluQxP5DKzXbLUiU8bieLTAXy3UmUhGMMfIn8nNfLyFRodNhWzC9BR_M8k0G9Pzn&xkcb=SoAJ67M3-se9PmSU9Z0KbzkdCdPP&fccid=e8dadfee90ff3c7d&vjs=3
MR Research Scientist,UIH America INC,"Houston, TX 77054 (South Main area)",Not Provided,Full-time,"Background in medical imaging, artificial intelligence and/or clinical experience is preferred.
When joining our team, we offer the following benefits: medical,…",https://www.indeed.com/rc/clk?jk=dac8402b6e6d9238&bb=KX417tIkSRMatTHvaS-LEW31eSeZnhrtzR5keksJTJuH7lIGb-eYoEWRQ_X_DJFheklMtXBEedLGv64fTNk-xymCexJV3Ukg81kGKhLs7waw6j4mwW5wGdsAe4ZdZuaQ&xkcb=SoCU67M3-se9PmSU9Z0JbzkdCdPP&fccid=c36b77b75e2ce01b&vjs=3
QA Engineer,S&P Global,"New York, NY 10041 (Financial District area)","$65,000 - $95,000 a year",Not Provided,"Grade Level (for internal use): 09.
Team will be responsible to build, test and deploy business priority in the partnership with project management team.",https://www.indeed.com/rc/clk?jk=84caa4879579c7c8&bb=KX417tIkSRMatTHvaS-LEaE2WoF6DLiTzJXrVGc-5BcrH78txmXVq2lJ-keNnoftlqqvCAG2UOgLyw-UQ-Hq-30Njx8rJIUN1vBKNq7zoUMqRYZg7wtYaXbVmccYWuYF&xkcb=SoAg67M3-se9PmSU9Z0IbzkdCdPP&fccid=b716e44d2c6283e7&vjs=3
Data Analyst,GalaxE.Solutions,"Marietta, GA",Not Provided,Not Provided,"Analyze reporting requirements to determine development methods, development templates, and report design.
Workday Reporting expert with deep knowledge of the…",https://www.indeed.com/rc/clk?jk=92fa532c516ca55f&bb=KX417tIkSRMatTHvaS-LEbSPiVEsnV9v3WY77rB8SbowIdLricCUOufuMduQkoPRP7EnxYq35eNsvqyK8y4YI6_tPI4vFjPzInCPtaWJtb5SQxfjmreMD_dVY5QeoipF&xkcb=SoCu67M3-se9PmSU9Z0PbzkdCdPP&fccid=5b75a1df86adb527&vjs=3
Motion Graphics Designer,Keys & Kites,"Hybrid work in Chicago, IL 60605","$70,000 - $100,000 a year",Full-time,"In this pivotal role, youll be the architect of captivating motion experiences.
Youll take concepts and breathe life into them with cutting-edge motion design…",https://www.indeed.com/rc/clk?jk=3e6a74ac1e62192d&bb=KX417tIkSRMatTHvaS-LEbFmK9auSTiuqs9v1Jpddoi8XEPXAFRJv2VDVmNLeStWkbqg321uXHZ1zvICqD1Xmqp1fyKOj-iOY2PNspkf63t25xk3QI4USLtFsF9Sq0Zy&xkcb=SoAa67M3-se9PmSU9Z0ObzkdCdPP&fccid=f1779cd176c7d69e&cmp=Keys-%2526-Kites&ti=Graphic+Designer&vjs=3
Product Manager - Data-as-a-Service,Apple,"Cupertino, CA","$165,500 - $248,700 a year",Full-time,"In this role, you will chart the strategic direction of the DaaS platform and support execution against that long-term strategy, driving a Data First culture…",https://www.indeed.com/rc/clk?jk=04ef395eba8d49e9&bb=KX417tIkSRMatTHvaS-LEfCGYIItHMJKEgkdJ8JxH8i3ULMcd1LIa4a6Z09-aIcaEVuW1nQa12ghwTTfWUNjFEL01gQ6_Kd2MTWZJdOx-Z8L6JBV4b58Uw%3D%3D&xkcb=SoCH67M3-se9PmSU9Z0NbzkdCdPP&fccid=c1099851e9794854&vjs=3
Senior People Analytics & Systems Manager,QuickNode,Remote,Not Provided,Not Provided,"In this role, you will manage and optimize our systems, ensure efficient workflows, and provide critical data analysis to drive informed decisions.",https://www.indeed.com/rc/clk?jk=fd48234d1ae3d1bf&bb=KX417tIkSRMatTHvaS-LEXA3R0L1q_WugxFfPAwAQ8z3n7E401ek4B7_eN5SB549Z7DuD6lFVmrOrXko3B8mDp6NZc4B7s4OWm9aACgrf_N8cNlA-rdb1uoOQab6kLyH&xkcb=SoAz67M3-se9PmSU9Z0MbzkdCdPP&fccid=6efcb51b70265a05&vjs=3
Senior Computational Linguist,ThirstySprout,"Remote in Washington, DC",Not Provided,Not Provided,"Linguists will help build out the NLU workflows and workstreams required by defining and delivering data annotation pipelines, annotation guidelines, golden…",https://www.indeed.com/rc/clk?jk=f969a5ee4875e450&bb=KX417tIkSRMatTHvaS-LEeyiaKOfJWIKjfCNJzhzGnYc13OY5lfOodKwLp7b76dPRFxDBlmXJBsrU1BEZWeR5YQ7Mfdo5wicdwXWgr3PjMCL9KkCmSULE54UHK-PjjMU&xkcb=SoDa67M3-se9PmSU9Z0DbzkdCdPP&fccid=778a888cbe048c70&vjs=3
Customer Care Manager,"SPARC Group, LLC","New York, NY 10001 (Garment District area)",Not Provided,Not Provided,The Customer Care Manager will be responsible for owning the day-to-day management of a customer care team that supports a major airline’s uniforms program.,https://www.indeed.com/rc/clk?jk=0521f17b02ac1ebd&bb=KX417tIkSRMatTHvaS-LEYIFQD3E58IJy7YK8MmDL-m4eKOsQ_6mCvxLkWzSjhxiTb5S7mo-Oj8IMQjmdiWW9d6g86bPRQLHISsxQI7w1-Dc13MnK9TbPb2t1T6tC_3J&xkcb=SoBu67M3-se9PmSU9Z0CbzkdCdPP&fccid=69a96b5858b53f78&vjs=3
Software Engineer Graduate (On-Device AI) - 2025 Start (BS/MS),TikTok,"San Jose, CA","$112,240 - $147,000 a year",Not Provided,"Develop and enhance the core On-Device AI engine for diverse platforms.
Employ efficient machine learning techniques and hardware optimizations to improve…",https://www.indeed.com/rc/clk?jk=a90e53947c8b942e&bb=KX417tIkSRMatTHvaS-LEZIfeugrEWd2ViThv1HRAHfNJ3Jj26hdOCJvoEdPvUtIMvSMvos4NmH4sd-4SzH-q1fyWQJnqHBg3ljmIwyJp8RBYoCseMdwHBcbaMM_q3Hk&xkcb=SoDz67M3-se9PmSU9Z0BbzkdCdPP&fccid=caed318a9335aac0&vjs=3
