Job Title,Company,Location,Salary($),Job-Type,Job-Description,Raw_Link
Systems Triage Engineer,Zoox,"Foster City, CA",Not Provided,Not Provided,"These tools aid in measuring the safety of our AI and readiness for launch.
We are looking for a systems engineer who can evaluate and synthesize AI-driving…",https://www.indeed.com/rc/clk?jk=6cddb1bf9a8342a4&bb=CESjU_IWct-riG0bQw3iscZoBGmIadEB_QsTL2k30g3JYZw7ZKdh6zVG423tSermJ7QFpmz4RatjgIxZvuITR6hLcpCA_8MB95VyIhI6FQ2sDMLqNX8r8IQAcbD-4DFc&xkcb=SoCq67M3-sesiFULXZ0LbzkdCdPP&fccid=44f9aa469b1c1a0c&vjs=3
"Generative AI Applied Scientist, Applied Machine Learning",Apple,"Seattle, WA","$166,600 - $296,300 a year",Not Provided,"In this role, you will be responsible for developing innovative and practical AI applications that drive enterprise transformation.",https://www.indeed.com/rc/clk?jk=1e73c60f215742c2&bb=CESjU_IWct-riG0bQw3isQB2TLIc4JVWFo_ix5691CnZrmATWg1dVAwfHqrvlFufiO1W4-gkQMYQ2tmCOE3Bb-iXo_S9SrtwUewCBTJGM-r6mL_Gl0i9vg%3D%3D&xkcb=SoAe67M3-sesiFULXZ0KbzkdCdPP&fccid=c1099851e9794854&vjs=3
Creative Director,Rebuy,Remote in Utah,Not Provided,Not Provided,"Rebuy is SaaS application that is redefining data-powered shopping experiences with a new breed of personalization and merchandising solutions, which turn…",https://www.indeed.com/rc/clk?jk=f50082ead4cd7b9c&bb=CESjU_IWct-riG0bQw3isW615f88Ocecf7Dvxb77P68IrOThheFbH9NJbVzykjaY075DpOkCzPuS4wk0iwR8_1JxTdODAkvT-ebv12f5fMTqJRVB7zL8SHTgCKTlIeDf&xkcb=SoCD67M3-sesiFULXZ0JbzkdCdPP&fccid=feae85bcecdfd7b5&vjs=3
Sales Development Representative,CareerDash,Remote in Colorado,Not Provided,Not Provided,"Utilize a consistent contact attempt process via phone, email and chat to follow-up, nurture and qualify leads generated by marketing campaigns.",https://www.indeed.com/rc/clk?jk=c35818c3a1ceedf3&bb=CESjU_IWct-riG0bQw3isYyS5_jfLe_DrSeGLVUytTjxKpIhsTikCej3UQIGxKKml03auCuS7HSDgwxwbXcgfHWIfUd_L_O0_vTKHu8FWoobhU_Oz2naiHQzHbzRxkrA&xkcb=SoA367M3-sesiFULXZ0IbzkdCdPP&fccid=3acfa74f6ed90aea&cmp=CareerDash&ti=Sales+Representative&vjs=3
Marketing Intent and AI Specialist,Selligent Marketing Cloud,Remote,Not Provided,Full-time,"Marigold helps brands foster customer relationships through the science and art of connection.
Marigold Relationship Marketing is a suite of world-class martech…",https://www.indeed.com/rc/clk?jk=c9b5c04ca64e7e63&bb=CESjU_IWct-riG0bQw3isW67XNKiJJv1GHih2R7IFIJ4odLML9bjRxw9bd5j3XbLurQeZTl8W59T0qoqsPj8IyMfACfU2YlQqIsCME8YnYGZ65pTzyklNz2_E8jiZotK&xkcb=SoC567M3-sesiFULXZ0PbzkdCdPP&fccid=a07d680c60562c70&vjs=3
"Applied Scientist, Artificial General Intelligence",Amazon.com Services LLC,"Sunnyvale, CA","$136,000 - $222,200 a year",Full-time,"PhD, or Masters degree and 4+ years of CS, CE, ML or related field experience.
1+ years of building models for business application experience.",https://www.indeed.com/rc/clk?jk=eb71acf5e8caa40f&bb=CESjU_IWct-riG0bQw3isbwaM1gzFbiNQ0KFQ1WwsWAgqT-bE2hmVhanNcSNrzs2WrxwOuFVB74R7CWbdxsN2KZdCKbPmi4PjoI2_MuTqIft0yw33Li5lw%3D%3D&xkcb=SoAN67M3-sesiFULXZ0ObzkdCdPP&fccid=fe2d21eef233e94a&vjs=3
Automation Developer,Cotiviti,Remote,Not Provided,Not Provided,"The developer will be responsible for designing, developing, and maintaining software applications using various programming languages and technologies.",https://www.indeed.com/rc/clk?jk=aa5e8e40aa7a6787&bb=CESjU_IWct-riG0bQw3isSYW87H_sEHVxbm4ztBL2NsfEMd2UO1Z5Dut8y3M0MEucvsnyN7GTMzvco6JxuJHAxUyC4g1klFGtkhnK7shIZn8P0NNaWMtziQrzSWk203H&xkcb=SoCQ67M3-sesiFULXZ0NbzkdCdPP&fccid=3414836454185cb4&vjs=3
AI Policy Lead - Government Relations,Scale AI,"Washington, DC","$169,200 - $203,040 a year",Full-time,"Advise and brief Scale Leadership on policies impacting artificial intelligence policy.
Lead and support engagements with standards development organizations…",https://www.indeed.com/rc/clk?jk=0200b9cafbdef72f&bb=CESjU_IWct-riG0bQw3isVE6NyqQHzYjE7nR0aAEKwqk5yyYywQGgKj9fDoWroZO-jx0iQUrV-_SX4AyFILHOkon9UFpz1lHVaZwxC-SQ8pELg6zJuzuKImrBOZ1vZXL&xkcb=SoAk67M3-sesiFULXZ0MbzkdCdPP&fccid=4eacfef094c1e91a&vjs=3
"Technical Program Manager I, Regional Carrier Certification, Pixel",Google,"Mountain View, CA",Not Provided,Full-time,"Bachelors degree or equivalent practical experience.
1 year of experience in program management.
1 year of experience with hardware development.",https://www.indeed.com/rc/clk?jk=29f9a1f3c982d5e5&bb=CESjU_IWct-riG0bQw3isQhhqid1hwfiLiLqxZD8KlnFnMYDBrrn8FUpozd5HKSYP6d5_IzbYfK5breccDAFM-aVxaokx3RG9LWZqrAWhct6CezoM5Em3A%3D%3D&xkcb=SoDN67M3-sesiFULXZ0DbzkdCdPP&fccid=a5b4499d9e91a5c6&vjs=3
"Interaction Designer, Applied AI, Google Cloud",Google,"Sunnyvale, CA (Lakewood area)",Not Provided,Full-time,"Bachelors degree in Design, Human-Computer Interaction, Computer Science, a related field, or equivalent practical experience.",https://www.indeed.com/rc/clk?jk=3565d74885c8b58f&bb=CESjU_IWct-riG0bQw3isRe4Za0gisF4A7tNGLrrZq-e6CxTtpbD9t8wx3jYMGvTnMfJiu-FxJwGKF_BDL2yYw8eLA2ezg9nGRl7ll_10u5_CDvXxa59eg%3D%3D&xkcb=SoB567M3-sesiFULXZ0CbzkdCdPP&fccid=a5b4499d9e91a5c6&vjs=3
