Job Title,Company,Location,Salary($),Job-Type,Job-Description,Raw_Link
"Chief, Policy and Strategy Section",U.S. Department of Justice,"Washington, DC 20530 (Downtown area)",Not Provided,Not Provided,"View all U.S. Department of Justice jobs in Washington, DC - Washington jobs - Section Chief jobs in Washington, DCSalary Search: Chief, Policy and Strategy Section salaries in Washington, DCSee popular questions & answers about U.S. Department of Justice",https://www.indeed.com/rc/clk?jk=1267c62ff4abc7e0&bb=ajY9Esk2t8VE1Rx-UkCERaLfOdGqyntCZFG51AXhJoWTSKVYYDE0ehXpU8kjYXyIaUtm-06uW1MhKkwrUsrPdo62cA6wd7fTgTmRizbSOU6EGxpV0I0RWXGdgA0ARmV0&xkcb=SoDv67M3-ulUAXwgdx0LbzkdCdPP&fccid=a82ba43bbfe2b26b&vjs=3
ML Science Manager,Abridge,"Remote in New York, NY","$250,000 - $300,000 a year",Full-time,"View all Abridge jobs in New York, NY - New York jobs - Data Science Manager jobs in New York, NYSalary Search: ML Science Manager salaries in New York, NY",https://www.indeed.com/rc/clk?jk=c80dadea504899f9&bb=ajY9Esk2t8VE1Rx-UkCERQS9tELeDhI4XwSgizJePrIMNujaYqkN1Y0HgKOh_wZnks9394Pko8pspKNTRWnaf1b_OqF7PksBK2EMIvMnMY85sKK8M5Wtw-uciL1u8bg_&xkcb=SoBb67M3-ulUAXwgdx0KbzkdCdPP&fccid=5b2e61563c231592&vjs=3
Cartographer with TS/SCI,"Allworld Language Consultants, Inc.","Springfield, VA","$85,000 - $100,000 a year",Full-time +1,"View all Allworld Language Consultants, Inc. jobs in Springfield, VA - Springfield jobs - Cartographer jobs in Springfield, VASalary Search: Cartographer with TS/SCI salaries in Springfield, VA",https://www.indeed.com/rc/clk?jk=9155107364a5a66f&bb=ajY9Esk2t8VE1Rx-UkCEReA35BlMVjkb2FBxY7bvieFo3v0sxA0hDSTEHeDUYwU1IlLz7ysSS3H-lcQVF8iw928gjmpq49SZz-waent-MZJHeLew3tcxifn5Ca4YtUVP&xkcb=SoDG67M3-ulUAXwgdx0JbzkdCdPP&fccid=4e89e23a2dc5a95f&cmp=Allworld-Language-Consultants&ti=Cartographer&vjs=3
Post Doctoral Fellow - Artificial Intelligence and Machine Learning,Emory University,"Atlanta, GA 30322",Not Provided,Full-time,"View all Emory University jobs in Atlanta, GA - Atlanta jobs - Post-doctoral Fellow jobs in Atlanta, GASalary Search: Post Doctoral Fellow - Artificial Intelligence and Machine Learning salaries in Atlanta, GASee popular questions & answers about Emory University",https://www.indeed.com/rc/clk?jk=5f92a2433e9004a3&bb=ajY9Esk2t8VE1Rx-UkCERYkdNFOQtkI6su3gatUrsZf-m4xcwVP26567-u0KgF8ORF7rRR02kvNOrdeIv_1mtawsEGe74zrzGCfH1chKh-1XlmUfB7nqxw%3D%3D&xkcb=SoBy67M3-ulUAXwgdx0IbzkdCdPP&fccid=efe5e2d22a1d29e5&vjs=3
AI Project Delivery Lead,Moorecroft Systems,"Hybrid work in Rosemont, IL 60018",From $40 an hour,Contract,"View all Moorecroft Systems jobs in Rosemont, IL - Rosemont jobs - Delivery Manager jobs in Rosemont, ILSalary Search: AI Project Delivery Lead salaries in Rosemont, ILSee popular questions & answers about Moorecroft Systems",https://www.indeed.com/rc/clk?jk=d3fcc43ff67d7cfe&bb=ajY9Esk2t8VE1Rx-UkCERZQwF7VIfAf_-nttJ9qarUYJobJZdTMuny9dfKe9pxD80EyFd38WM-DzMEgKjgSvmqhbtkZwUCBy6_7x8eaovCZd4sDUakMlpiv6Tgj78TVG&xkcb=SoD867M3-ulUAXwgdx0PbzkdCdPP&fccid=a1eea3d82a5b87cd&cmp=Moorecroft-Systems-Inc.&ti=Delivery+Manager&vjs=3
"AI Research Scientist, Language - Generative AI",Meta,"Menlo Park, CA 94025","$143,000 - $208,000 a year",Not Provided,"View all Meta jobs in Menlo Park, CA - Menlo Park jobs - Research Scientist jobs in Menlo Park, CASalary Search: AI Research Scientist, Language - Generative AI salaries in Menlo Park, CASee popular questions & answers about Meta",https://www.indeed.com/rc/clk?jk=7a03c309c9adedec&bb=ajY9Esk2t8VE1Rx-UkCERe3CD_hhYid1-vV-FIzNeSJ_c5n1KAG7VszTqYox8ZAEsIxJgA9hP5N5pecGkQBgkTcsqxIKWuSOixS4OPb00hDo9FBG5X054w%3D%3D&xkcb=SoBI67M3-ulUAXwgdx0ObzkdCdPP&fccid=ba07516c418dda52&vjs=3
Software Engineer II,Microsoft,"Redmond, WA 98052 (Overlake area)","$98,300 - $208,800 a year",Full-time,"View all Microsoft jobs in Redmond, WA - Redmond jobs - Senior Software Engineer jobs in Redmond, WASalary Search: Software Engineer II salaries in Redmond, WASee popular questions & answers about Microsoft",https://www.indeed.com/rc/clk?jk=190cadb2b9391bb4&bb=ajY9Esk2t8VE1Rx-UkCERTKJlPysonYTHyDeN0feNqGGwCBD8RE_C1Ac20TQLikE8IAca4eVDP-aUHXuc3pR-n1tYePNRfGOy2DlLxmghlyxlsujO3_JkQ%3D%3D&xkcb=SoDV67M3-ulUAXwgdx0NbzkdCdPP&fccid=734cb5a01ee60f80&vjs=3
Event Manager,Sonata Software,"Trout Lake, WA 98650","$75,851.35 - $80,014.53 a year",Full-time +1,"View all Sonata Software jobs in Trout Lake, WA - Trout Lake jobsSalary Search: Event Manager salaries in Trout Lake, WASee popular questions & answers about Sonata Software",https://www.indeed.com/rc/clk?jk=48e428063f8ba77e&bb=ajY9Esk2t8VE1Rx-UkCERbv5dmx7mTlr4dEPHSSfJKSjkXRDcAZw55C-kdiUQPEmzFQQjg6CPOAiVaagRmlO8nBnSURD4Bw9DEDdkH0mMxLqI1vEDC3sZZPa8uAw4-Ig&xkcb=SoBh67M3-ulUAXwgdx0MbzkdCdPP&fccid=10431befa644ec7f&cmp=Sonata-Software&ti=Event+Manager&vjs=3
AI Engineer,Cornerstone Defense,"Bethesda, MD",Not Provided,Not Provided,"View all Cornerstone Defense jobs in Bethesda, MD - Bethesda jobs - Engineer jobs in Bethesda, MDSalary Search: AI Engineer salaries in Bethesda, MDSee popular questions & answers about Cornerstone Defense",https://www.indeed.com/rc/clk?jk=61b528624c24ea78&bb=ajY9Esk2t8VE1Rx-UkCERRxEXBnDSDYgkX1oimBVWCVW3s01a7faquZtD0YJ3Aceefc086veUrvHhSgQjW6H-QAXV_5Run6IotaJ2ghD0hHCAkDSlKlv54E1dQQN4aoG&xkcb=SoCI67M3-ulUAXwgdx0DbzkdCdPP&fccid=c4dad3c95358e466&vjs=3
Chatbot Developer,ADP,"Roseland, NJ 07068",Not Provided,Full-time,"View all ADP jobs in Roseland, NJ - Roseland jobs - Developer jobs in Roseland, NJSalary Search: Chatbot Developer salaries in Roseland, NJSee popular questions & answers about ADP",https://www.indeed.com/rc/clk?jk=d67bcf4a4edb0da6&bb=ajY9Esk2t8VE1Rx-UkCERTKJlPysonYTk3ZUmw9DQq_dgo7QKIxOgP6i7R7sPycQYDlFyRaEaJT5brPLCeOaxx3OEa6i4iDLXE92fwFZQyea6Ic7j90qZw%3D%3D&xkcb=SoA867M3-ulUAXwgdx0CbzkdCdPP&fccid=e996c2d6855fe778&vjs=3
