Job Title,Company,Location,Salary($),Job-Type,Job-Description,Raw_Link
AI Project Manager,Booz Allen,"McLean, VA","$96,600 - $220,000 a year",Full-time,"As an AI Program Manager, you know that implementing digital initiatives with effective change management and process improvement skills is crucial for your…",https://www.indeed.com/rc/clk?jk=a476d5aedf8375e7&bb=IC0QbZnAs82doQeWr3HeNuQlK9jtrLlQj83Zc2gBafMrLbXkdBauwSnZOUdWUkkmXcSU873v70DxfBicGZnDENYPXoDfutnnoISBiOinxm9jiUF5OEDU-P3R9gpAl7hH&xkcb=SoC967M3-ukZkF6pGp0LbzkdCdPP&fccid=4e041af1d0af1bc8&vjs=3
Power Platform Practice Lead,"Cyclotron, Inc.",Remote,Not Provided,Not Provided,This role is expected to work closely with Microsoft account teams and directly with our client base to ensure alignment and client success.,https://www.indeed.com/rc/clk?jk=0d1aed784081597d&bb=IC0QbZnAs82doQeWr3HeNo-9X_tRod-mOWDl98qZtvglr4vzJsg1bO8yeyDbYzuZRQubpNiYjbGPaDrWCaqOz_4Q6rk9Qh_fzMXI6gW1yvlUfNbpvbNvfcMumaRsrTm4&xkcb=SoAJ67M3-ukZkF6pGp0KbzkdCdPP&fccid=06982a9d38303f02&vjs=3
Data Scientist,U.S. Department of Justice,"Washington, DC 20002 (NoMa area)",Not Provided,Not Provided,"This position serves as a Data Scientist, located in the Department of Justice (DOJ), Office of the Chief Information Officer (OCIO), Justice Management…",https://www.indeed.com/rc/clk?jk=6375878601257fbe&bb=IC0QbZnAs82doQeWr3HeNvN3LeaLPWeVTwaz9jyWm8KnIFBsOoKbAO749dtHD9wRAXgMGctki4V4FuBbDGquJbQrl3JC-MqCQ4FQkTBmr3T8xKvN881J4ArdyQNzexkd&xkcb=SoCU67M3-ukZkF6pGp0JbzkdCdPP&fccid=a82ba43bbfe2b26b&vjs=3
Associate II,JSI,"Boston, MA 02210 (South Boston area)","$72,246 - $105,837 a year",Not Provided,"Utilizes emotional intelligence to deeply analyze and understand problems, synthesizing information from multiple sources.",https://www.indeed.com/rc/clk?jk=155657918145705f&bb=IC0QbZnAs82doQeWr3HeNv2sQlcu4G9RArQCgG0N9kNbopVJCfVitsE8dMgcdhI_rHpF-9KkJwLrBg-_5hEKkybG-3kRWFTTutQ4A1pOeNFsnrDoiVRSivxBLowssXn4&xkcb=SoAg67M3-ukZkF6pGp0IbzkdCdPP&fccid=fe36c8f8c4a817e4&vjs=3
Chief Operating Officer,Aughdem Recruitment,"Los Angeles, CA",Not Provided,Not Provided,Our client is an innovative AI company that is transforming the consumer packaged goods industry by automating inventory management processes.,https://www.indeed.com/rc/clk?jk=22bd2b4e4f0e35e4&bb=IC0QbZnAs82doQeWr3HeNk02Haj5PrbjQeokDXXVAafwioTTVPwuEcjTtmmAWc0PvGCjzXkHbEe-Lp5K0LFnP9XRggAeK25e07vuNUzaEbx7ZlnTAHiP-2UHn_kZJ3sW&xkcb=SoCu67M3-ukZkF6pGp0PbzkdCdPP&fccid=413cc20e55bda8e3&vjs=3
"Director, Experience Cloud AI Product Marketing",Adobe,"San Jose, CA 95110 (Downtown area)","$136,600 - $297,600 a year",Full-time,"This role will be accountable for owning and evangelizing our differentiated position in the market, and for informing our product strategy with insights from…",https://www.indeed.com/rc/clk?jk=27ccfd14e6f8a7a7&bb=IC0QbZnAs82doQeWr3HeNnoxUEyVUIEUv1fhrLvZ0hPZo34ta-zTgQJFINabtN65EczN3Y_gCY8ZUP0JcEdoQmNpo_uCLZHO5uHprnwHWHGXrf78bvnIRg%3D%3D&xkcb=SoAa67M3-ukZkF6pGp0ObzkdCdPP&fccid=f89deb5a97c7738a&vjs=3
Customer Success,Instrinsic,"San Francisco, CA",Not Provided,Full-time,"Youll be the key point of contact for executive-level stakeholders, aligning our solutions with their strategic goals to unlock value.",https://www.indeed.com/rc/clk?jk=7b29eb033baf3d83&bb=IC0QbZnAs82doQeWr3HeNrC6nl3CpAPyfZxjcJ2s6CKNI79mUjzuRrXp_MhzPS2CyYbaRQ7r1ZszH6tfZwj6LwCoFKQeyBHbzfDf0LgSH6Ni4JBrr2-SbNN--V5kWBbE&xkcb=SoCH67M3-ukZkF6pGp0NbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
Software Developer,Oracle,"Burlington, MA",Not Provided,Not Provided,"As a member of the software engineering division, apply knowledge of software architecture to perform tasks associated with developing, debugging, or designing…",https://www.indeed.com/rc/clk?jk=58e83ff43f81c6ff&bb=IC0QbZnAs82doQeWr3HeNnSN-DJwRdDEIC74cVcXUfxw2aqX52PLgk0vE3xcztdwhuD8JY37DiWkH8zGKa0BOY4hpY1UcMnJiEjwN4WsZpMB4CTWH788Vw%3D%3D&xkcb=SoAz67M3-ukZkF6pGp0MbzkdCdPP&fccid=cd22d01053af7669&vjs=3
AI Engineer,Cornerstone Defense,"Bethesda, MD",Not Provided,Not Provided,"View all Cornerstone Defense jobs in Bethesda, MD - Bethesda jobs - Engineer jobs in Bethesda, MDSalary Search: AI Engineer salaries in Bethesda, MDSee popular questions & answers about Cornerstone Defense",https://www.indeed.com/rc/clk?jk=61b528624c24ea78&bb=IC0QbZnAs82doQeWr3HeNqrD2Jrmq1rNEu6ekTvMWldxTQenI-M6bVbOsn9Msigu_ZP4wZ3IoHDlSOr9O2IB9_CcdO8XFZ1Isj98_gkSTkaA7WtMOA6ZbuTTt2wteeyt&xkcb=SoDa67M3-ukZkF6pGp0DbzkdCdPP&fccid=c4dad3c95358e466&vjs=3
Chatbot Developer,ADP,"Roseland, NJ 07068",Not Provided,Full-time,You will help us reinvent how associates connect with HR using technology and how we provide support by merging automation with user experience.,https://www.indeed.com/rc/clk?jk=d67bcf4a4edb0da6&bb=IC0QbZnAs82doQeWr3HeNuuoCgaBhrW64dLbWLnM75O2GzvwWQ573tLDlUFr28LGNamM5vz02qsdW1xLkbn3-EHNIbLwY9WyWOCPEISRw7k7VqN8Y_MkAQ%3D%3D&xkcb=SoBu67M3-ukZkF6pGp0CbzkdCdPP&fccid=e996c2d6855fe778&vjs=3
