Job Title,Company,Location,Salary($),Job-Type,Job-Description,Raw_Link
Creative Director,Rebuy,Remote in Utah,Not Provided,Not Provided,"Rebuy is SaaS application that is redefining data-powered shopping experiences with a new breed of personalization and merchandising solutions, which turn…",https://www.indeed.com/rc/clk?jk=f50082ead4cd7b9c&bb=44JzEZsh_bxWtrp4GJVWsdW9NGZKIdtB5V3hYBf1KDW_2enshH44sRT_AA4dvXLWx-hVGU4j9UWR8mFcMXTxPliWAp3-aDNPhc0tPeQWb9FpXNL2bgzabMwNCo3qPtGE&xkcb=SoCI67M3-uisjS3Rih0LbzkdCdPP&fccid=feae85bcecdfd7b5&vjs=3
SEO and AI Content Optimization Specialist (12-Month Assignment),Radio Free Asia,"Washington, DC 20036 (Dupont Circle area)",$45 - $60 an hour,Full-time,"You will evaluate RFA’s existing editorial and technical SEO, optimizing website content, and improving SEO to ensure high search-engine rankings.",https://www.indeed.com/rc/clk?jk=1a331f2c3916e75a&bb=44JzEZsh_bxWtrp4GJVWsR7CEK1Pm-3_sG95LAkPMmpDskFLqOtc_clmbZjXs431xKd3TTxFGZExyBXy4cPfLyD49OAdTVDMIv2_dyfdsAt6x_WbW2hRXhd0Rck5Dt2h&xkcb=SoA867M3-uisjS3Rih0KbzkdCdPP&fccid=ebe4691f30a0c9b3&vjs=3
"Business Operations Manager, AWS Advertising & Social","Amazon Web Services, Inc.","Seattle, WA","$66,800 - $142,800 a year",Full-time,"5+ years of program or project management experience.
5+ years of defining and implementing process improvement initiatives using data and metrics experience.",https://www.indeed.com/rc/clk?jk=50ec24a820de4faa&bb=44JzEZsh_bxWtrp4GJVWsXZVQj4npTcbTLwUJb9prOgLOB2QmsvXAXMxZLX--Z7qF5rB-dQY37hFie-tLR0JzqIFB2byPl6V3bISWL1mnsewsmHUnkLkGQ%3D%3D&xkcb=SoCh67M3-uisjS3Rih0JbzkdCdPP&fccid=5cc0cdc6dbb121cc&vjs=3
AI Engineer,BELVA,Remote,Not Provided,Full-time,"As an AI / ML Engineer, you will work closely with our ML and Data Engineers to turn Machine Learning models and data pipelines into robust software…",https://www.indeed.com/rc/clk?jk=3dcdf6ae394fd5e8&bb=44JzEZsh_bxWtrp4GJVWscvNRc7zCX8IMqClZoHN9o0XsnrFx60Ouf_EVLfXgWvXjOutqN7nvW3LvGLx2zmjNIQcz07xLUQA8UADG19NMtVIegw-aPOJvVJcvuT5gq-B&xkcb=SoAV67M3-uisjS3Rih0IbzkdCdPP&fccid=70dbb8682c90aea7&cmp=BELVA&ti=Engineer&vjs=3
"Product Marketing Manager, AR Platform",Snapchat,"Hybrid work in Los Angeles, CA 90291","$143,000 - $252,000 a year",Full-time,"You will partner closely with our Product Management, Design and Partnerships teams to build and launch products and grow their adoption within the developer…",https://www.indeed.com/rc/clk?jk=121715a1ee19e590&bb=44JzEZsh_bxWtrp4GJVWsTkNW2zEGggif6t4FSb7gLZOeOKkTkPQnasW5agrUjnJbgAd4V2nSp9MrjAq3RLsOEsibM5ymkKsrpMsOnOHXxdAv1dkfdOCQpIAKpXSwPXz&xkcb=SoCb67M3-uisjS3Rih0PbzkdCdPP&fccid=f368300325e8e8bc&vjs=3
Creative Director,Vault Communications,"Hybrid work in Plymouth Meeting, PA 19462",Not Provided,Not Provided,You will work alongside the Senior Vice President of Creative Strategy to lead the charge in crafting innovative campaigns that resonate and achieve client…,https://www.indeed.com/rc/clk?jk=1feec3b9a1858c22&bb=44JzEZsh_bxWtrp4GJVWsaUvoXWrbxaeGgnlihRs1zBsgoopMG0n_gwiZJbHwwBo7WQOqVO0nEuRz-J0JRjVyD1Did81rQ4w2e5BN4OlkaIm5qMZRsRcSTBDB_EfaDG_&xkcb=SoAv67M3-uisjS3Rih0ObzkdCdPP&fccid=98b114f54401d611&vjs=3
"Software Engineer, Integration, AI Platforms",Tesla,"Palo Alto, CA","$104,000 - $360,000 a year",Full-time,"As an Integration Engineer within our Autonomy teams, you will play a crucial role in advancing our AI platforms integration with vehicles and humanoid…",https://www.indeed.com/rc/clk?jk=54902f1ef38014a6&bb=44JzEZsh_bxWtrp4GJVWsfg5uceNDvXrfD_Gpp9qRGB80k221EvIGi7BhmNL3X5-5MQxEf3Mq86E_OhNXwOAH3H4UgOS_Heq_nOJ4-nei64-VXpLNi9R0qvwjJjuCOkh&xkcb=SoCy67M3-uisjS3Rih0NbzkdCdPP&fccid=86e9be6ce380173e&vjs=3
Senior AI Engineer - Remote,The Cigna Group,Remote,Not Provided,Not Provided,"Utilizing Large Language Models (LLMs), Open Source, Machine Learning, and numerical programming frameworks, to build transformative solutions.",https://www.indeed.com/rc/clk?jk=87eed957fcd15be9&bb=44JzEZsh_bxWtrp4GJVWsR7CEK1Pm-3_3iS25JmbV8HHlYqGqg-pJ09DVgvBTPEjlKOtCEIYfM9vazcyKyFYSWe9Zrn_W15o56FG3p8j1hWG_PLxtDg6-A%3D%3D&xkcb=SoAG67M3-uisjS3Rih0MbzkdCdPP&fccid=afbf8c270610a38a&vjs=3
AI Engineer,Cornerstone Defense,"Bethesda, MD",Not Provided,Not Provided,"View all Cornerstone Defense jobs in Bethesda, MD - Bethesda jobs - Engineer jobs in Bethesda, MDSalary Search: AI Engineer salaries in Bethesda, MDSee popular questions & answers about Cornerstone Defense",https://www.indeed.com/rc/clk?jk=61b528624c24ea78&bb=44JzEZsh_bxWtrp4GJVWsdoVy-WHMvNM1LZX0Wyfe-DjUt98zaTtshblF2e_AE53EOeW3H6muJJ1ScB86DmdeRzoBSIu_93QqwVCLPKl7EBfMj_1pWbFolXEDaClKeIM&xkcb=SoDv67M3-uisjS3Rih0DbzkdCdPP&fccid=c4dad3c95358e466&vjs=3
Chatbot Developer,ADP,"Roseland, NJ 07068",Not Provided,Full-time,You will help us reinvent how associates connect with HR using technology and how we provide support by merging automation with user experience.,https://www.indeed.com/rc/clk?jk=d67bcf4a4edb0da6&bb=44JzEZsh_bxWtrp4GJVWsftooiYwTkMj4BYfmSbVZKlmha3LJUcg5b_kAB2vD0ZoICHBPY9AXIfvDyY37nFqe0gbkaREUvEWhVsDUqIQSKr276F2vyXDnA%3D%3D&xkcb=SoBb67M3-uisjS3Rih0CbzkdCdPP&fccid=e996c2d6855fe778&vjs=3
