Job Title,Company,Location,Salary($),Job-Type,Job-Description,Raw_Link
Cartographer with TS/SCI,"Allworld Language Consultants, Inc.","Springfield, VA","$85,000 - $100,000 a year",Full-time +1,"An ACTIVE TS/SCI clearance level and willingness to obtain a POLY is REQUIRED for consideration.
Active TS/SCI clearance and willingness to obtain a POLY is…",https://www.indeed.com/rc/clk?jk=9155107364a5a66f&bb=34g5mHgj1Jr-KLO6z8zj-e28lNOfxLkLpeV6ao3McsHORMVzrXmTJYJyJ1owAfKZi-TPeXFRBVKHa70utFVDgxqvEg4Edk1Pu8x19snJTMf07HY5cVbZN9iEBji9Mt_w&xkcb=SoD_67M3-ulvKIgXcz0LbzkdCdPP&fccid=4e89e23a2dc5a95f&cmp=Allworld-Language-Consultants&ti=Cartographer&vjs=3
Post Doctoral Fellow - Artificial Intelligence and Machine Learning,Emory University,"Atlanta, GA 30322",Not Provided,Full-time,The specific area of research in which the trainee is mentored is determined by the department and laboratory of the Postdoc.,https://www.indeed.com/rc/clk?jk=5f92a2433e9004a3&bb=34g5mHgj1Jr-KLO6z8zj-UZPSzRAqycPARQrLfhoAOJQSEyYpa97-o4PXeAE2jWkzbRNx_jKJB-i-9CNyj0OXgGctuDucQkBRo4ki7_cXV983ol13JS3fg%3D%3D&xkcb=SoBL67M3-ulvKIgXcz0KbzkdCdPP&fccid=efe5e2d22a1d29e5&vjs=3
AI Project Delivery Lead,Moorecroft Systems,"Hybrid work in Rosemont, IL 60018",From $40 an hour,Contract,"Moorecroft Systems is hiring for an AI Project Delivery Lead for a large, enterprise level client.
This is an REMOTE position with a _*5+ month…",https://www.indeed.com/rc/clk?jk=d3fcc43ff67d7cfe&bb=34g5mHgj1Jr-KLO6z8zj-e2rIy1VgFovHetV84THYuoYBFw4ixe3h8hJrDinLYG7ygrNEuF8fAiAxHdyuHrYr1X_5gWPQ4e4qUJOd9d5WqUoX61e-dizFdRtYEmchOY_&xkcb=SoDW67M3-ulvKIgXcz0JbzkdCdPP&fccid=a1eea3d82a5b87cd&cmp=Moorecroft-Systems-Inc.&ti=Delivery+Manager&vjs=3
"AI Research Scientist, Language - Generative AI",Meta,"Menlo Park, CA 94025","$143,000 - $208,000 a year",Not Provided,We are looking for recognized experts in NLP or reinforcement learning; with experience in areas like LLM alignment; multilingual modeling; code generation;…,https://www.indeed.com/rc/clk?jk=7a03c309c9adedec&bb=34g5mHgj1Jr-KLO6z8zj-ZhH6bu11Yp7eXvG9oTpCrVg7-l0sPq3QlsCdGZ2WXlLAB_Jpy1FPCcVE5oa7JPZhfuK9JMucXM04MpmOnnrlKW7LKyh70B6pQ%3D%3D&xkcb=SoBi67M3-ulvKIgXcz0IbzkdCdPP&fccid=ba07516c418dda52&vjs=3
Software Engineer II,Microsoft,"Redmond, WA 98052 (Overlake area)","$98,300 - $208,800 a year",Full-time,"With the explosion of artificial intelligence (AI), Microsoft has been at the forefront of developing and adopting AI technologies.
Knowledge of UNIX or Linux.",https://www.indeed.com/rc/clk?jk=190cadb2b9391bb4&bb=34g5mHgj1Jr-KLO6z8zj-Xd7mwDkNiEwt-GDpZq4HbSwdjUNdGpRIGRJsspCk_jm3fR6WpZoeW70AJuwtdmtcN8cydckESueQnBaRJOnuP6EysYkf5zhjg%3D%3D&xkcb=SoDs67M3-ulvKIgXcz0PbzkdCdPP&fccid=734cb5a01ee60f80&vjs=3
Event Manager,Sonata Software,"Trout Lake, WA 98650","$75,851.35 - $80,014.53 a year",Full-time +1,"A trusted partner of world leaders in the retail, manufacturing, distribution, travel, services and software industries, Sonata’s software portfolio includes…",https://www.indeed.com/rc/clk?jk=48e428063f8ba77e&bb=34g5mHgj1Jr-KLO6z8zj-VootR6HsXmB3Q9oF7gH3TqGzaZIMuZ5dml2GmOHdj_ViOPZG-Tu-tpbOgaqAEWlMDEADaEf8sy6bGR_yx1jKj-BckNqLser--RkMiWW5vxH&xkcb=SoBY67M3-ulvKIgXcz0ObzkdCdPP&fccid=10431befa644ec7f&cmp=Sonata-Software&ti=Event+Manager&vjs=3
"Software Engineer, Integration, AI Platforms",Tesla,"Palo Alto, CA","$104,000 - $360,000 a year",Full-time,"As an Integration Engineer within our Autonomy teams, you will play a crucial role in advancing our AI platforms integration with vehicles and humanoid…",https://www.indeed.com/rc/clk?jk=54902f1ef38014a6&bb=34g5mHgj1Jr-KLO6z8zj-UZPSzRAqycPYUJu1J9tcceFyIj6n9BKVYAVm7_ch4djLfDaYGl473deZI2iwIvbsAbDeqB_YzmbC9wV5DHUFuN2WiADa68-URDxu1y0NDjs&xkcb=SoDF67M3-ulvKIgXcz0NbzkdCdPP&fccid=86e9be6ce380173e&vjs=3
Brand Manager,"AiAdvertising, Inc","Remote in Phoenix, AZ",Not Provided,Not Provided,"Our clients gain the intelligence they need to prove advertising’s impact on the bottom line.
We want to invest in a Brand Manager with a blend of agency…",https://www.indeed.com/rc/clk?jk=fc21f9f77f3986a0&bb=34g5mHgj1Jr-KLO6z8zj-bY54HzFXA_cfMIX8MpNcZ-vXqFPKmRa0QbqQTqi88PvELFRC_nwZlPc-saZ1P5M-YNyoO77o6L9BEvDa6PxpJ0bT_Q3CkuU_Dd8ktIc4jZQs8Vx82FCcZA%3D&xkcb=SoBx67M3-ulvKIgXcz0MbzkdCdPP&fccid=29abf9522605404f&cmp=AiAdvertising%2C-Inc&ti=Brand+Manager&vjs=3
AI Engineer,Cornerstone Defense,"Bethesda, MD",Not Provided,Not Provided,"View all Cornerstone Defense jobs in Bethesda, MD - Bethesda jobs - Engineer jobs in Bethesda, MDSalary Search: AI Engineer salaries in Bethesda, MDSee popular questions & answers about Cornerstone Defense",https://www.indeed.com/rc/clk?jk=61b528624c24ea78&bb=34g5mHgj1Jr-KLO6z8zj-ezh6-S8NGHj2YLt0vwZNXR0Y5ZNbahZnuJ1ulgzn-uoqsW18uf4KKXSJKPFVdt9ytgwWPyE6fI0mEx_AbLKpXFo5sz5KOU5ZwpYgzGL87mA&xkcb=SoCY67M3-ulvKIgXcz0DbzkdCdPP&fccid=c4dad3c95358e466&vjs=3
Chatbot Developer,ADP,"Roseland, NJ 07068",Not Provided,Full-time,You will help us reinvent how associates connect with HR using technology and how we provide support by merging automation with user experience.,https://www.indeed.com/rc/clk?jk=d67bcf4a4edb0da6&bb=34g5mHgj1Jr-KLO6z8zj-Xd7mwDkNiEwauRP2Qc8e7tLfvSr6THbJP_ihBY7vM5vwa07Tqy8UuxPXYaylSwSPuW4XQltxfSgJyjCKkJmTzmqWt72KFv-HA%3D%3D&xkcb=SoAs67M3-ulvKIgXcz0CbzkdCdPP&fccid=e996c2d6855fe778&vjs=3
