Job Title,Company,Location,Salary($),Job-Type,Job-Description,Raw_Link
Artificial Intelligence and Machine Learning Research Scientist,Oak Ridge National Laboratory,"Oak Ridge, TN 37830",Not Provided,Full-time,"Experience leading teams and performing research in artificial intelligence / machine learning, specifically for cybersecurity, signal processing, biometrics,…",https://www.indeed.com/rc/clk?jk=134e553658c9531a&bb=KvWLtR7HVK61O82SdC6z5gROh6XASn4QhTw0qOKHMWoxmdULfe8WvI_9jMcxMoeFH1Fr-022bhBhkHrRxjOKDW1mMLb8wY5G9V6qJLM5gf_wvtxVoLT3uA%3D%3D&xkcb=SoAC67M3-ug5bNSU9Z0LbzkdCdPP&fccid=64e028df9b3fd2c4&vjs=3
Founding Research Engineer,Prime Intellect,Remote,Not Provided,Not Provided,We aggregate global compute and enable researchers to collaboratively train state-of-the-art models through distributed training across clusters.,https://www.indeed.com/rc/clk?jk=1429301084c0d0a7&bb=KvWLtR7HVK61O82SdC6z5mzDE1yP6gZHfC2zHtRkZkbVgwPN55AJsnok6Ysv9YoXluxEhqeAdvmN0wD-G0iGYI8ej6uxSDFuR-GGDy23HbMDedQLHbPY6jzJN_7WVdgH&xkcb=SoC267M3-ug5bNSU9Z0KbzkdCdPP&fccid=40340e020e00157d&vjs=3
Professional Services Consulting Principal,Genesys,Remote,"$144,650 - $283,850 a year",Full-time,"As a key member of our Professional Services team, you will be leading presales efforts providing broad and deep expertise in technology to allow our customers…",https://www.indeed.com/rc/clk?jk=791edd5f342836d7&bb=KvWLtR7HVK61O82SdC6z5if9Xt3JVt7bVeCVb-IkmYmcSE82Yckw-HChqob4sS42rmvTHJ0oLy13mXobludOFpB_K-lBAKkRis0T3dgUWg46nNSQ0k4c8z0SPdX8YAyi&xkcb=SoAr67M3-ug5bNSU9Z0JbzkdCdPP&fccid=78ba8c9950e5297a&vjs=3
International Health Industry Market Intelligence Expert,The United Nations Industrial Development...,Remote,Not Provided,Not Provided,"Write and edit a comprehensive guidebook on market intelligence, innovative financing, and investment promotion in the health industry, integrating findings…",https://www.indeed.com/rc/clk?jk=2749c74b28554b31&bb=KvWLtR7HVK61O82SdC6z5n6tKLyB2gQ5lkRBBTcWgh3KouOk_cFI4JRQxkYQwbT4puVnrL9KWc4vYZN2jByAF7dCXnIeLhPlp6SKsLpo0z_HkhWTq5Kd32y7oyftTmnY&xkcb=SoCf67M3-ug5bNSU9Z0IbzkdCdPP&fccid=8851b95cb936af3c&vjs=3
"Senior Technical Writer, Cash Commerce",Cash App,"San Francisco, CA","$126,400 - $223,100 a year",Full-time,"Initially built to take the pain out of peer-to-peer payments, Cash App has gone from a simple product with a single purpose to a dynamic ecosystem, developing…",https://www.indeed.com/rc/clk?jk=ac0adc315bb7aa4d&bb=KvWLtR7HVK61O82SdC6z5tY7QfdIMibZ0izQ4Qh9X4xhfgG-uT0zvjvUMXpgpq-zPVAWM6ik1hIxvhWmpcgZvEj4kEw-wY9ub1vDareZhChqMy-YAxzA1ybs-72-d1iz&xkcb=SoAR67M3-ug5bNSU9Z0PbzkdCdPP&fccid=6f1129ccfbf5c9e9&vjs=3
Brand and Communications Manager,Koch Fertilizer,"Enid, OK 73701",Not Provided,Not Provided,This role will provide develop and execute internal and external communications and public relations initiatives to shape Koch Fertilizers reputation as a…,https://www.indeed.com/rc/clk?jk=743af98520c09015&bb=KvWLtR7HVK61O82SdC6z5sW9nWAuNyikMa5qtT3ncEssNX1z1FHQC-mMChd7UTJu-RJ338WmdzeTL2hTgmMYGN0cTU4-D499r_833HZ4mD84IHzxt5MpHg%3D%3D&xkcb=SoCl67M3-ug5bNSU9Z0ObzkdCdPP&fccid=735667c8ff2f1a48&vjs=3
Customer Success,Instrinsic,"San Francisco, CA",Not Provided,Full-time,"Youll be the key point of contact for executive-level stakeholders, aligning our solutions with their strategic goals to unlock value.",https://www.indeed.com/rc/clk?jk=7b29eb033baf3d83&bb=KvWLtR7HVK61O82SdC6z5kYod8jUz9yCSOxRXoyW5m0XsPiQhQnDNaPQ6I9rKINPxmfU5A-JEZB6dP1o6ixqwyTKtFNK1kIcf34yO6OoKixMmJwz1gXSQVENbQ2CMXA6&xkcb=SoA467M3-ug5bNSU9Z0NbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
"Senior Software Engineer, AI/Machine Learning, Google Photos",Google,"Mountain View, CA",Not Provided,Full-time,"5 years of experience with machine learning algorithms and tools (e.g. TensorFlow), artificial intelligence, deep learning, or natural language processing.",https://www.indeed.com/rc/clk?jk=32bba7398446e535&bb=KvWLtR7HVK61O82SdC6z5hmpvc30DF8_TnIsCDtza9KDoKzNciZVizpZhIvvu5j1WknODsqKPV4e9ul547qCtYomcquvKpg-5cHxCHPYAPwrZeNlkl31WQ%3D%3D&xkcb=SoCM67M3-ug5bNSU9Z0MbzkdCdPP&fccid=a5b4499d9e91a5c6&vjs=3
AI Engineer,Cornerstone Defense,"Bethesda, MD",Not Provided,Not Provided,"View all Cornerstone Defense jobs in Bethesda, MD - Bethesda jobs - Engineer jobs in Bethesda, MDSalary Search: AI Engineer salaries in Bethesda, MDSee popular questions & answers about Cornerstone Defense",https://www.indeed.com/rc/clk?jk=61b528624c24ea78&bb=KvWLtR7HVK61O82SdC6z5qSd2QDEWfV_pfYJ9yO4JkUU94bajO_xhaAsTU4f4kiHmUrCaRc68NLcew3yvxj9DtvBHZhcipr_nsAqTHHY8PLwHMjwjhaZHCItA6V3_g6v&xkcb=SoBl67M3-ug5bNSU9Z0DbzkdCdPP&fccid=c4dad3c95358e466&vjs=3
Chatbot Developer,ADP,"Roseland, NJ 07068",Not Provided,Full-time,You will help us reinvent how associates connect with HR using technology and how we provide support by merging automation with user experience.,https://www.indeed.com/rc/clk?jk=d67bcf4a4edb0da6&bb=KvWLtR7HVK61O82SdC6z5npcDbTYcCi_X2bcCjDY0YCytmofx8JuN7t8WSLmmGdJtSJzYtibc_yhsZSWee1sWgywgYrl6b1QvfuV9T55rgwnx5UCRrzT0A%3D%3D&xkcb=SoDR67M3-ug5bNSU9Z0CbzkdCdPP&fccid=e996c2d6855fe778&vjs=3
