Job Title,Company,Location,Salary($),Job-Type,Job-Description,Raw_Link
"People Partner, ML, Systems and Cloud AI",Google,"Seattle, WA (Fremont area)",Not Provided,Full-time,"Bachelors degree or equivalent practical experience.
Experience working as a management consultant, working with external clients.",https://www.indeed.com/rc/clk?jk=a44818a2422eeb64&bb=2m9lZNvuzrCeHvkGvdpcpJYoEw867SMMte_8BW_hW832c0I-MCTcAcgZJDbfvfXk1y7woT9qjsWpP86VLEAo9tb7CwwpzXblJ7dyM7AwbVLsEZNi3bHalg%3D%3D&xkcb=SoD267M3-uhLX0WaYR0LbzkdCdPP&fccid=a5b4499d9e91a5c6&vjs=3
"Director, AI & Automation",Arch Capital Group Ltd.,"Remote in Jersey City, NJ","$148,614 - $201,666 a year",Full-time,"This includes working with artificial intelligence/machine learning, computer vision, NLP, OCR/IDP, and algorithmic-based actions.",https://www.indeed.com/rc/clk?jk=461df264a098d349&bb=2m9lZNvuzrCeHvkGvdpcpLiusFyp5ASDbp-SX5QmUqREVdONzeJrZdPF_gK3qFoTe4r4XXYN9FMV4WztclUkaFtk6QhGeEQalgbvNhSSBBC108XAUNYLv0o-WNc2gLER&xkcb=SoBC67M3-uhLX0WaYR0KbzkdCdPP&fccid=f9e2e5892872b5c2&vjs=3
Chief Operating Officer,Aughdem Recruitment,"Los Angeles, CA",Not Provided,Not Provided,Our client is an innovative AI company that is transforming the consumer packaged goods industry by automating inventory management processes.,https://www.indeed.com/rc/clk?jk=22bd2b4e4f0e35e4&bb=2m9lZNvuzrCeHvkGvdpcpAJHuxI69Suy6cAuyp0pu8tVXdsLJGZQnroHzPey0rwun9QLBTdWk3DGP93kPM_8m01iwy_VQg1d4H-Y1GyF01pPdt2G8LB8W4S-SIGjPogn&xkcb=SoDf67M3-uhLX0WaYR0JbzkdCdPP&fccid=413cc20e55bda8e3&vjs=3
"Director, Enterprise Sales Strategy and Operations",Athelas,Remote,Not Provided,Not Provided,And technological advancements — from electronic health record systems to dictation software — have failed to live up to their promise of making the lives of…,https://www.indeed.com/rc/clk?jk=e047e7a28eaf51d2&bb=2m9lZNvuzrCeHvkGvdpcpOcJnqgODv9hVA9CUa57VnUIKEAtHyfWfRUWGom0EBv0kU_QuVLfiCq9BDJo55zj6m75CdCMK-EMtxsYgtyAr7ZNPEEfqtnfBCn7WNFFp4s_&xkcb=SoBr67M3-uhLX0WaYR0IbzkdCdPP&fccid=35d650c9e54bdf3c&vjs=3
Head of Creative & Marketing,Majority,"Miami, FL",Not Provided,Not Provided,Were looking for a strategic thinker with a strong understanding of creative production and digital marketing to lead our creative team.,https://www.indeed.com/rc/clk?jk=95513bd9a43e6852&bb=2m9lZNvuzrCeHvkGvdpcpClZCmpW0C9e_jXewqX7AoAnk5B1pTv3k0Gg_fTtYJDfHeJHt7fiwUA1Y1XHhTl8EkndB-UvaL3M57d3klwCuB3N4Gvt6TBMjezYHzYnDsW3&xkcb=SoDl67M3-uhLX0WaYR0PbzkdCdPP&fccid=82f55b4b57928c0c&vjs=3
Senior Computational Linguist,ThirstySprout,"Remote in Washington, DC",Not Provided,Not Provided,"Linguists will help build out the NLU workflows and workstreams required by defining and delivering data annotation pipelines, annotation guidelines, golden…",https://www.indeed.com/rc/clk?jk=f969a5ee4875e450&bb=2m9lZNvuzrCeHvkGvdpcpM6Oc0t9sOXmxDYIYHo4-IvmtoEqTs26M_z0fzs_tu1rHRoBdqQRukuUA3MQkOH3JomNWAIwtePL0KfArmzZ3IaGJO3ibL-7_-o1T-w0LGaN&xkcb=SoBR67M3-uhLX0WaYR0ObzkdCdPP&fccid=778a888cbe048c70&vjs=3
Data Scientist,Altamira Technologies Corp.,"Tampa, FL 33602 (Downtown area)",Not Provided,Full-time,"We’ve also got some awesome benefits like the Altamira Healthy Living program, with ongoing competitions and a flexible spending stipend for health and wellness…",https://www.indeed.com/rc/clk?jk=3ac851fbdd89d2b5&bb=2m9lZNvuzrCeHvkGvdpcpBfRncFLD_J_e_ZJF8VYa4AH0lMIvwysVM5WIRwBXpreavzMiujpnnXoS5N0Is8aulgQNZkfdiQY8OB8CrL2Jx2jlRKED9mqg-EBoqoqBhOx&xkcb=SoDM67M3-uhLX0WaYR0NbzkdCdPP&fccid=1e895ac1c8a408d8&vjs=3
AI Engineer,TerraPower,"Bellevue, WA 98008 (Crossroads area)",Not Provided,Not Provided,"A successful candidate responds to time-sensitive situations with the right balance of expeditious and orderly actions.
Microsoft Bot Builder Framework SDK.",https://www.indeed.com/rc/clk?jk=3b78ac17f66feb7d&bb=2m9lZNvuzrCeHvkGvdpcpBw6ak-sfoPY4aEOjRZfMj5dUDZNLPKiDeIVHCThRBQjLjWWqrQI-OQxChuvO110yb5o9IltZM-bz6i8__lCRuVkeXYE2o9b3QWtwQVKTU7O&xkcb=SoB467M3-uhLX0WaYR0MbzkdCdPP&fccid=3c180c95fe43f633&vjs=3
AI Engineer,Cornerstone Defense,"Bethesda, MD",Not Provided,Not Provided,"View all Cornerstone Defense jobs in Bethesda, MD - Bethesda jobs - Engineer jobs in Bethesda, MDSalary Search: AI Engineer salaries in Bethesda, MDSee popular questions & answers about Cornerstone Defense",https://www.indeed.com/rc/clk?jk=61b528624c24ea78&bb=2m9lZNvuzrCeHvkGvdpcpLiusFyp5ASDci-pwEQYdlGQ7kEf3SzVYtg6NdQKMyG5tIwaScXj8LoAh0U8sLNgWAQX3IdWjmS_z5pJHCdVFeIjaQOZISo3EwQH9Qudpz6N&xkcb=SoCR67M3-uhLX0WaYR0DbzkdCdPP&fccid=c4dad3c95358e466&vjs=3
Chatbot Developer,ADP,"Roseland, NJ 07068",Not Provided,Full-time,You will help us reinvent how associates connect with HR using technology and how we provide support by merging automation with user experience.,https://www.indeed.com/rc/clk?jk=d67bcf4a4edb0da6&bb=2m9lZNvuzrCeHvkGvdpcpKwridk-eV9FE4zUdGstFLLZdrQG0AJiNaoknlXYUvw3h5xQfIB8NLkjl0EHKkOu3QctUatCc6jh9ZQIaFZjwttJTk4E8fAmFA%3D%3D&xkcb=SoAl67M3-uhLX0WaYR0CbzkdCdPP&fccid=e996c2d6855fe778&vjs=3
