Job Title,Company,Location,Salary($),Job-Type,Job-Description,Raw_Link
Gen AI Platform Developer VP (Hybrid),Citi,"New York, NY","$137,610 - $213,480 a year",Full-time,"Generative AI Common Platform Engineer.
Are you looking for career move that will allow to take a strategic project zero to one?
What we’ll need from you:",https://www.indeed.com/rc/clk?jk=6a5c75a5e5c2324f&bb=huazVDZGAfAD86bbxZyi5tRMcg-Z-IKdGILy5arUyb2PfQZvGnw-Zw8dEzGGgwPbcOIRydb3cSydZsEhw6jTcb8pdbYmEotyArUSjUb-HDTO5KmPOvVExA%3D%3D&xkcb=SoC667M3-umwkN6pFJ0LbzkdCdPP&fccid=5bcd1ef0a7f4fb99&vjs=3
Dean of Information Technology and Artificial Intelligence,California Miramar University,"San Jose, CA 95113 (Downtown area)","$85,000 - $120,000 a year",Full-time,California Miramar University is dedicated to delivering a 21st-century global education of the highest quality through a student-centered interactive learning…,https://www.indeed.com/rc/clk?jk=4e493d7a321b525b&bb=huazVDZGAfAD86bbxZyi5q8ntW5LLHiaJlAESYXzPeLby1XIfai43jzcSjrMB-3UtfSEQMX0fsARAuoyWQ7igd1BmT3pwGnn6qe52YMI17H0-UhpDJH_JBDhEL-zO0pB&xkcb=SoAO67M3-umwkN6pFJ0KbzkdCdPP&fccid=e414878848ccf06b&cmp=California-Miramar-University&ti=Information+Technology+Specialist&vjs=3
Full Stack Research Programmer,University of Michigan,"Ann Arbor, MI 48109",Not Provided,Not Provided,"A cover letter is required for consideration for this position and should be attached as the first page of your resume.
U-M EEO/AA Statement.",https://www.indeed.com/rc/clk?jk=f9050a644ab15ada&bb=huazVDZGAfAD86bbxZyi5hy82opBhoLx0H-7GNr9x_a9O3_-sQh34yLZV1W2idreC-qBeXF8Mqxy2IbwZjLsLiSY3D4Ublpy6rVvQO-7udOLjJCGCU4Efg%3D%3D&xkcb=SoCT67M3-umwkN6pFJ0JbzkdCdPP&fccid=46c847dc877cedc2&vjs=3
"People Partner, ML, Systems and Cloud AI",Google,"Seattle, WA (Fremont area)",Not Provided,Full-time,"Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Sunnyvale, CA, USA; Seattle, WA,…",https://www.indeed.com/rc/clk?jk=a44818a2422eeb64&bb=huazVDZGAfAD86bbxZyi5lfNwvnFqVql2jat_-3eoSdSbTi6qbITFexwpb2-bLAYxOStpFKB_Yz9uG9ju8HnTeHmcexSBlnJte2Tn96ggZMl2ySHYTocUw%3D%3D&xkcb=SoAn67M3-umwkN6pFJ0IbzkdCdPP&fccid=a5b4499d9e91a5c6&vjs=3
"Associate Principal, Generative AI, Trust and Safety",Google,"Washington, DC (NoMa area)",Not Provided,Full-time,"Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Seattle, WA, USA; Washington D.C.,…",https://www.indeed.com/rc/clk?jk=92e7a157fcb09469&bb=huazVDZGAfAD86bbxZyi5jcOmlrFOHyFmXuRc1YL_3CLGw8bd7749tvJRc5Sv3yD69N4M_TavGhGEw6ARYZlo5qXRxGHogzSkyrfZ9aZih_1kekqJA_4ng%3D%3D&xkcb=SoCp67M3-umwkN6pFJ0PbzkdCdPP&fccid=a5b4499d9e91a5c6&vjs=3
Data Scientist,Radiance Technologies,"Beavercreek, OH",Not Provided,Full-time,"Background in machine learning/artificial intelligence.
Assist in developing approaches to address key intelligence questions.
Master’s or Doctoral degree.",https://www.indeed.com/rc/clk?jk=ea9c7f40a8d78fee&bb=huazVDZGAfAD86bbxZyi5g4aFQt8Km83b7FPwuCg0EAI7ltYCor8_v3ImDTO3lxjX1oMYGknPWMp_ylP3U_CrhDJn2fwa68MdlInVOQ9PqXCxU6lcKgNv2QPXbfOwCxl&xkcb=SoAd67M3-umwkN6pFJ0ObzkdCdPP&fccid=88e8a91c8a5af093&vjs=3
Head of Machine Learning & Data Science (US/KR),Gauss Labs,"Hybrid work in Palo Alto, CA",Not Provided,Not Provided,"We seek an experienced ML/AI manager to lead the Machine Learning and Data Science team.
The ideal candidate is strong in both practical and fundamental R&D,…",https://www.indeed.com/rc/clk?jk=6929e0988582a1c1&bb=huazVDZGAfAD86bbxZyi5nqjYPgloi1daYLwvg1hVN4MDYFes9Zo-HdGg5I7AIOM9Rxrkh5P56YgpK4oOPQTgkUhxRKqAmVn_yxccjSX0xYILRAcM475lPW8Z4SYK9cf&xkcb=SoCA67M3-umwkN6pFJ0NbzkdCdPP&fccid=d83563372b03254c&vjs=3
"General Manager, CRM",C3 AI,"Redwood City, CA",Not Provided,Not Provided,"C3 AI CRM is a next-generation system of intelligence built with configurable and industry-specific workflows and predictive models.
Learn more at: C3 AI.",https://www.indeed.com/rc/clk?jk=f4e7b4bb5a233728&bb=huazVDZGAfAD86bbxZyi5n4ZHgd2ICu4CAcBmrMokWpo3Ffiw-GSQb1wj6ySuZW4podIL19EGYVcMAw89Qtzmw2o3Q1ybLFpxSw5tXlq-lHmU45qjD1sa936OqdezHvF&xkcb=SoA067M3-umwkN6pFJ0MbzkdCdPP&fccid=81be80e07f930e93&vjs=3
AI Engineer,Cornerstone Defense,"Bethesda, MD",Not Provided,Not Provided,"View all Cornerstone Defense jobs in Bethesda, MD - Bethesda jobs - Engineer jobs in Bethesda, MDSalary Search: AI Engineer salaries in Bethesda, MDSee popular questions & answers about Cornerstone Defense",https://www.indeed.com/rc/clk?jk=61b528624c24ea78&bb=huazVDZGAfAD86bbxZyi5vRstH8iTLkF76WRHy1CY0sLhZGLs9-vUyRJq7KaO87J3uar3RaddCjIoC4TANKz5RHDb7GECCXDGQgBFJNh81SjpfXhIKHsb8eQwWMT7J6z&xkcb=SoDd67M3-umwkN6pFJ0DbzkdCdPP&fccid=c4dad3c95358e466&vjs=3
Chatbot Developer,ADP,"Roseland, NJ 07068",Not Provided,Full-time,"The HR Technology team is responsible for transforming Human Resources with science, technology and human intelligence.",https://www.indeed.com/rc/clk?jk=d67bcf4a4edb0da6&bb=huazVDZGAfAD86bbxZyi5juEIJqjLFBFEs8Q6ttwRri7RuMDnw89BE1l3Y9szoO5NyZJn2SHJmnyA8DGw5bOd7XIhJ9TWTbKdunCwDcZHfjPKQT2QX9cSQ%3D%3D&xkcb=SoBp67M3-umwkN6pFJ0CbzkdCdPP&fccid=e996c2d6855fe778&vjs=3
