Job Title,Company,Location,Salary($),Job-Type,Job-Description,Raw_Link
"ENGINEER - RESEARCH ENGINEER - AI Computer Engineering - Warner Robins, Georgia",Southwest Research Institute,"Warner Robins, GA 31088",Not Provided,Not Provided,"Ongoing threats to national security require timely intelligence data, including signal intelligence obtained through electronic surveillance.",https://www.indeed.com/rc/clk?jk=35ee2b04b04136a7&bb=RtvALGOPpHu4lOLIM1g4AKF7tX5grf6JhUsgw0jwaq3QnHU9vQKLfyrFX2beUZ6ePy-B-WZL6sDEsMgVFLqMgyie1OQw1-9GNdoN--ZlcdNOB2fVIVw3ng%3D%3D&xkcb=SoCD67M3-um7I8apFJ0LbzkdCdPP&fccid=0d9a7400c0a8fdec&vjs=3
"Senior Director, Design",Cohere Health,"Remote in Boston, MA","$180,000 - $215,000 a year",Not Provided,"Our Senior Director, Design will look after our entire product scope, ensuring each of our products is well-informed by user needs and of the highest quality…",https://www.indeed.com/rc/clk?jk=3621e3a3ee4eefc8&bb=RtvALGOPpHu4lOLIM1g4AGTAKaHtko-40gX1PJJE-nDX9v0s2fParcIYt9Dhn6L91H44rGwvRZ99IlO0o4AmRc77dxdWdwhPMuWZ_zGsHBZIJyNsJX_HJI4OYw_qQGh0&xkcb=SoA367M3-um7I8apFJ0KbzkdCdPP&fccid=2ce3a21e0a968aec&vjs=3
Software Sales,"Vantagepoint ai, LLC","Westchase, FL 33626","$100,000 a year",Full-time,"Vantagepoint ai holds two US patents on the technology and continues to develop innovative, highly accurate predictive artificial intelligence software that…",https://www.indeed.com/rc/clk?jk=28e4fc6a657bbe52&bb=RtvALGOPpHu4lOLIM1g4AIWIHs9sv1CC21Lh7MpuoORZCk6FVz132aC8eC9LbhJ0m3jYY5A0a5UY0ETJhkAD4wmRbyBOKUzoTbkOy5BTEe-HbO4G0sE9uWmNf-KA2c5y&xkcb=SoCq67M3-um7I8apFJ0JbzkdCdPP&fccid=3c14a778776ef983&vjs=3
Post Doctoral Fellow - Artificial Intelligence and Machine Learning,Emory University,"Atlanta, GA 30322",Not Provided,Full-time,The specific area of research in which the trainee is mentored is determined by the department and laboratory of the Postdoc.,https://www.indeed.com/rc/clk?jk=5f92a2433e9004a3&bb=RtvALGOPpHu4lOLIM1g4AEpAM5IiKj2pns3eIxwKEIVrRPn407KB-3x-1gvEORLCR5i00sphU2_EhH_RQkBsQEt-RuZhKfyXCeZZHvY6XAqtcLlkjXiDvA%3D%3D&xkcb=SoAe67M3-um7I8apFJ0IbzkdCdPP&fccid=efe5e2d22a1d29e5&vjs=3
Associate II,"John Snow, Inc","Hybrid work in Boston, MA 02210","$72,246 - $105,837 a year",Full-time,"Utilizes emotional intelligence to deeply analyze and understand problems, synthesizing information from multiple sources.",https://www.indeed.com/rc/clk?jk=45144626687579be&bb=RtvALGOPpHu4lOLIM1g4AOXCDfQ-P-Mq5yY6B-sYyd4S_7MUlJon91JZtJJ6Z0czxPbUtLrhJsRp77LN3-sikOy_NnfAtnn9o_AhzXB6RLWvmB1FXPUpy2SlgOTX47kP&xkcb=SoCQ67M3-um7I8apFJ0PbzkdCdPP&fccid=52f9a4dde3bc5fe5&cmp=JSI-%2526-World-Education&ti=Retail+Sales+Associate+II&vjs=3
Senior AI Engineer - Remote,The Cigna Group,Remote,Not Provided,Not Provided,"Utilizing Large Language Models (LLMs), Open Source, Machine Learning, and numerical programming frameworks, to build transformative solutions.",https://www.indeed.com/rc/clk?jk=87eed957fcd15be9&bb=RtvALGOPpHu4lOLIM1g4AIn8pYBeJyTctE_KNy17hW8wWge6fp_bSYlj_niKmyx7CWIbnmDMG6UufPFhv8MuSixlmP3WR6_ELqCcspN1WlaM2KbHh5CiFQ%3D%3D&xkcb=SoAk67M3-um7I8apFJ0ObzkdCdPP&fccid=afbf8c270610a38a&vjs=3
Senior Content Designer/UX Writer - Artificial Intelligence,Wells Fargo,"New York, NY","$100,800 - $179,200 a year",Full-time,"This role demands a healthy balance of flawless writing, strategic UX thinking, and passion for detail.
Write useful and friendly conversational responses for a…",https://www.indeed.com/rc/clk?jk=d97968dcbea6bd79&bb=RtvALGOPpHu4lOLIM1g4AKN73w9Hqnr5w20TCCqho9ox-7Keh4QXhOVw3AQGADUZBk6iTu0i4VYra0vTLeQPzdD1F4VrBq_6Sa9BTvQDTicr8IAcV9RAQA%3D%3D&xkcb=SoC567M3-um7I8apFJ0NbzkdCdPP&fccid=78bbcd26e39621f5&vjs=3
Trades Technician - Grounds,Germanna Community College,"Spotsylvania, VA","$36,139 - $44,886 a year",Full-time,"Experience with or willingness to learn artificial intelligence tools.
Hiring Range: $36,139- $44,886; plus full state benefits.",https://www.indeed.com/rc/clk?jk=32754ae253ce59d3&bb=RtvALGOPpHu4lOLIM1g4AMFYWnPx9iQB29lP1x9mKdeMW-e-4chfvJaMQJEdUyc3ePvu8M2nd2sjjTmB-9p4zmj21EB9F2pNdLCwWOJI8_O9_bZwQrJluY28AWcJ8tbL&xkcb=SoAN67M3-um7I8apFJ0MbzkdCdPP&fccid=1b01e4b7b6764d7e&vjs=3
AI Engineer,Cornerstone Defense,"Bethesda, MD",Not Provided,Not Provided,"View all Cornerstone Defense jobs in Bethesda, MD - Bethesda jobs - Engineer jobs in Bethesda, MDSalary Search: AI Engineer salaries in Bethesda, MDSee popular questions & answers about Cornerstone Defense",https://www.indeed.com/rc/clk?jk=61b528624c24ea78&bb=RtvALGOPpHu4lOLIM1g4AA3Z6fBkXHAk82JsG5CLjCMAMZn0Ng9s1kJfuuXMxHrhV6VgzEn_8581OUKrM2NV7i5k_3QUPeeBfFZPE-G93_7kgfgGQwGESi2EW_trN9kF&xkcb=SoDk67M3-um7I8apFJ0DbzkdCdPP&fccid=c4dad3c95358e466&vjs=3
Chatbot Developer,ADP,"Roseland, NJ 07068",Not Provided,Full-time,You will help us reinvent how associates connect with HR using technology and how we provide support by merging automation with user experience.,https://www.indeed.com/rc/clk?jk=d67bcf4a4edb0da6&bb=RtvALGOPpHu4lOLIM1g4APv2CPIMP7GwDsGlCEld4pf99Fmfg96BxRf1r5kQyQYlnTYpHd1syIny6AtskBv3mQmhLjfC8EPQTybngOcXQe9_PWYXVBCYDg%3D%3D&xkcb=SoBQ67M3-um7I8apFJ0CbzkdCdPP&fccid=e996c2d6855fe778&vjs=3
