Job Title,Company,Location,Salary($),Job-Type,Job-Description,Raw_Link
Research Assistant,Virginia Tech,"Blacksburg, VA",$15 - $25 an hour,Part-time,"View all Virginia Tech jobs in Blacksburg, VA - Blacksburg jobsSalary Search: Research Assistant salaries in Blacksburg, VASee popular questions & answers about Virginia Tech",https://www.indeed.com/rc/clk?jk=57488c456ca49789&bb=ARU4G5_uz2gbOG3GpBRe3F6skKiRhcblGA62XzLjHayCdQNxFRdsWtp6J26U_rtFi1YO40yq8Ur8DwCuiPFawjMtgAWR72machQrmh6pVaElBxWXtzP83uWqtKEgjMDk&xkcb=SoBI67M3-uk8dKUTU50LbzkdCdPP&fccid=838875e9df57e8c2&vjs=3
ML Science Manager,Abridge,"Remote in New York, NY","$250,000 - $300,000 a year",Full-time,"View all Abridge jobs in New York, NY - New York jobs - Data Science Manager jobs in New York, NYSalary Search: ML Science Manager salaries in New York, NY",https://www.indeed.com/rc/clk?jk=c80dadea504899f9&bb=ARU4G5_uz2gbOG3GpBRe3LXiIe3zHWLiWqmcMzwOU4MPfJXxNh6r1o5eaDM6ZQcIXLGshxWvvbvNWglKRBmAdQR5rbgXi9gVI5go1X5z4mRDRNG0IyaIaY91dgc6j4Sp&xkcb=SoD867M3-uk8dKUTU50KbzkdCdPP&fccid=5b2e61563c231592&vjs=3
TheGamer | Gaming Tech Writer,TheGamer,Remote,Not Provided,Full-time +1,View all TheGamer jobs in Remote - Remote jobs - Writer jobs in RemoteSalary Search: TheGamer | Gaming Tech Writer salaries in RemoteSee popular questions & answers about TheGamer,https://www.indeed.com/rc/clk?jk=ed361b6ee1e74a6e&bb=ARU4G5_uz2gbOG3GpBRe3JlvCoHWfH49gqN_GBuQSf0lQR6LAgVhBu1L8F0__0SBDp-2fyZNrBWNwcnfS4tYHLItTsSF3xSoi2dn4GYGeZbegTCt9Pt4hh6G_FlWkug_&xkcb=SoBh67M3-uk8dKUTU50JbzkdCdPP&fccid=268ccc0f69b776be&vjs=3
Senior People Data Scientist,Workhuman,"Hybrid work in Framingham, MA",Not Provided,Full-time,"View all Workhuman jobs in Framingham, MA - Framingham jobs - Senior Data Scientist jobs in Framingham, MASalary Search: Senior People Data Scientist salaries in Framingham, MASee popular questions & answers about Workhuman",https://www.indeed.com/rc/clk?jk=f787544be54285f6&bb=ARU4G5_uz2gbOG3GpBRe3KfdBW6yp_G5SQ8_9bbzWeIASSPrRzF3iikn1Hzhc1CDV4H-0ORo2vM2G0U3eICgSx4WDwEOUgYEzkIVODWogF2t4EkFZu3xYhuuVMeqmA3L&xkcb=SoDV67M3-uk8dKUTU50IbzkdCdPP&fccid=2ee5d5861035d939&vjs=3
"Director, Product Marketing",Automation Anywhere,Remote,Not Provided,Not Provided,"View all Automation Anywhere jobs in Remote - Remote jobs - Director of Marketing jobs in RemoteSalary Search: Director, Product Marketing salaries in RemoteSee popular questions & answers about Automation Anywhere",https://www.indeed.com/rc/clk?jk=849390c34c91459f&bb=ARU4G5_uz2gbOG3GpBRe3NWBz84hOutxZbSbOIsfpyrVKaOFMYt5lfSqakDdO8JdY3OQszHX9m6CWnYxjJ9wvkCLoR3FO0GUxcnvReic7cCuYS4X2EX-htP3MwJiZCRK&xkcb=SoBb67M3-uk8dKUTU50PbzkdCdPP&fccid=ab744513af386474&vjs=3
"Director of Product, U-Assist",Uniphore,"Palo Alto, CA","$226,100 - $310,900 a year",Full-time,"View all Uniphore jobs in Palo Alto, CA - Palo Alto jobs - Director of Product Management jobs in Palo Alto, CASalary Search: Director of Product, U-Assist salaries in Palo Alto, CA",https://www.indeed.com/rc/clk?jk=cc452c9c46fa4e4f&bb=ARU4G5_uz2gbOG3GpBRe3JsjteOoXa169dVUKbG48WyKmjuS1GPQgg4NHLBAGIMCO1yUNrrC-dTi8YYcOX1bvQqafuEa5RFwiP-Bs56PmmEEoNY4U8sqn9mlyTVjSAQc&xkcb=SoDv67M3-uk8dKUTU50ObzkdCdPP&fccid=34f8c7d77241eaa8&vjs=3
Founding Product Designer,Recruiting From Scratch,Remote,Not Provided,Not Provided,View all Recruiting From Scratch jobs in Remote - Remote jobs - Product Designer jobs in RemoteSalary Search: Founding Product Designer salaries in RemoteSee popular questions & answers about Recruiting From Scratch,https://www.indeed.com/rc/clk?jk=719a869ab626c09d&bb=ARU4G5_uz2gbOG3GpBRe3AULoJ5fdmX9eUXghVsSWweNfGevHaaRFH9eGi_Y8vSWSRTRVvhj_xk0jasKob3To0ezD2RUsVim01842VVI8EdjDZOVFNb2_kvIV6-5W6_a&xkcb=SoBy67M3-uk8dKUTU50NbzkdCdPP&fccid=09e02654c2f26bbd&vjs=3
Associate II,JSI,"Boston, MA 02210 (South Boston area)","$72,246 - $105,837 a year",Not Provided,"View all JSI jobs in Boston, MA - Boston jobs - Retail Sales Associate II jobs in Boston, MASalary Search: Associate II salaries in Boston, MASee popular questions & answers about JSI",https://www.indeed.com/rc/clk?jk=155657918145705f&bb=ARU4G5_uz2gbOG3GpBRe3FdyMek-KWPlmIm0qgWhYBLoR1o4SLVr0hkBsj0-yGKgAbHydiTEaV7GjSt58hT1PBxR-eaFkryP1tUVsDpdlXouu9LriB727Sjm5yloCpYI&xkcb=SoDG67M3-uk8dKUTU50MbzkdCdPP&fccid=fe36c8f8c4a817e4&vjs=3
AI Engineer,Cornerstone Defense,"Bethesda, MD",Not Provided,Not Provided,"View all Cornerstone Defense jobs in Bethesda, MD - Bethesda jobs - Engineer jobs in Bethesda, MDSalary Search: AI Engineer salaries in Bethesda, MDSee popular questions & answers about Cornerstone Defense",https://www.indeed.com/rc/clk?jk=61b528624c24ea78&bb=ARU4G5_uz2gbOG3GpBRe3LkKu6D-A6_-q4y4rQCAGyOhwGLJFDFH69tdd8DHmkzu6DmjtigXWTjjMPbiQloAljfwgHFZUo7x8W9tRHPN8nRhyxuEqYOdPFYo6SVNfqEl&xkcb=SoAv67M3-uk8dKUTU50DbzkdCdPP&fccid=c4dad3c95358e466&vjs=3
Chatbot Developer,ADP,"Roseland, NJ 07068",Not Provided,Full-time,"View all ADP jobs in Roseland, NJ - Roseland jobs - Developer jobs in Roseland, NJSalary Search: Chatbot Developer salaries in Roseland, NJSee popular questions & answers about ADP",https://www.indeed.com/rc/clk?jk=d67bcf4a4edb0da6&bb=ARU4G5_uz2gbOG3GpBRe3GGaCOKLim9lDpBsfIRqGBoLpMYyGLzIRQUw8tYcPdu9MyqilZHPjFnzcS3zA6nO9V6b-CCI8IoS6idh2D7h83h7zi8V5yDbUA%3D%3D&xkcb=SoCb67M3-uk8dKUTU50CbzkdCdPP&fccid=e996c2d6855fe778&vjs=3
Competitive Intelligence Lead,"Grammarly, Inc.",Hybrid work in United States,Not Provided,Not Provided,"View all Grammarly, Inc. jobs in United States - United States jobsSalary Search: Competitive Intelligence Lead salariesSee popular questions & answers about Grammarly, Inc.",https://www.indeed.com/rc/clk?jk=416f3bf573d88116&bb=ARU4G5_uz2gbOG3GpBRe3EF8GMbnknuzzNoa0sIleaoqKvZkehpebvwz21YpGt6M_UnCvuY0Xlete7ybCFjwSsqJm-3I51j2bCnY4wnfsFOcqSpkFUTVYoSJ5Zun5x5j&xkcb=SoAG67M3-uk8dKUTU50BbzkdCdPP&fccid=0555014e7bce64c3&vjs=3
"Senior Writer and Editor, AI at Work",Microsoft,United States,"$103,800 - $219,200 a year",Full-time,"View all Microsoft jobs in United States - United States jobs - Senior Writer/Editor jobs in United StatesSalary Search: Senior Writer and Editor, AI at Work salaries in United StatesSee popular questions & answers about Microsoft",https://www.indeed.com/rc/clk?jk=a753f4b4e94242de&bb=ARU4G5_uz2gbOG3GpBRe3FoJrpTQHrsziMeZGgVzaUVdPSgGsl6LZGYth_xmhX7CtRN4bBDdVTMVquGy2nuoubP-uAOkqdYHY82nHu8_lj7EPeD2pU2QJg%3D%3D&xkcb=SoCy67M3-uk8dKUTU50AbzkdCdPP&fccid=734cb5a01ee60f80&vjs=3
AI Data Annotator,Vistatec,United States,Not Provided,Not Provided,View all Vistatec jobs in United States - United States jobsSalary Search: AI Data Annotator salariesSee popular questions & answers about Vistatec,https://www.indeed.com/rc/clk?jk=644269f566114edb&bb=ARU4G5_uz2gbOG3GpBRe3CHkpzHObmvGTSWdZoKp3Pu6XuA0AlLo0sdkfAM-EfsZq-e5YqsxlE3yHX4QcB_WNa84XIP32PWfF08pi_U1BgQFwhRiwoboMw%3D%3D&xkcb=SoA867M3-uk8dKUTU50HbzkdCdPP&fccid=33fede40a40fcf6f&vjs=3
