Job Title,Company,Location,Salary($),Job-Type,Job-Description,Raw_Link
AI Collection Technician,New Fashion Pork,"Bloomfield, IN 47424",Not Provided,Full-time +1,"This position is responsible for assisting with the daily barn activities, including but not limited to the daily care of breeding animals, semen collection and…",https://www.indeed.com/rc/clk?jk=839c0bc37eb46d72&bb=uAx0_VXk15tm8QDosYrnDifidXnYNipboLCarBhKa9hsEVBGdfNsaOUnsfoHvaseDvYabP76p3Du0rYglbFuJgbXozKlEqqd9oj0aBfRcYfb06iX-zexUyUwDZzYDlHp&xkcb=SoCU67M3-uvuScULXZ0LbzkdCdPP&fccid=622a5c6c8afdf380&vjs=3
"Product Marketing Manager , Amazon SageMaker","Amazon Web Services, Inc.","Seattle, WA","$98,200 - $179,600 a year",Full-time,"5+ years of professional non-internship marketing experience.
Experience building, executing and scaling cross-functional programs or marketing campaigns from…",https://www.indeed.com/rc/clk?jk=128c07b9684350e8&bb=uAx0_VXk15tm8QDosYrnDjcUqzuTW_QK1_-Twc2xdDGhsxk4P7ZLWtDfnXJ9cPlCiihcFz_1lg-bWYHrlvBOT4qq-QYmNPQOqwMjk8_FqawSFldFjV97vA%3D%3D&xkcb=SoAg67M3-uvuScULXZ0KbzkdCdPP&fccid=5cc0cdc6dbb121cc&vjs=3
Scientific Analyst,California Institute of Technology,"Pasadena, CA 91125 (Pasadena area)",Not Provided,Full-time,The selected applicant will work with members of several teams at IPAC to investigate and implement machine learning and artificial intelligence (ML/AI)…,https://www.indeed.com/rc/clk?jk=af425ebbc74e56e4&bb=uAx0_VXk15tm8QDosYrnDjFNiPtn3vW3Zl6J9EillYsGAYjuDBDTGNi9z-UIX6EZujtvxGjFZB-zQlz4DSKKOPYboh9kRv-7FX4sfYuuO5ClDAnl74U73A%3D%3D&xkcb=SoC967M3-uvuScULXZ0JbzkdCdPP&fccid=3f13ab783077a3af&vjs=3
Member of Technical Staff - Platform Engineer,Microsoft,"Hybrid work in Redmond, WA 98052","$117,200 - $229,200 a year",Full-time,"Our vision is bold and broad — to build systems that have true artificial intelligence across agents, applications, services, and infrastructure.",https://www.indeed.com/rc/clk?jk=5dc85d63da724393&bb=uAx0_VXk15tm8QDosYrnDuMqvSzgEHHjYctgMCpZQ6I_PVvjUd7txNlxli-lPXFVDPRjL0tmeQ_PulTm_SDsPplFzkHwXgUcHq7v9Y3-tZExgbRKTJqCTg%3D%3D&xkcb=SoAJ67M3-uvuScULXZ0IbzkdCdPP&fccid=734cb5a01ee60f80&vjs=3
Senior AI Programmer,Bethesda Game Studios,"Rockville, MD",Not Provided,Not Provided,"Come join Bethesda Game Studios, the award-winning development team behind Starfield, The Elder Scrolls and Fallout.
Your Daily Life at Bethesda Game Studios.",https://www.indeed.com/rc/clk?jk=c3f0ada65cd3c709&bb=uAx0_VXk15tm8QDosYrnDm8qGcxUYrx0S2Ug7a9sBrTTmyoVkYsmVch7ZaU4WRM8R9g0OHG7iPJy8TUY6RDjwJUfHyMS1qFSNak6qPNRgZwjrKn6o0l8pgarJJ8rv7SJ&xkcb=SoCH67M3-uvuScULXZ0PbzkdCdPP&fccid=bd0013c41b0fe15a&vjs=3
Financial Transformation consultant,Infosys BPM Limited,"New York, NY 10001 (Garment District area)","$140,000 - $170,000 a year",Full-time,The role is of a Principal / Lead Consultant –US assists clients to determine their business issues and recommend feasible and viable solutions to drive…,https://www.indeed.com/rc/clk?jk=4bcda469f846a319&bb=uAx0_VXk15tm8QDosYrnDgJub-HDtyWF_J3wOOa5HIjFGxalUQ0qr-s2kO-prRk07hcCydfp_mzL8dMU7qOSS97UyehvEr8L40ZZXyAQbtgJyZeevDXHtrLRe-QVxkEy4WevuQAVMPw%3D&xkcb=SoAz67M3-uvuScULXZ0ObzkdCdPP&fccid=c67533a523c83a4c&cmp=Infosys&ti=Financial+Consultant&vjs=3
Fine Jewelry & Watch Specialist,The RealReal,"Perth Amboy, NJ 08861",$24 - $27 an hour,Full-time,"As a Fine Jewelry & Watch Specialist at The RealReal, you’ll have an opportunity to make a big impact from day one!
What You Get To Do Every Day.",https://www.indeed.com/rc/clk?jk=e947b0b1b04e16ef&bb=uAx0_VXk15tm8QDosYrnDs2cZT_Lfg9tX8C36xqZ-tvflYsU8KdaiJ_9kuCDqdra7J2Gcv0aEAvTbrIOfRD5K4RC8Tg3BQ0C83fWaPidVH7WVNRx_dWpeP2cpzSwoA4N&xkcb=SoCu67M3-uvuScULXZ0NbzkdCdPP&fccid=1b0692814cc13474&vjs=3
Data Scientist,Norstella,Remote,Not Provided,Not Provided,"Our deep expertise in machine learning, artificial intelligence, advanced statistical modelling, and big data, combined with our domain knowledge, enables us to…",https://www.indeed.com/rc/clk?jk=8646b9661328fbcf&bb=uAx0_VXk15tm8QDosYrnDmQdnfQG7HyjZiZOtU_7zmPEkiReVeWCS1fNpJmzDhR4x9YhsP48V1_EEjBW5TEuZGWfGA80VSKWWKyXND_lArXP6pdrxPzXQdpdBKP_GnFF&xkcb=SoAa67M3-uvuScULXZ0MbzkdCdPP&fccid=f5a8e2e808c3b88a&vjs=3
AI Engineer,Cornerstone Defense,"Bethesda, MD",Not Provided,Not Provided,"View all Cornerstone Defense jobs in Bethesda, MD - Bethesda jobs - Engineer jobs in Bethesda, MDSalary Search: AI Engineer salaries in Bethesda, MDSee popular questions & answers about Cornerstone Defense",https://www.indeed.com/rc/clk?jk=61b528624c24ea78&bb=uAx0_VXk15tm8QDosYrnDt-c9e3oquMKYjcydV7I6YqwiQpk3jkjp6PRZJcIb_OQmNC11NwwpferQFJ0cCN5r5I1UxLrdr8UFpex2BjgiFjdhNC4gWa_V4aKqHxiI0iv&xkcb=SoDz67M3-uvuScULXZ0DbzkdCdPP&fccid=c4dad3c95358e466&vjs=3
Chatbot Developer,ADP,"Roseland, NJ 07068",Not Provided,Full-time,"The HR Technology team is responsible for transforming Human Resources with science, technology and human intelligence.",https://www.indeed.com/rc/clk?jk=d67bcf4a4edb0da6&bb=uAx0_VXk15tm8QDosYrnDmzfaCporC2edosOMHGqYh-EvCxIIwuUYMvxG4X8opEtNLVm4vPZixd_HDzbEJQS7hWLUNIHpw_FphUdSkrzpsyLMSEDXkyldw%3D%3D&xkcb=SoBH67M3-uvuScULXZ0CbzkdCdPP&fccid=e996c2d6855fe778&vjs=3
