Job Title,Company,Location,Salary($),Job-Type,Job-Description,Raw_Link
Executive Director,Radiant.digital,Remote,Not Provided,Not Provided,"The Executive Director (ED) will be responsible for leading a diverse team of high performing employees and consultants, including architects, front-end and…",https://www.indeed.com/rc/clk?jk=5053ae643c6fbd62&bb=hIALnqNUJPII6afyva0zRixQA9cFlLjo1yWcVavnaYS9EWIsc0aer7kvUtSmB5SOrG5Mv4aVf9DavsMZ_TFMzw8xG6LlaKktOm0Q08FluOXqOYNxBm1L7JbKvsHNuCwo&xkcb=SoCm67M3-uiJYt6pGp0KbzkdCdPP&fccid=06aec907f52e0e70&cmp=Radiant.digital&ti=Executive+Director&vjs=3
Senior Tech Reporter,Conde Nast,"Remote in New York, NY","$70,000 - $110,000 a year",Full-time,"This starts with reporting on the impactful topics of artificial intelligence and machine learning, but will also include coverage related to innovations in…",https://www.indeed.com/rc/clk?jk=ac1078cdbce6281c&bb=hIALnqNUJPII6afyva0zRtpqSHGVjHGzAOVHQfLvgP4dE7nyGktoDKdgdFl5oKfu_UHeTDp8q-wiIN7blXwEx20GMagyDikgawg8XiloCTk15mkqJiNxjw%3D%3D&xkcb=SoA767M3-uiJYt6pGp0JbzkdCdPP&fccid=7ca1385998532a85&vjs=3
Order Manager,"World Wide Technology Holding, LLC","St. Louis, MO 63146",Not Provided,Full-time,"Bachelors Degree Business, Supply Chain Management or related field required.
2+ years progressive experience in supply chain, preferably in a complex…",https://www.indeed.com/rc/clk?jk=86c7e54b6863925c&bb=hIALnqNUJPII6afyva0zRni3li-4vfh-5x8zre2hEyA24xO3ChwzgMOXnP2SM-A4QhWWZZPxbV59XVPHNI-JYRzg6saguPMLJpzyMcp2Ex_N6XmhUA8SiJRymIPux6lX&xkcb=SoCP67M3-uiJYt6pGp0IbzkdCdPP&fccid=a3824b5f2c11b45a&vjs=3
"Quantum Measurement Engineer, Hardware, Quantum AI",Google,"Goleta, CA",Not Provided,Full-time,"Bachelors degree in Science or Engineering, or equivalent practical experience.
2 years of experience in using software in any language to interface with…",https://www.indeed.com/rc/clk?jk=9b0774cbcb3fe58e&bb=hIALnqNUJPII6afyva0zRh8v_T3yJKH5NFRIAmhn3wOVzajH3YIf5U7DFV7XHmOrMGHQImZw3y_D3JCSnkAmowKd6vKljAWK9n5XlEji1lVdMCheLAO0CA%3D%3D&xkcb=SoAB67M3-uiJYt6pGp0PbzkdCdPP&fccid=a5b4499d9e91a5c6&vjs=3
Machine Learning Engineer,Deep 6 AI,"Remote in Pasadena, CA","$150,000 - $180,000 a year",Full-time,"Lead the design, development, and deployment of machine learning models( BERT + LLM ) into real-world production applications.",https://www.indeed.com/rc/clk?jk=0f2393c50e2be2b0&bb=hIALnqNUJPII6afyva0zRnEoFe3aou8nWTIpBM0wFIQKmVp5x-p2zfQvqD7rmguhgbTzDxXgful2AAAT7iQKENL-I9rDew8KlMB1Xe0q_Lc_aPHeuKT_5AubIfobNQon&xkcb=SoC167M3-uiJYt6pGp0ObzkdCdPP&fccid=ccbe655562f4a05b&vjs=3
"Director, AI & Automation",Arch Capital Group Ltd.,"Remote in Jersey City, NJ","$148,614 - $201,666 a year",Full-time,"This includes working with artificial intelligence/machine learning, computer vision, NLP, OCR/IDP, and algorithmic-based actions.",https://www.indeed.com/rc/clk?jk=461df264a098d349&bb=hIALnqNUJPII6afyva0zRjMflup-GX2dDVWyeWkeKk2M_DWNOSXShn_7aMP6-4yt9DcmAmF-Cazdb1UzrL0L-SyKadyJ3LNmuSJtcL40yrviZHIM7o87lJuZysKTDoet&xkcb=SoAo67M3-uiJYt6pGp0NbzkdCdPP&fccid=f9e2e5892872b5c2&vjs=3
Senior Associate Textile Designer,REVOLVE,"Los Angeles, CA 90021","$70,000 - $80,000 a year",Full-time,This is a full-time role for a candidate who will support the Director of Textile & Art and utilize his or her creativity to manipulate and design prints for…,https://www.indeed.com/rc/clk?jk=14be841f5d8b6ad6&bb=hIALnqNUJPII6afyva0zRrCMzqPdRUUZ8UD_1yyUMv-FzeeGmUgDHxDbCeyHZv96BpeUcuvo9Gzhke8nR1vI0IV8fFctPdss1z2d-9IDJwFwvEYUbN-j7RpOvEVwy7RE&xkcb=SoCc67M3-uiJYt6pGp0MbzkdCdPP&fccid=7ff17b3690e6290e&vjs=3
Analyst,"World Wide Technology Holding, LLC","St. Louis, MO 63146",Not Provided,Not Provided,"Work with business stakeholders and the Product Owner to gather, analyze and define business requirements.
Testing the end-to-end solution to ensure complete…",https://www.indeed.com/rc/clk?jk=cddac5aad0761ffc&bb=hIALnqNUJPII6afyva0zRnWay4mBtEzd6uD6M8dfFsVAfghMtdFrR2iCKbcaCWsK-CnES4V26hzS32pWfwkjO73tG5tyfK92vQK9lSQ8-uz1ZZkGYn3P66ooKTtHH9r9&xkcb=SoB167M3-uiJYt6pGp0DbzkdCdPP&fccid=a3824b5f2c11b45a&vjs=3
AI Engineer,Cornerstone Defense,"Bethesda, MD",Not Provided,Not Provided,"View all Cornerstone Defense jobs in Bethesda, MD - Bethesda jobs - Engineer jobs in Bethesda, MDSalary Search: AI Engineer salaries in Bethesda, MDSee popular questions & answers about Cornerstone Defense",https://www.indeed.com/rc/clk?jk=61b528624c24ea78&bb=hIALnqNUJPII6afyva0zRjMflup-GX2dY5tvawRVTnRw3VRa0DJfeMtP0D149NVdXTy_zaMcgIZ6w94BOR7hbXZsHcLQsrdt-GhpOA2qgYFOjaze0LSn-T6dTVAKiJkB&xkcb=SoDB67M3-uiJYt6pGp0CbzkdCdPP&fccid=c4dad3c95358e466&vjs=3
Chatbot Developer,ADP,"Roseland, NJ 07068",Not Provided,Full-time,You will help us reinvent how associates connect with HR using technology and how we provide support by merging automation with user experience.,https://www.indeed.com/rc/clk?jk=d67bcf4a4edb0da6&bb=hIALnqNUJPII6afyva0zRhezV9aNmjiSR1B6edYVMa2o-xkUG2Nonhw1f512dPz58U5ObBiv5TFvvLsgRrZV5y84lzwn2OO0pe44vo8zqOXrPTVH2XibVQ%3D%3D&xkcb=SoBc67M3-uiJYt6pGp0BbzkdCdPP&fccid=e996c2d6855fe778&vjs=3
