Job Title,Company,Location,Salary($),Job-Type,Job-Description,Raw_Link
Development and Operations Innovation Leader,WEX Inc.,"Portland, ME 04101 (Downtown area)","$134,000 - $178,000 a year",Full-time,"View all WEX Inc. jobs in Portland, ME - Portland jobs - Development Operations Engineer jobs in Portland, MESalary Search: Development and Operations Innovation Leader salaries in Portland, MESee popular questions & answers about WEX Inc.",https://www.indeed.com/rc/clk?jk=6a5bf2dbeeedd761&bb=wOUkO4d1xsoVwe5Xvqk8lyoNY7lRkEDJqEpwYzT03Nq0KKrU0xiG7eWppj4k3oMunoG6SPU2giXeE0JcCluYvfArJMoyxuPe4IcNqqO3RY6pgZridIai2g%3D%3D&xkcb=SoAl67M3-ughPaSU9Z0LbzkdCdPP&fccid=c9538b927313f8e0&vjs=3
Customer Success,Instrinsic,"San Francisco, CA",Not Provided,Full-time,"View all Instrinsic jobs in San Francisco, CA - San Francisco jobs - Customer Success Manager jobs in San Francisco, CASalary Search: Customer Success salaries in San Francisco, CA",https://www.indeed.com/rc/clk?jk=7b29eb033baf3d83&bb=wOUkO4d1xsoVwe5Xvqk8l04SEkOELpJSrjdqgX13WCg23aQV5udoBQQ-yO-EEn6jKM2uQGMiE4W6yxm6IPomvtb6ptnaJPfcmrsmAg5Q2i6CPdUdjSQArEwhoZw8fDzr&xkcb=SoCR67M3-ughPaSU9Z0KbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
Prototyping Process Development Engineer,Corning,"Hickory, NC 28601 (Westmont area)","$81,297 - $111,770 a year",Full-time,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BstQ1cHHlvfYhSwKW5jdz4zt04CF6fXBYCw07jciM2M5tVknVIitWGWDHwatksa10F38JdewgKkJ97GC7rsiznCjFgdlVDQQp9o1WYRs73xwwAiGqfOJXsPZFsKgp2XsOSg4Es7ty8uKAvDdmHwdLLASE2cRBZ5FDHLhcN3faXqlsCCuuJ7t3WR90rJQNQqcpZAP-B7UHtaM6KWwdkhEBgoU5QrbEu69ePiHl7tnHAK8CRq7RVVGyaPVF21uV0f5fdQPGRbx2y8DTzrIEmOninXQH50FTxKCZnvS1HKppVUkjc-n4hZjusUcma05YYBtN189J6EIu3cxmawEwz8psSrCKWbG7YYCPakwgqu7yabKqDC4xsZp-hVHCHfEeIfqDzhixruJUUZ-AIAI1O8UUxULBP9aXA-79t9XsEGJJnzbNzZAgFVHpt5Ut0qJUkVx7SQT5NtdeaPkrNn91a_U8NAaQTSUekccSkwC5_HbQLESghAUfa_3EEA249zdT0LCJyeWahdNe_wSCCGZM9HWVKFGkHQYlg0pH59I3fnoZ8RWdQm5J9_DIIERIcwh28QHPZGcgpp5Fh2vlIv-8CuokQc8-iYDJCT39jzl0MVrN84Q3fDfxiFWGQJG0voj8rUdu-AcmbXfTJBlaaXj-sBMoqajYseKjyRuE=&xkcb=SoD46_M3-ughPaSU9Z0JbzkdCdPP&camk=nUmJqO2E8rjNMpu79MW7sA==&p=2&fvj=0&vjs=3
Graduate Research Fellow Stipend - Cancer - Christoforos Thomas,Houston Methodist Academic Institute,"Houston, TX 77030 (Medical area)",Not Provided,Full-time,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DcBYObXJrsvinnCjba8zDv6zbnbvjSogbqgawudmq6ZV-w6YmddQeV-uwX85QIzbeTmlwwy8HyGWmjmaXggDn8oq9w1yCt2FseN9A8oV1GBxsgITA9XOAz-k8JMP3WckIjIYjDtPZ0FLndtSCd3zC2afh0vHlZkucMndA4WqU_Ad1L5vNQDiWwutCXq4GwhnCHIDBoJCN6CNS_Tmm_OVWbOwcSloUATyW1-hpfbML62W50op_0Z422LJExSLQs4eQ0adaWcPoUV2OV1y7rUq98BBmWFBH0t6PBSxShdSuacyAd1Fmhav5X2FFxA2Du8TweFK4hRTJia2tWwsENxA7pMT6Yc7bVaytycnEXkergzYPxfsQFX3YXDmLCU81z4WVa4_RANFaLalGM2OTb031eEyPXNVYkOb3KbD8Dpp8U8aWyPPIbb4iLKbXJfWfdGgmqMqx6iMMoZnMwZa2YxxrHBtQA2gVeGYPrHvIpCzLnHViApiMLnMQj0dtbSzDhfPrL2JfHWRTkXSqdQ8lCcvrDsuPO9Q47D6kpiPW-1gj4Lo88dqfo6l6cU6ylBJJxcMz2BKKY7NkgZAqxPgZeiuFGmZx09jsrbFGS5k2u_9GUxnzlmEFnYkZTjkfQXO6xnNgZ-piZ5hMeWwKpq3N9sfMH&xkcb=SoBM6_M3-ughPaSU9Z0IbzkdCdPP&camk=4HOcmqOLYrC6bQ50L1OFog==&p=3&fvj=0&vjs=3
"Distinguished Engineer, Generative AI Systems (Remote Eligible)",Capital One,"Remote in McLean, VA 22101",Not Provided,Full-time,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C3j_zLGvpMLCdiZ0WC46XqVTA1VMZzOzKXPhAXwYlrNUFMD4PZ3AunMB5DXFa7boTngTCkmp9Jd9d8CazpYoXjOdag1ee4fBz6KtTgZZ4bpeVSznyP2Hh6876Trh6G15vHJAsLsYSXyEN3-UiQb9SK54ijhM1ulqTNjHDzn3Q1ac2DtAbMHIvodAlR_0ZhOKAhLZAZakXY_cb2l8GudmcX1SiNIHPhDX4RBJjKnd6DTOhVENoS-36PAVf2scPOZ_HvdpPb6Ql0rBDwKazqsQrbWeSC7OaZpGOcQWPbbAcrUavndHjkLypaajWZ9Zaiwr0vvY2d1Vu6eZs8E7u0UPZH3X2sJ-ixowCmmKD41YoWIDDrsK7R3jkKZjCenhTbSYHUG3alwuX9aQMVt5YfNcc5_i1pomISmDAgjGs481sO78AwCe_w_8BZgnI-l1vsE_N2Iw2N62QsFfJZD-AQzASnnDzGfnbbdR5iebEzLAn9pelBEJ7vZI3lEiHkouJ_KK64qP8TtGYVerNNA5jx8qQZ9Z6suM-6kgPe04IeHs-7opAbpaqIHvK5c1_qGU09PzLdvo5I_CYf3Vyxxh6C7uGBps4dgnYP3hMDOSkBVnIG4BOhQIwe1W7kwDjNnPhK6bNTlc5hxWyjqS70EO4YG_K55E5xEB0llABvbYKPCYjbxAzf-8S5zImgMcy5Zb5ppZI0a7ny5TiX3yI0PZ3RWTYHNrfeWXkrP0eUlZ8ls3apVOZyeSg_aqjJw-Y2am8uW0P1a_HhhWv8-kFdQnZr4bbiJXAlUOF4ThCxsPi60Wmr6sVpDi9LU7SkyHNoaqaKda_8fAKnWTIsEXQUsFV1ko8R&xkcb=SoDC6_M3-ughPaSU9Z0PbzkdCdPP&camk=4HOcmqOLYrCZZasoYOZ0iQ==&p=4&fvj=0&vjs=3
Expert Spectral Integration Engineer,Peraton,"Springfield, VA","$146,000 - $234,000 a year",Full-time,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BWrJOJIc9CpN6yMpv0V0AydpTkzwx7H4nhH8WAx3qz9DFPmyzxY6nkFs2NPrIYzV-osE3kLNEmcqI6zM5p8aR1oHv0l_euG0GZUteR9IRvAhF4iNw2lzPWMQqxFrQSJfDgzYtoRHc4oZOKL1Dwwx2Lgv6_TvWc-JX4x_aumru1h6VEYqyi5RKzpKEJ7ELZ7RgCFHsLgHxBaDix898ltxhF_ftY8dNIqHPTJVPYTNvsD_2JZ06tL99sE0QE9lvbvZnAnGOlk3q56ViMHGREI0Tj7_voqey1XwuBzIzDqQbO3HyUgojgVaJYbMAClUoxgwCsXWI9IHyEF3aNcXNZfN48jb51PFtKYKjTkTuKnDyKrqEA1ubziIiKD8jeSwqj7kS4tookF-E--9Kr5u90s0TpcxDiIBk-w27609wh37yCsP2nnrVvKMWY17-4UYFC2I3T8HrK6af5fU0aoG9E2TVjei_nQOw0eKwo83qxEoGnK0dYbo1QyPiQ1M3TSz9LPsi_rw5TQ0C8qevpMW-bLMYxcY04LtiF91WFuYg2W44uEXm3tCp2_Zha1sIVaKmDiHWLJTGK-Z1Gzg62aPRTjgzS5JJB-a5HZAY8RSIv6EPLrGyU8HylBPlf96WqyI2ebhJDJRVC_5SXhs9jEd0mxkpAisvJ3HT3dmnjzA45r_vR0Ao9F5LAm_X3ZrocOj4N9dEYQM_ulor7DcGKJQCxilGoou0prRZbP-AvuaaZ1D1-XJcWMamANOBpMMPStO3GzzETiv77Z0HvPOHFq73AjS7QbB1IYMK77xQxnq4SreqMf-O_F51by6Wx43YH8SvAL92JhLtDY9hrAb8GdGZSzdZv&xkcb=SoB26_M3-ughPaSU9Z0ObzkdCdPP&camk=H-lBaXMUocJkdMwvV3pipQ==&p=5&fvj=0&vjs=3
Space Systems Engineer - Integration (TS/SCI) (DODF5),QinetiQ US,"Chantilly, VA",Not Provided,Full-time,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BstQ1cHHlvfYhSwKW5jdz4zt04CF6fXBYCw07jciM2M5tVknVIitWGWDHwatksa10hwyyyRh1vIy4-wQ34nA_rTHZiy4ELZGazoxYSkPBs3NZBzjOlH0gyrQhDvfM47peXbBXPetMJzn8GIBOUKH2nusd-SclrTgNBLFY87WQ0ESMyo_T-qSFln2yGo-J0ovSkZRGgusGNUUgrYtnwYJVS6CG_mqsKtrpjM_PH5mAdishuMJFBAzbdCzgTWYa0m3dNguLXLjsVOH6OY_SUGaBpF4ToZKBWKDvVpJdQ8fRVzv7fRzcArvtluHJtYVYdy_P_rekw2teXRhB0EpLFkqdXYktx0xKLkMdqSou7z1lWCl46nGF1VtA0z5IqV4ypc7Z_84yRWY5Dgf5oXhYE7T-iE1EvtyW8GzHxtimoapxMvKSs1FsgPQiXLSKoDROAYKgvM6IN9eGF0JrA0iowxl2OQDk5IQsDakpfuvKEKsPYxJg_Sl7owdTxLf05mS_GeohLwsTPJswZehZseTdBoVDCXBl-xwl8r1lWVN6b6v4tHroEzKQv5cONTs1tHXG42tz7jEfOUql7LbWt8JjPDsdmEv_i1uGIuHhYqtzInFAnGCpZce142cXhV2-y3tj1HOUbLU6FAYkRv7INMcl0YnLLVwFCLl1A2Ng=&xkcb=SoDr6_M3-ughPaSU9Z0NbzkdCdPP&camk=nUmJqO2E8rjNMpu79MW7sA==&p=6&fvj=0&vjs=3
Sr Director- DoD Defense Agencies Growth Lead,General Dynamics Information Technology,"Falls Church, VA 22042","$212,500 - $287,500 a year",Not Provided,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CaadLeoGiMM4ILB2UJu2ZywBTtYYlvv0AGLB0hyNDguU54s31IijNG_nxNb73gcQp6J96eKYmDwzS8UvFgR3TP8EbWyJaVOGtob2jkl1IZ125zjHkK0bjXMEnboB6onvTU7Ic1G90uO-8ok7wyCKZVL4tuz4D5AdOI-CzAO71oyqTNpDyQoV7eHHK-1ZgxgXwLfeatEPnULbkc9LoTzJTFAUxW8qq5psqEhsPSByXoq5z4B82tB938R4SxLVDu9eSTNsT_oj0O_Z5caWeKABFubfHjGiHmUTPtSDdv_jzwHbvxiuivnz6y6LNNI8dBekOXZ-1LpNcrE56CdFl2vH4nX64-J0FGJE4yAR0bAW07vtyn7yXWxfYTy0eY4MSPSwtZQvCPLwB9Nx1XBcQM5giMarmazkqFn_gwf3NPuGK1nT0x1ROVVPj_u958IOtc3wWTtBHJuL7u9Arnv4JnW6cP-c0rp74GEWZOlk0DgjrYY3z7ChTfec7hyA_GPuyabmRNpCSIoti-5Ma0niaRotkDNzTV3NGCUI69Re6oqQZmzhJOLdtR4OXgLtDu1nyBt7AsExD4qbQ9_6u84jy0toaw7G9BeftO1nc49RrJrCcBKFqEN5UMh50YTq-NLrjFAoFdoQq9m1DJUaTuQeRXjfq-&xkcb=SoBf6_M3-ughPaSU9Z0MbzkdCdPP&camk=4HOcmqOLYrDUJggttK3sjg==&p=7&fvj=0&vjs=3
AI Engineer,Cornerstone Defense,"Bethesda, MD",Not Provided,Not Provided,"View all Cornerstone Defense jobs in Bethesda, MD - Bethesda jobs - Engineer jobs in Bethesda, MDSalary Search: AI Engineer salaries in Bethesda, MDSee popular questions & answers about Cornerstone Defense",https://www.indeed.com/rc/clk?jk=61b528624c24ea78&bb=wOUkO4d1xsoVwe5Xvqk8l2l1PNAkKRtld96bh1j_cPeYJA2nluW1S3pURuS4dIY1RWlM5ltbF5OY_R8kTg5rUDfzk3XjGKJWyS8OKtYOYe9WJ5T4uuO9qIp-E2iwC3zI&xkcb=SoBC67M3-ughPaSU9Z0DbzkdCdPP&fccid=c4dad3c95358e466&vjs=3
Chatbot Developer,ADP,"Roseland, NJ 07068",Not Provided,Full-time,"View all ADP jobs in Roseland, NJ - Roseland jobs - Developer jobs in Roseland, NJSalary Search: Chatbot Developer salaries in Roseland, NJSee popular questions & answers about ADP",https://www.indeed.com/rc/clk?jk=d67bcf4a4edb0da6&bb=wOUkO4d1xsoVwe5Xvqk8l7MKOW1Tya0_HTiYHRjQJD3xZWTokgABzbYvj7gcuw-8nH7e34AbIZyWlkFWCoBHsdLPnhyPIVhQs4D2_ivnSvHaiD9PXzHyYA%3D%3D&xkcb=SoD267M3-ughPaSU9Z0CbzkdCdPP&fccid=e996c2d6855fe778&vjs=3
