Job Title,Company,Location,Salary($),Job-Type,Job-Description,Raw_Link
"ENGINEER - RESEARCH ENGINEER - AI Computer Engineering - Warner Robins, Georgia",Southwest Research Institute,"Warner Robins, GA 31088",Not Provided,Not Provided,"Ongoing threats to national security require timely intelligence data, including signal intelligence obtained through electronic surveillance.",https://www.indeed.com/rc/clk?jk=35ee2b04b04136a7&bb=yzQyxQ-6gIOMiNxzWS-3Nut1HP1Z-GSUCpMItCzHYfNz-LYTenBPJgX3hIN0ZbKEEwNcCDxo2UXpFYDvVW9bTvpwYgS5Cz7kB03Q5YO-Hwl96BD1FfO-tQ%3D%3D&xkcb=SoBf67M3-umu-_XRih0LbzkdCdPP&fccid=0d9a7400c0a8fdec&vjs=3
"Senior Director, Design",Cohere Health,"Remote in Boston, MA","$180,000 - $215,000 a year",Not Provided,"Our Senior Director, Design will look after our entire product scope, ensuring each of our products is well-informed by user needs and of the highest quality…",https://www.indeed.com/rc/clk?jk=3621e3a3ee4eefc8&bb=yzQyxQ-6gIOMiNxzWS-3NqMpwyvvyxvMqze_nriYGyrSd_5ed6Vsc_gu81db9aXksCI8s0z_SegnncSOirn9CyWq7bGSgz6NRzFZ-JXLgmxtk7TTNfJ90tHLnIZRpGE1&xkcb=SoDr67M3-umu-_XRih0KbzkdCdPP&fccid=2ce3a21e0a968aec&vjs=3
Software Sales,"Vantagepoint ai, LLC","Westchase, FL 33626","$100,000 a year",Full-time,"Vantagepoint ai holds two US patents on the technology and continues to develop innovative, highly accurate predictive artificial intelligence software that…",https://www.indeed.com/rc/clk?jk=28e4fc6a657bbe52&bb=yzQyxQ-6gIOMiNxzWS-3NpB6RMjauC1_d8R00VFw-C08Ix7L6E4zTBdRdh4PyNgEODXKVt_J4cFBpyNKN6jDSOXhUNepY9qGKKnVwH2aOZjyg8slcVreA92pylv8xJoX&xkcb=SoB267M3-umu-_XRih0JbzkdCdPP&fccid=3c14a778776ef983&vjs=3
Post Doctoral Fellow - Artificial Intelligence and Machine Learning,Emory University,"Atlanta, GA 30322",Not Provided,Full-time,The specific area of research in which the trainee is mentored is determined by the department and laboratory of the Postdoc.,https://www.indeed.com/rc/clk?jk=5f92a2433e9004a3&bb=yzQyxQ-6gIOMiNxzWS-3NvR-gWRblOY59TZUMdkyYPPElZcj-CMQydZsHTYr722kkZVep0IDnshxnnKMgS_c7xInIwX_XejZTK4WmmIu422xRUsKy9t86Q%3D%3D&xkcb=SoAa67M3-umu-_3Rih0LbzkdCdPP&fccid=efe5e2d22a1d29e5&vjs=3
Associate II,"John Snow, Inc","Hybrid work in Boston, MA 02210","$72,246 - $105,837 a year",Full-time,"Utilizes emotional intelligence to deeply analyze and understand problems, synthesizing information from multiple sources.",https://www.indeed.com/rc/clk?jk=45144626687579be&bb=yzQyxQ-6gIOMiNxzWS-3NkNmeS022XJtoPSnwaEkVlaSVv3i7qKEu96_aCz5JdvFwwDIR6SlMeLG0MAi2BM7khehTW0XZLjxoBr6JzHbllW-5Ghqq0elVNyb523wTdCt&xkcb=SoCu67M3-umu-_3Rih0KbzkdCdPP&fccid=52f9a4dde3bc5fe5&cmp=JSI-%2526-World-Education&ti=Retail+Sales+Associate+II&vjs=3
Senior AI Engineer - Remote,The Cigna Group,Remote,Not Provided,Not Provided,"Utilizing Large Language Models (LLMs), Open Source, Machine Learning, and numerical programming frameworks, to build transformative solutions.",https://www.indeed.com/rc/clk?jk=87eed957fcd15be9&bb=yzQyxQ-6gIOMiNxzWS-3NtE_-84-gJnENTm3SdSrDrfAmbyQzcp90MMm2gZ9gAHPrJ5et11cv51V5sM4AbB8PplSJo9r_JS0OxzHUfE3hZxzt9cbPImyZw%3D%3D&xkcb=SoAz67M3-umu-_3Rih0JbzkdCdPP&fccid=afbf8c270610a38a&vjs=3
Senior Content Designer/UX Writer - Artificial Intelligence,Wells Fargo,"New York, NY","$100,800 - $179,200 a year",Full-time,"This role demands a healthy balance of flawless writing, strategic UX thinking, and passion for detail.
Write useful and friendly conversational responses for a…",https://www.indeed.com/rc/clk?jk=d97968dcbea6bd79&bb=yzQyxQ-6gIOMiNxzWS-3Np1mC3BzG0MrR7Yqv9lmQ7ertn4Y9dN43cs05CK-Ikajfkvdt8Jph_6tx_EHDOSIjbo5Q_mieYdODJyJGorwNQZy1sfRGWAjzg%3D%3D&xkcb=SoCH67M3-umu-_3Rih0IbzkdCdPP&fccid=78bbcd26e39621f5&vjs=3
Trades Technician - Grounds,Germanna Community College,"Spotsylvania, VA","$36,139 - $44,886 a year",Full-time,"Experience with or willingness to learn artificial intelligence tools.
Hiring Range: $36,139- $44,886; plus full state benefits.",https://www.indeed.com/rc/clk?jk=32754ae253ce59d3&bb=yzQyxQ-6gIOMiNxzWS-3NibzUdI0siWoFhb1mgwjJsrFKHx11KJi2Aape906oFgZJYetCOsmRx3x5EyMUOZTRHlMOLCkD0GdfXysHtpFZqEqfoB2TO3eOqVYPo5thVRF&xkcb=SoAJ67M3-umu-_3Rih0PbzkdCdPP&fccid=1b01e4b7b6764d7e&vjs=3
AI Engineer,Cornerstone Defense,"Bethesda, MD",Not Provided,Not Provided,"View all Cornerstone Defense jobs in Bethesda, MD - Bethesda jobs - Engineer jobs in Bethesda, MDSalary Search: AI Engineer salaries in Bethesda, MDSee popular questions & answers about Cornerstone Defense",https://www.indeed.com/rc/clk?jk=61b528624c24ea78&bb=yzQyxQ-6gIOMiNxzWS-3NkxA7UMgsO6VXlILa-W2pcbRY6muDU4X-vovAO_Z5G6VeA1x3xOD8FA4YBIHpBwv96Nu8YPW-wWfFOyWmiCvp7yssfJFnCyLvcIU8_7qzypl&xkcb=SoC967M3-umu-_3Rih0ObzkdCdPP&fccid=c4dad3c95358e466&vjs=3
Chatbot Developer,ADP,"Roseland, NJ 07068",Not Provided,Full-time,You will help us reinvent how associates connect with HR using technology and how we provide support by merging automation with user experience.,https://www.indeed.com/rc/clk?jk=d67bcf4a4edb0da6&bb=yzQyxQ-6gIOMiNxzWS-3Nlmk-rWleJUkpGYM--24t2EzoGyH7zS6CLF81t-D4MjvruuY4uDmBCr1fHxmpVE5N0sgn5uwdihhGwNWuys14_MvuP5Z9EH-XQ%3D%3D&xkcb=SoAg67M3-umu-_3Rih0NbzkdCdPP&fccid=e996c2d6855fe778&vjs=3
