Job Title,Company,Location,Salary($),Job-Type,Job-Description,Raw_Link
Digital Marketer,Advantage Controls,"Hybrid work in Muskogee, OK 74403","$45,000 - $55,000 a year",Full-time,"We are seeking a highly skilled Digital Marketing Specialist to join our team at Advantage Controls.
This role will oversee the digital marketing efforts for…",https://www.indeed.com/rc/clk?jk=8b64a0c54673f49b&bb=zd9_jfLPPAN1-IfoA1TxfQJsQLd_jPz00chlI_7EE1ZTbc0SOWW0hJp99l5j_zV8zZO6cGkNuhFQ6FQgZ6k8WSlTAwMcvxmge2nMn_w8-tbNldThhIT3mHRcQTiMmFEt&xkcb=SoDc67M3-uvfhO0TU50LbzkdCdPP&fccid=1ed952a2078a4e63&cmp=Advantage-Controls&ti=Digital+Marketer&vjs=3
Assistant Professor - Health Studies,University of Central Missouri,"Warrensburg, MO",Not Provided,Full-time +1,"Candidates must complete an on-line faculty profile found athttps://jobs.ucmo.edu and apply to position number 997590.
Dr. Karen Doyle, Search Committee Chair.",https://www.indeed.com/rc/clk?jk=3a2f115d5c24acb7&bb=zd9_jfLPPAN1-IfoA1TxfVQhz3dCRAVU-uGgk4QGubhyYvI-tjNse3OInZ6YiOXiM6janahRBGDv4RoZMFyL6iOwF9RgNScHgWn7XxiviU0u4kCjERoZbjY4HbXGnpno&xkcb=SoBo67M3-uvfhO0TU50KbzkdCdPP&fccid=aef89f7f0b188076&vjs=3
Computational Scientist - Artificial Intelligence & Machine Learning,The University of Chicago,"Chicago, IL 60637 (Woodlawn area)",Not Provided,Full-time,"The University of Chicago Research Computing Center (RCC), a unit in the Office of Research, provides high-end research computing resources to researchers at…",https://www.indeed.com/rc/clk?jk=8aacb0991da3fd3b&bb=zd9_jfLPPAN1-IfoA1TxfQKbD9eJg3OlZxbRRy42ur-aqw9zqkklafmpu40L1zUrk2YmBaAPT_e9lW0EbahnfTKGxym7qzRRgYwCBJAps0VhoTDTgOkhSW9y2iKPPUiw&xkcb=SoD167M3-uvfhO0TU50JbzkdCdPP&fccid=5cb727313a823dd6&vjs=3
Digital Product Manager,Southern California Edison,"Rosemead, CA 91770","$130,600 - $195,800 a year",Not Provided,"Join the Clean Energy Revolution.
Are you ready to take your career to the next level?
Southern California Edison Company is seeking a skilled and driven…",https://www.indeed.com/rc/clk?jk=6c1a798ceea81844&bb=zd9_jfLPPAN1-IfoA1TxfY3si7FcbGkZdkVyT92PDZBE9izau0lRDviFa09cgsCnPDHB4dnIXDpN-PhPQ8AVMSx7Fx1DIIuB6qzRju_MfeqDlIVGmXAyeg%3D%3D&xkcb=SoBB67M3-uvfhO0TU50IbzkdCdPP&fccid=699f2e990e95e8eb&vjs=3
"Senior Manager, Service Delivery",McDonalds Corporation,"Hybrid work in Chicago, IL 60607",Not Provided,Full-time,"Data and AI Experience: 5+ years of business experience in data and analytics, business intelligence, data management, or related fields.",https://www.indeed.com/rc/clk?jk=1b9ac135f879ecee&bb=zd9_jfLPPAN1-IfoA1TxfaZWHMWz3r5D7a2np02iRL5XJPBVcb0kXma2a81jkP-3uyTVWK2Yh6yqa4g-mr9_rqB3wvh31fA6ePjTzgM33DteSrO4fUgA2i49Az2gP_pr&xkcb=SoDP67M3-uvfhO0TU50PbzkdCdPP&fccid=f753bb1a40104d82&vjs=3
Customer Success Director - Surgence (Remote),"Concordance Healthcare Solutions, LLC","Remote in Tiffin, OH 44883",Not Provided,Not Provided,"At Concordance Healthcare Solutions, we believe that each team member makes a difference in driving our purpose of positively impacting lives forward.",https://www.indeed.com/rc/clk?jk=23df684fdbff2a56&bb=zd9_jfLPPAN1-IfoA1TxfeeFsv958I0W-YRAHTC2NJ2qePyS3C5bvovXf-v3iBh8zBCEm3bGlGXxqJYG-qAjvrD_DE9gf9cw_Q_dkjYi8Bawh4-luYINx_enhaIXQtaq&xkcb=SoB767M3-uvfhO0TU50ObzkdCdPP&fccid=a3c6da40bc350f58&vjs=3
Cloud Engineer,Ford Motor Company,"Hybrid work in Allen Park, MI 48101",Not Provided,Full-time,"We are the movers of the world and the makers of the future.
We get up every day, roll up our sleeves and build a better world - together.",https://www.indeed.com/rc/clk?jk=502ea737268d5e3d&bb=zd9_jfLPPAN1-IfoA1TxfTZEvSYfeUTBIahSrkXRknGCovrvmdhrBxy6us0C6MAM42XXUwUZSqzoXjtCZxUC8CLdr71pYCU0gwAPGZ6eXTLWWFVDQkuqCw%3D%3D&xkcb=SoDm67M3-uvfhO0TU50NbzkdCdPP&fccid=761c44c17d636bfe&vjs=3
"Software Engineer III, Google Home",Google,"Mountain View, CA",Not Provided,Full-time,"Were looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking…",https://www.indeed.com/rc/clk?jk=8eb16cece812e7a5&bb=zd9_jfLPPAN1-IfoA1TxfScqVXKj0tHwCMGwbkclBeltjV5AzxZM1s1euHxc8Iin2RdkRJhjm7F1LgSRyRwmb9KmEWZJrpaadykel-5TPmo-J7ESQGWb9A%3D%3D&xkcb=SoBS67M3-uvfhO0TU50MbzkdCdPP&fccid=a5b4499d9e91a5c6&vjs=3
Research Computing and Data Facilitator - NCSA,University of Illinois Urbana-Champaign,"Urbana, IL 61801","From $85,000 a year",Full-time,"Enable users to adopt new paradigms and algorithms, such as using artificial intelligence, machine learning, and deep learning with their scientific…",https://www.indeed.com/rc/clk?jk=da00e435ad487bff&bb=zd9_jfLPPAN1-IfoA1TxfeJcCXSNk4iDGZCXP9TkhiWoWcHQBITqUTAkrxqTP1HgHb3XO3aB9boQ2eYNEHPLWfc-ca0WfAAL3O75QTSPV-FmtJDVDN0yUATRkHug33kE&xkcb=SoC767M3-uvfhO0TU50DbzkdCdPP&fccid=b45314de4ac61844&vjs=3
Synoptic Scientist,Science & Technology Corporation,Remote,"$78,000 - $100,000 a year",Full-time,"Experience with artificial intelligence or machine learning techniques.
Synthesize potential artificial intelligence/machine learning efforts with partners in…",https://www.indeed.com/rc/clk?jk=743ba780167c47e7&bb=zd9_jfLPPAN1-IfoA1TxfbsTmCegfFxzRgYhvH6P1lgqWAW0QXIkuIQwcStjuLMsUV92wwwsoLIdRocmPxsP9F4TWbVHGJVT9fr5AwEM3DFphfMi9gTK3fjOfWsemJTv&xkcb=SoAP67M3-uvfhO0TU50CbzkdCdPP&fccid=53fdee41da51129a&cmp=Science-and-Technology-Corporation&ti=Scientist&vjs=3
