Job Title,Company,Location,Salary($),Job-Type,Job-Description,Raw_Link
Principal AI Scientist (Vision),Reality Defender,"Remote in New York, NY","$200,000 - $250,000 a year",Full-time,"A Y Combinator graduate, Comcast NBCUniversal LIFT Labs alumni, and backed by DCVC, Reality Defenders proactive deepfake and AI-generated content detection…",https://www.indeed.com/rc/clk?jk=ebf0ffc72f968d44&bb=MlDwey6Rn0LVgz86an4XXVRCE7JWyGGUjivv5ls55UUn_Sk6SewAL5xJqdxXztgk8FgaQjzL9VcvutcmeIz3NQp4R4OGej9GklOt7k1Qh9NQ-ngdw7lEqzT79xB3r7yR&xkcb=SoAx67M3-ugnm-UTU50LbzkdCdPP&fccid=d09448ca8fecea9f&vjs=3
Data Scientist,GE HEALTHCARE,"Milwaukee, WI 53223 (Land Bank area)",Not Provided,Not Provided,"The Staff Data Scientist will work in the Diagnostic Cardiology Algorithm Team addressing statistical, machine learning and data understanding problems in a…",https://www.indeed.com/rc/clk?jk=d0847453da553f8a&bb=MlDwey6Rn0LVgz86an4XXViqJRPtUmzyS7pnosVMb-2_j5s6B6LbymoOvEjpLeoGrdQIvSZ05z9X7QShlNGU81qXn62tGN_iJRH2mKJzUncPn-8qdzIk4MXI-y7PX4b7&xkcb=SoCF67M3-ugnm-UTU50KbzkdCdPP&fccid=65b5f2aba4dbd31f&vjs=3
Machine Learning Postdoctoral Scholar,Lawrence Berkeley National Laboratory,"Hybrid work in San Francisco Bay Area, CA","$6,431 - $8,642 a month",Not Provided,"This position will focus on developing and applying methods to integrate LLMs and GNNs at scale, combining sequence and structure modalities of proteins towards…",https://www.indeed.com/rc/clk?jk=1d0bff289538b725&bb=MlDwey6Rn0LVgz86an4XXT7l0avNVLKKGugrye-V-ka_ZvM6B6Kox8_uJDkjToEwahkZ89OeCt_Hi7zYk0mxsBryuwB6RhfNbW7ljSypjNLeLuPlPxxRo_Mt7DYIqHWR&xkcb=SoAY67M3-ugnm-UTU50JbzkdCdPP&fccid=5bee64c47451d1c2&vjs=3
VP of Engineering,ClimateAI,"San Francisco, CA","$250,000 - $300,000 a year",Not Provided,"Reporting to the CEO, this hire will be a key member of the executive team with a high degree of visibility and impact across the organization.",https://www.indeed.com/rc/clk?jk=f8fbcd5ed778d703&bb=MlDwey6Rn0LVgz86an4XXcYTu5AcKWKfMrtZX1KQqhnAObfKuiLkdaaxQz89E_RxLOibElTjgQlgK8wKaUt5mS9Q_-8hSTijWesMAUmxIEGDMrHhI6P0pdD1cKHgxE4l&xkcb=SoCs67M3-ugnm-UTU50IbzkdCdPP&fccid=90364bdd6d185b45&vjs=3
"Sr Staff of Strategic Management, Technology Intelligence Center at Office of the CEO",Synopsys,"Mountain View, CA","$151,000 - $227,000 a year",Not Provided,"Deep technical expertise in one or more areas such as semiconductor design, electronic design automation (EDA), artificial intelligence (AI), machine learning …",https://www.indeed.com/rc/clk?jk=b7d777ef1272123b&bb=MlDwey6Rn0LVgz86an4XXd9MESmelmZCD9Um7xjHrKvVyD3dykqDT2MlZsZtU6_Q1Wa6dsHKGFd5onXXtOjT1t5WaRSi657t46399qZTfjgV8Vf-L22seA%3D%3D&xkcb=SoAi67M3-ugnm-UTU50PbzkdCdPP&fccid=6ce9eba87609c3e9&vjs=3
Analytics Developer,JetRock,Remote,Not Provided,Not Provided,"Transform complex data into actionable insights using Python and cutting-edge BI tools.
Collaborate directly with clients to understand their needs and deliver…",https://www.indeed.com/rc/clk?jk=b1734403b3c1bf8f&bb=MlDwey6Rn0LVgz86an4XXXGiUt3y7tYC1fhY4eJDcP48pIR3Q-sGb2xry_P3BG0duWnCEZkqS9fsRgwcbgWZrMXH5KOMnig41BmS3MNqS1emimdeJ6ktmEx9pIn07Bph&xkcb=SoCW67M3-ugnm-UTU50ObzkdCdPP&fccid=d37e17816fe6ce80&cmp=JetRock&ti=Developer&vjs=3
Senior Content Strategist,SAP,"Bellevue, WA 98004 (Downtown area)","$99,000 - $216,000 a year",Full-time,"Content Strategist to develop and execute content strategies across the entire customer journey, from awareness and perception to try, buy, adoption, and…",https://www.indeed.com/rc/clk?jk=71c89d18adae47d7&bb=MlDwey6Rn0LVgz86an4XXQhkaHTUG0K6bkC1qI-dqxP-TepKPtYpr2lyUWvhp4suQEr_nm-Ejv3OAzhXIkwzqhoOQ08o0vyjcjah14gWfrHk92xe1m-6Mw%3D%3D&xkcb=SoAL67M3-ugnm-UTU50NbzkdCdPP&fccid=156c7820d1988640&vjs=3
"Vice President, Data Excellence & Privacy",Association of National Advertisers,"New York, NY 10017 (Midtown area)","$135,000 - $145,000 a year",Full-time,"This experienced, well-connected practitioner will help to ensure the ANA’s Data Excellence & Privacy practice is an indispensable partner for marketers, as a…",https://www.indeed.com/rc/clk?jk=d6fa7bed7d2f684a&bb=MlDwey6Rn0LVgz86an4XXZ0NmFWOaTsSztCeQ_ZlDMNrUIl3iiAX-fPIJl35CVAWF2gW6pdST-jfs7rLkvjpgIKnoOoX1Y5wMm7sZhT-RrWqUB2ThZl3MA%3D%3D&xkcb=SoC_67M3-ugnm-UTU50MbzkdCdPP&fccid=7d5b4834eef079a2&vjs=3
AI Engineer,Cornerstone Defense,"Bethesda, MD",Not Provided,Not Provided,"View all Cornerstone Defense jobs in Bethesda, MD - Bethesda jobs - Engineer jobs in Bethesda, MDSalary Search: AI Engineer salaries in Bethesda, MDSee popular questions & answers about Cornerstone Defense",https://www.indeed.com/rc/clk?jk=61b528624c24ea78&bb=MlDwey6Rn0LVgz86an4XXdNKCJNg6jVaXeVIoBi1KgyrOTsF57UUo210im-Df2scVbB5BxYDUmgsc4W3hJVk4kZxlqwK4JzPYSQTvMsAgnWR9q0RSxbUcknCNEIBgFbz&xkcb=SoBW67M3-ugnm-UTU50DbzkdCdPP&fccid=c4dad3c95358e466&vjs=3
Chatbot Developer,ADP,"Roseland, NJ 07068",Not Provided,Full-time,You will help us reinvent how associates connect with HR using technology and how we provide support by merging automation with user experience.,https://www.indeed.com/rc/clk?jk=d67bcf4a4edb0da6&bb=MlDwey6Rn0LVgz86an4XXcDEv15DqRZl5EGv32_WlCn5mPO0JiIrLds8EOQt6clnz42fMrfWwnSg_E5mYNzwogmWjlTQ4ZgwAqEdaik-He_yVN4VAOD6mw%3D%3D&xkcb=SoDi67M3-ugnm-UTU50CbzkdCdPP&fccid=e996c2d6855fe778&vjs=3
