Job Title,Company,Location,Salary($),Job-Type,Job-Description,Raw_Link
AI Project Manager,Booz Allen,"McLean, VA","$96,600 - $220,000 a year",Full-time,"As an AI Program Manager, you know that implementing digital initiatives with effective change management and process improvement skills is crucial for your…",https://www.indeed.com/rc/clk?jk=a476d5aedf8375e7&bb=diBHn0K2pxLc2mx7rniLPwjlXrQ6f8g783RoqbU1FUHaa755W9f70z4rKrKZj0fh5LYv8KyY33QGsFLsiJEMPQTu-T_R95TkwsOAM9Jne4AbE6e67D-FvHo4EVS6kJQW&xkcb=SoCJ67M3-ukFAVQgdx0LbzkdCdPP&fccid=4e041af1d0af1bc8&vjs=3
Hardware Insight Data Scientist,Apple,"Sunnyvale, CA","$136,300 - $248,700 a year",Full-time,"Imagine what you could do here at Apple.
Innovation runs through everything we do, from amazing technology to industry-leading environmental efforts.",https://www.indeed.com/rc/clk?jk=f61141326a17fb72&bb=diBHn0K2pxLc2mx7rniLP8duhJFTIyu2a1sQBWajKz0F5BP4tQrPd0_ImbL25u2Fvh28wNTBQmLYs8HHl_vCN4eOvgYs80zxWEoSGLUk5jYvOfku3rnifA%3D%3D&xkcb=SoA967M3-ukFAVQgdx0KbzkdCdPP&fccid=c1099851e9794854&vjs=3
Part-Time Adjunct Instructors,William Jessup University (4-year Christian...,"San Jose, CA 95128 (Willow Glen area)","$7,444 - $13,344 a month",Part-time,"Part time Adjunct Instructors needed in the areas of:*.
Accounting, Strategic Planning, Computer Science, Mobile Computing, Artificial Intelligence and Cyber…",https://www.indeed.com/rc/clk?jk=8c15493ccd609a54&bb=diBHn0K2pxLc2mx7rniLPzvgqqngK1juGd04ij-MM-9bZH7f72xIkucg50xbY1mAw_JvfZBuiN5TY5_PJo-5vWWGcDWVlwUMD6VgAxEQbLxqTaDndThOfNzcLeU_meD5&xkcb=SoCg67M3-ukFAVQgdx0JbzkdCdPP&fccid=9273628ef2ee44b5&cmp=William-Jessup-University&ti=Adjunct+Instructor&vjs=3
Power Platform Practice Lead,"Cyclotron, Inc.",Remote,Not Provided,Not Provided,"Reports To: Chief Operations Officer.
Location: Remote (Anywhere in US or Canada).
Cyclotron is looking for a strong leader to continue to build out their…",https://www.indeed.com/rc/clk?jk=0d1aed784081597d&bb=diBHn0K2pxLc2mx7rniLPw7JYf8seebn2g885MCBYgklMqIjDNamceinomiEma9VTR8LrlaFtYB0clNQWlEkZUnfvh-OedkBb5yaHtm3M9XGtfeux9tx4KXy6DcmBQTc&xkcb=SoAU67M3-ukFAVQgdx0IbzkdCdPP&fccid=06982a9d38303f02&vjs=3
Creative Director,Vault Communications,"Hybrid work in Plymouth Meeting, PA 19462",Not Provided,Not Provided,"We are seeking an experienced, visionary - and most importantly, hands-on - Creative Director.
From pitch to launch, you know how to bring campaigns to life,…",https://www.indeed.com/rc/clk?jk=1feec3b9a1858c22&bb=diBHn0K2pxLc2mx7rniLP-qLRJKirRdmaqhx-TCkkCF-RXKw3WzH09a_etMRvYreb2lOqmpqNqlQHNhaq3TSAS7zTtLSGMmxvPNrCGTTL713VcTTx_EBMHFNaPVvwzFL&xkcb=SoCa67M3-ukFAVQgdx0PbzkdCdPP&fccid=98b114f54401d611&vjs=3
Patient Safety Head US,Novartis,"East Hanover, NJ 07936","$257,600 - $386,400 a year",Full-time,"Collaborate with IT and data science teams to leverage big data and artificial intelligence in pharmacovigilance.
Ready to create a brighter future together?",https://www.indeed.com/rc/clk?jk=6cb8998ce9c07fde&bb=diBHn0K2pxLc2mx7rniLP0iW6IXMJL7oNHKd2hfW9ASlev8eOCU17302S4lw-XY5eUtzCfvcxnjbpPPcFX4r8iwv1D9Av58x5wzQbRA116T8DxMCVTmhhg%3D%3D&xkcb=SoAu67M3-ukFAVQgdx0ObzkdCdPP&fccid=c35194d01a9e2595&vjs=3
React Developer with Next.js 14 and Python,CargoMatrix Inc.,"Hybrid work in Hewlett, NY 11557",Not Provided,Not Provided,"Job Title: React Developer with Next.js 14 and Python.
Location: Hybrid – NY Long Island.
About Us:* CargoMatrix Inc. is a forward-thinking tech company…",https://www.indeed.com/rc/clk?jk=1c4b529eaa8231bf&bb=diBHn0K2pxLc2mx7rniLP0iW6IXMJL7o4RrZGro5e8l3u_WzdSKz3f4qkuhxINX7DQ2-5wlrnyLQn-NP_-t4lOGSX6F5606RJiQWXLvMaQC5pMygHgh-2aJNYji_awAq&xkcb=SoCz67M3-ukFAVQgdx0NbzkdCdPP&fccid=0e6a045330e29695&cmp=CargoMatrix-Inc.&ti=Python+Developer&vjs=3
Founding Research Engineer,Prime Intellect,Remote,Not Provided,Not Provided,"At Prime Intellect, we are on a mission to accelerate open and decentralized AI progress by enabling anyone to contribute compute, code or capital to train…",https://www.indeed.com/rc/clk?jk=1429301084c0d0a7&bb=diBHn0K2pxLc2mx7rniLPxNHApEOKcJBS2lX_mBUGfNXKaAa-CVOUH-EMZZrkXcFRtCV44q4P-oaD0qh6K-FdkXhEg4g-k2kGq32oRwLxIEpd29SJ3Sv36tlibvgFotC&xkcb=SoAH67M3-ukFAVQgdx0MbzkdCdPP&fccid=40340e020e00157d&vjs=3
AI Engineer,Cornerstone Defense,"Bethesda, MD",Not Provided,Not Provided,"View all Cornerstone Defense jobs in Bethesda, MD - Bethesda jobs - Engineer jobs in Bethesda, MDSalary Search: AI Engineer salaries in Bethesda, MDSee popular questions & answers about Cornerstone Defense",https://www.indeed.com/rc/clk?jk=61b528624c24ea78&bb=diBHn0K2pxLc2mx7rniLP_nP2fXH9uyu-t3DIss5TkeWOeiFWdE02GDwnRMn6PXQj7bjRzoE2FsYwzIes7mOlS-8emUmR24uEKfP07jVYIexIAUZcAVu9cMG5TiBA4jZ&xkcb=SoDu67M3-ukFAVQgdx0DbzkdCdPP&fccid=c4dad3c95358e466&vjs=3
Chatbot Developer,ADP,"Roseland, NJ 07068",Not Provided,Full-time,"The HR Technology team is responsible for transforming Human Resources with science, technology and human intelligence.",https://www.indeed.com/rc/clk?jk=d67bcf4a4edb0da6&bb=diBHn0K2pxLc2mx7rniLP0iW6IXMJL7o-r-3C2UmHN5NSOJ3MMMBriwglVyfIHOWPuI_Ko5nr_hiZD-Ts7JtfdZ7vuFJO39jIsFfGBJJlknHRMqduCsPsw%3D%3D&xkcb=SoBa67M3-ukFAVQgdx0CbzkdCdPP&fccid=e996c2d6855fe778&vjs=3
