Job Title,Company,Location,Salary($),Job-Type,Job-Description,Raw_Link
"Director, Enterprise Sales Strategy and Operations",Athelas,Remote,Not Provided,Not Provided,And technological advancements — from electronic health record systems to dictation software — have failed to live up to their promise of making the lives of…,https://www.indeed.com/rc/clk?jk=e047e7a28eaf51d2&bb=YWQuTVGRaMOHplDBwVUcCVLrCly3EwyFFJeZn4E-yOVBzQoUcqIyZv8W1ES-pNWDjQfdimxEW9cE24acnBSC03NAatr6zuDP7OuIM8AwJje9NzUjOupsXRJATioC6jAv&xkcb=SoDy67M3-ulMjSXRih0LbzkdCdPP&fccid=35d650c9e54bdf3c&vjs=3
Strategic Initiatives – MBA graduate – Intel Contract Employee!,INTEL,"Hybrid work in Santa Clara, CA","$52,000 - $200,000 a year",Full-time,Intel’s Software and Advanced Technology Group (SATG) enables Intels vision for software and advanced technology by delivering open and secure software…,https://www.indeed.com/rc/clk?jk=976d3afd99123895&bb=YWQuTVGRaMOHplDBwVUcCXcoztGKD7gt-1izX4DYJtcjNfPnx-8hlUa31it2mU1dnD-WheieG4iFmLBGuEl84z-Y5ujgG6gQ9eQVQ1i4yKMBbFb8eORBaA%3D%3D&xkcb=SoBG67M3-ulMjSXRih0KbzkdCdPP&fccid=936367796261bd6e&vjs=3
Product Manager - AI Personalization,PayPal,"Washington, DC","$84,500 - $204,600 a year",Full-time,"We are looking for someone with a passion for delighting customers, who is obsessed with data, training loops, and driving product roadmaps from data insights,…",https://www.indeed.com/rc/clk?jk=64a3d5d11cc1ac24&bb=YWQuTVGRaMOHplDBwVUcCWtRW8Y-Wy-dqtOnGZA1T9wZAsjubKnPC8s0T-NiPNd4IaZbXTK-Gih0HtprCqNJ7iZqA-T6v5p-pG4MrmBGtLjAr3XvHMAm9A%3D%3D&xkcb=SoDb67M3-ulMjSXRih0JbzkdCdPP&fccid=978d9fd9799d55a8&vjs=3
Government Partnership Lead,Neurable,"Hybrid work in Boston, MA 02108","$100,000 - $140,000 a year",Full-time,You will be responsible for helping scale initial wins into bespoke acquisition strategies that will secure long-term business relationships with the Government…,https://www.indeed.com/rc/clk?jk=55e67aff6afc752c&bb=YWQuTVGRaMOHplDBwVUcCR7P5IqTjD87QQ3ppDP97_2zZlnQ6CLWlImNfXfRqUjpPLgpElQqAZ26S50JQyemrGn4zyDeaThobeTsUZvStXDZ3EDVSbYmoALNfjZODaqM&xkcb=SoBv67M3-ulMjSXRih0IbzkdCdPP&fccid=017d2ceb9446e175&vjs=3
"First Developer Relations, AI/ML Startup",Recruiting From Scratch,Remote,Not Provided,Not Provided,"Experience with open-source technologies, big data, machine learning, or artificial intelligence.
Build meaningful relationships with our users through regular…",https://www.indeed.com/rc/clk?jk=879e13f78938a28d&bb=YWQuTVGRaMOHplDBwVUcCXdMVawzxL7gCbG40HYw7jqjvDlANVg0Bv5Zu-E--F8p1IOsxc9eiHEjdq_v3fg3-5OFhZxVzEXr7lnahT8V6pTtrIG-bU1nnnkn7LNjfdng&xkcb=SoDh67M3-ulMjSXRih0PbzkdCdPP&fccid=09e02654c2f26bbd&vjs=3
Program Manager,Memorial Sloan Kettering Cancer Center,"Hybrid work in New York, NY 10017","$98,500 - $157,600 a year",Full-time,"Our specialized care teams provide personalized, compassionate, expert care to patients of all ages.
Informed by basic research done at our Sloan Kettering…",https://www.indeed.com/rc/clk?jk=c90fbd0f5372db82&bb=YWQuTVGRaMOHplDBwVUcCa1h32JDExK9cC7LJfmIQTPgI4-MZRreHYMxqGHyYD_lxpdeNRIYcjMGMl6hA_UJxIqqWo4iXYuvGuQGekQtIJmhvE2kKC6Kvq2K35CdaCRe&xkcb=SoBV67M3-ulMjSXRih0ObzkdCdPP&fccid=1320c50b75f44505&vjs=3
Asset Protection Specialist,The RealReal,"Perth Amboy, NJ 08861",$18.50 - $19.00 an hour,Full-time,"As an Asset Protection Specialist you will be responsible for assisting with all aspects of Loss prevention, investigations, physical security, and safety…",https://www.indeed.com/rc/clk?jk=8771b764a69dadb1&bb=YWQuTVGRaMOHplDBwVUcCbPHDvwOwoQDd6shDLv1rid_oQ7FkR0TqAzrvlJcPFUmrSVVg0vzPSaS47MxaskhfKvop1WOtA8Xcuae6fOyLGVh1uEwzPN-JrvMWb7eXGIq&xkcb=SoDI67M3-ulMjSXRih0NbzkdCdPP&fccid=1b0692814cc13474&vjs=3
"Associate Principal, Generative AI, Trust and Safety",Google,"Washington, DC (NoMa area)",Not Provided,Full-time,"Bachelors degree or equivalent practical experience.
7 years of experience in data analytics, Trust and Safety, policy, cybersecurity, or related fields.",https://www.indeed.com/rc/clk?jk=92e7a157fcb09469&bb=YWQuTVGRaMOHplDBwVUcCZi0Q2RrgY-CQjGxl23nNgP1V50ACpe2W8FrmHndi1pmztRuYmADEItkuqwOLeBMGqwVfLww-pSeMTUJZyyasxLYQZHtpEaq0g%3D%3D&xkcb=SoB867M3-ulMjSXRih0MbzkdCdPP&fccid=a5b4499d9e91a5c6&vjs=3
AI Engineer,Cornerstone Defense,"Bethesda, MD",Not Provided,Not Provided,"View all Cornerstone Defense jobs in Bethesda, MD - Bethesda jobs - Engineer jobs in Bethesda, MDSalary Search: AI Engineer salaries in Bethesda, MDSee popular questions & answers about Cornerstone Defense",https://www.indeed.com/rc/clk?jk=61b528624c24ea78&bb=YWQuTVGRaMOHplDBwVUcCWEmcaTA2qEstMYvbi_Vmn3cwiO0KNagTN4ReEAn8zBKMY59PfaN0rXMoNOgqndpVpKFg0_77ZyKW2XxVi9fdnRVRetpdkDBLb5wha5nYOuJ&xkcb=SoCV67M3-ulMjSXRih0DbzkdCdPP&fccid=c4dad3c95358e466&vjs=3
Chatbot Developer,ADP,"Roseland, NJ 07068",Not Provided,Full-time,You will help us reinvent how associates connect with HR using technology and how we provide support by merging automation with user experience.,https://www.indeed.com/rc/clk?jk=d67bcf4a4edb0da6&bb=YWQuTVGRaMOHplDBwVUcCePoyMM_2srT1SaarH5S8sNvEq_d7BFtCgmYV3LddM_k_yqKOPsPz9P6cA50SKpsB6lDVePjnK-hFZYIjF06ZXWEIGV5AkFJ_g%3D%3D&xkcb=SoAh67M3-ulMjSXRih0CbzkdCdPP&fccid=e996c2d6855fe778&vjs=3
