Job Title,Company,Location,Salary($),Job-Type,Job-Description,Raw_Link
Graphic Designer,Northeast Alternatives,"Fall River, MA 02720",Not Provided,Not Provided,"Northeast Alternatives/Sapura is a growing, award-winning, seed-to-sale cannabis retail brand offering the highest quality products in Massachusetts and…",https://www.indeed.com/rc/clk?jk=c4b901154bed9b02&bb=2-pTdUXfxc4X3ZFcSiZsxLXqoT8BR3eYm3geiUwU5NjYQEIzNt0r0Mrt_4oBxeS_BrryzlZGZSaY9g6wn040OSoqyl0dJyc_0WPG1TcimiXawmiQpXdeHaaOX8Nx9Opc&xkcb=SoBZ67M3-uhGd3Qgdx0LbzkdCdPP&fccid=e8de39f9a62b127b&vjs=3
SEO and AI Content Optimization Specialist (12-Month Assignment),Radio Free Asia,"Washington, DC 20036 (Dupont Circle area)",$45 - $60 an hour,Full-time,"Radio Free Asia (RFA) is a private, Washington, DC-based, nonprofit corporation that provides accurate and timely news and information to Asian countries whose…",https://www.indeed.com/rc/clk?jk=1a331f2c3916e75a&bb=2-pTdUXfxc4X3ZFcSiZsxBeF_rsWuDlqt-NRYdeujLE5vxzEpDWEgxjnomIKGmgTLL0FeybS73enzBMhEQHUEBy3Ca4Fo3XK85D5Vd3dZhlv6yMAl-Vo0iTtimtaQcmy&xkcb=SoDt67M3-uhGd3Qgdx0KbzkdCdPP&fccid=ebe4691f30a0c9b3&vjs=3
"Senior Staff Research Scientist, On Device/Efficient AI/LLM",Samsung Research America,"Mountain View, CA 94043","$188,400 - $282,450 a year",Not Provided,"Proven track record of research/publications on machine learning and artificial intelligence field (NeurIPS, ICLR, ICML, AAAI, IJCAI, CVPR, ACL, etc.).",https://www.indeed.com/rc/clk?jk=bc1d802130dda00a&bb=2-pTdUXfxc4X3ZFcSiZsxAPNguP1_XfAZzLraX0rz74lUdwfiZ6UrclzaqzoECvJRc9qOf5COWaXzW0DVN1VGtfWn1asz_EDR-v0lOZbGHCVYnVhBlkILseHYh8QqhAk&xkcb=SoBw67M3-uhGd3Qgdx0JbzkdCdPP&fccid=f98eb70205204fcf&vjs=3
"ENGINEER - RESEARCH ENGINEER - AI Computer Engineering - Warner Robins, Georgia",Southwest Research Institute,"Warner Robins, GA 31088",Not Provided,Not Provided,"Ongoing threats to national security require timely intelligence data, including signal intelligence obtained through electronic surveillance.",https://www.indeed.com/rc/clk?jk=35ee2b04b04136a7&bb=2-pTdUXfxc4X3ZFcSiZsxD5zmcxY_VYciNsFWIB7ANb9G0Ov3zwwIYC0W88LyMprYfPNUJk0gw7FL7ll35nTg0PAvmT3AtUV-l0FoeKM8wwDCTiAWP8qXQ%3D%3D&xkcb=SoDE67M3-uhGd3Qgdx0IbzkdCdPP&fccid=0d9a7400c0a8fdec&vjs=3
Technical Sourcer,Anyscale,"San Francisco, CA",Not Provided,Not Provided,"Market Research: Stay informed about industry trends, competitive intelligence, and emerging technologies to continually refine sourcing strategies.",https://www.indeed.com/rc/clk?jk=37747014745e440e&bb=2-pTdUXfxc4X3ZFcSiZsxNTvwV1d-k154mh-PUV0Z_wb8CXukqjIiNYi5u6akLlRApVwfTSBwE-GfuU6NsU2oFn2ZwFlB6mnkMKUVxYDPaGxHP3gh_d2YbHBQigT4W-h&xkcb=SoBK67M3-uhGd3Qgdx0PbzkdCdPP&fccid=f0f42cb8bb53c77f&vjs=3
Partner 20,Andreessen Horowitz,"San Francisco, CA","$225,000 - $263,000 a year",Not Provided,"Founded in Silicon Valley in 2009 by Marc Andreessen and Ben Horowitz, Andreessen Horowitz (aka a16z) is a venture capital firm that backs bold entrepreneurs…",https://www.indeed.com/rc/clk?jk=9eb1b9684c471732&bb=2-pTdUXfxc4X3ZFcSiZsxCKc071Y-d3_YsiKzObnPThrKMb8fCtACY_2bL-mdEko2AcXMD_W2B0sqrUplVBIBfHpO_j8pECFLPsm6iehYbKrYeQ3Rr5DNQBW0TOAUJED&xkcb=SoD-67M3-uhGd3Qgdx0ObzkdCdPP&fccid=7b7420893f13af85&vjs=3
"Facilities Generalist (Tuesday - Saturday, 8:00am-4:30pm)",The RealReal,"Phoenix, AZ 85044 (Ahwatukee Foothills area)",$19 - $22 an hour,Full-time,"Our Authentication Centers (warehouses) are where the magic happens!
The Art & Science of Real comes to life within our facilities located in New Jersey and…",https://www.indeed.com/rc/clk?jk=a00efe01fe924c3a&bb=2-pTdUXfxc4X3ZFcSiZsxLSUFpSforymbvWc6dIo3tOwKmQsTZ6rb3htmy4KZIOu1u1vDfMu9-QcDSjKBf_3zxstM9apeJoc_iZUEFMmsoTI15nl-wIKyMMCaeX2H2rI&xkcb=SoBj67M3-uhGd3Qgdx0NbzkdCdPP&fccid=1b0692814cc13474&vjs=3
Senior Computational Linguist,ThirstySprout,"Remote in Washington, DC",Not Provided,Not Provided,"Linguists will help build out the NLU workflows and workstreams required by defining and delivering data annotation pipelines, annotation guidelines, golden…",https://www.indeed.com/rc/clk?jk=f969a5ee4875e450&bb=2-pTdUXfxc4X3ZFcSiZsxHO-jL8A5vVUFhQ3S0SpIHESYNU6zXfdm_dhiuC5zJXKUhXvgzZunF5HNWE1bcyu67PPh9fwUdZgJ6_1zHQRAedB46iZGPvYgOSJoXgVFsg-&xkcb=SoDX67M3-uhGd3Qgdx0MbzkdCdPP&fccid=778a888cbe048c70&vjs=3
AI Engineer,Cornerstone Defense,"Bethesda, MD",Not Provided,Not Provided,"View all Cornerstone Defense jobs in Bethesda, MD - Bethesda jobs - Engineer jobs in Bethesda, MDSalary Search: AI Engineer salaries in Bethesda, MDSee popular questions & answers about Cornerstone Defense",https://www.indeed.com/rc/clk?jk=61b528624c24ea78&bb=2-pTdUXfxc4X3ZFcSiZsxHmajrN-WjtNdjutQe1lSlcYmOURMnwIafl2WIDAaYD6tXcv8CZQ0KFcX0NQvpQ7uJGeFol18Gw5GXy997jQd4LaYXSooDMXr4hGqvx4UmBV&xkcb=SoA-67M3-uhGd3Qgdx0DbzkdCdPP&fccid=c4dad3c95358e466&vjs=3
Chatbot Developer,ADP,"Roseland, NJ 07068",Not Provided,Full-time,"The HR Technology team is responsible for transforming Human Resources with science, technology and human intelligence.",https://www.indeed.com/rc/clk?jk=d67bcf4a4edb0da6&bb=2-pTdUXfxc4X3ZFcSiZsxIJbiIw31kP3tUhd9BTPr_z7PVcpbXo5Qr2yluBq5dA8nOoXP5oqVcbKd4K0tmwY3om_5JUNpj_IdSbYJwpA7RVMJHkag4BLDw%3D%3D&xkcb=SoCK67M3-uhGd3Qgdx0CbzkdCdPP&fccid=e996c2d6855fe778&vjs=3
AI Data Annotator,Vistatec,United States,Not Provided,Not Provided,"We are seeking Data Annotators to perform annotation tasks on a multitude of English datasets.
These datasets are primarily text-based, but can also include…",https://www.indeed.com/rc/clk?jk=644269f566114edb&bb=2-pTdUXfxc4X3ZFcSiZsxMOSFkAk3zFtB1BWwOjL6xIDh9I-FzB3tFoxlihDASr7RPGH7bUeiE2f8xwMaPAb02_H-Z4lWcW72fGnW-HdsrqXB0330H2Y1A%3D%3D&xkcb=SoAX67M3-uhGd3Qgdx0BbzkdCdPP&fccid=33fede40a40fcf6f&vjs=3
