Job Title,Company,Location,Salary($),Job-Type,Job-Description,Raw_Link
Research Assistant,Virginia Tech,"Blacksburg, VA",$15 - $25 an hour,Part-time,The Department of Computer Science and Professor Yan Chen seek an up and coming web developer to assist with current research projects and initiatives.,https://www.indeed.com/rc/clk?jk=57488c456ca49789&bb=uv_iBv-UnSYZeAxWzDRPxmyVLYXUsT1Wb-Kvv_GuHCVJ_XptVp1fJERNkNUH6SkcfW5juMlqAcwDOg1keeBSADYsmX0b9Lrl-eYIeo7htDRMSEdv4SUYwHh9NV_WUm3e&xkcb=SoAO67M3-ukjTZapFx0LbzkdCdPP&fccid=838875e9df57e8c2&vjs=3
ML Science Manager,Abridge,"Remote in New York, NY","$250,000 - $300,000 a year",Full-time,"Abridge was founded in 2018 with the mission of powering deeper understanding in healthcare.
Our AI-powered platform was purpose-built for medical conversations…",https://www.indeed.com/rc/clk?jk=c80dadea504899f9&bb=uv_iBv-UnSYZeAxWzDRPxr-w_T6OaDXPQjv_57avmsCpVWIRlnDALBwgPQs5KpbY2nbxsrs7I306PKUMvk1S--CSj_wIKsrJybuB4zk8HvwnNoqFhmA1FkPSupndq7Pw&xkcb=SoC667M3-ukjTZapFx0KbzkdCdPP&fccid=5b2e61563c231592&vjs=3
TheGamer | Gaming Tech Writer,TheGamer,Remote,Not Provided,Full-time +1,"This position will operate on a remote, freelance basis.
Are you an experienced writer with a passion for everything gaming?",https://www.indeed.com/rc/clk?jk=ed361b6ee1e74a6e&bb=uv_iBv-UnSYZeAxWzDRPxu96psEcLngIFM0ixdrMZY-LrAjtECgDSXJ2A_BULVmAiEj5hrNYYQkTID_iKCtc44w3U3_mOvW8QGXhj1yErWRIgPz1V26xYKuGsE6deOKR&xkcb=SoAn67M3-ukjTZapFx0JbzkdCdPP&fccid=268ccc0f69b776be&vjs=3
Senior People Data Scientist,Workhuman,"Hybrid work in Framingham, MA",Not Provided,Full-time,"This is a hybrid role, requiring presence in our Framingham office at least two times per week.
The IQ team at Workhuman is seeking a Senior People Data…",https://www.indeed.com/rc/clk?jk=f787544be54285f6&bb=uv_iBv-UnSYZeAxWzDRPxomq8L2AR7Ot3aG21nOH7mctNDjO20ZMKuZ-WLTJaCxonVEJcLf-0KOt-RFmwuEp57ZheGZWmac7vyvYN8y9qCA7cBrxaYfEDyYa15ioy04t&xkcb=SoCT67M3-ukjTZapFx0IbzkdCdPP&fccid=2ee5d5861035d939&vjs=3
"Director, Product Marketing",Automation Anywhere,Remote,Not Provided,Not Provided,"Automation Anywhere is the leader in intelligent automation solutions that put AI to work across every aspect of an organization.
12 holidays off per year.",https://www.indeed.com/rc/clk?jk=849390c34c91459f&bb=uv_iBv-UnSYZeAxWzDRPxocBW0J-Y4CGLeeWA4vJhs7V5azXMLLTLta3VXwfw67c4qVu1yBmXDKjTUA8HTynCaZw_AfS4dzae4KEzbWH3IxBve2_iADCsBTyeW3CdNYC&xkcb=SoAd67M3-ukjTZapFx0PbzkdCdPP&fccid=ab744513af386474&vjs=3
"Director of Product, U-Assist",Uniphore,"Palo Alto, CA","$226,100 - $310,900 a year",Full-time,"Uniphore is one of the largest B2B AI-native companies—decades-proven, built-for-scale and designed for the enterprise.
Own Product Documentation and Demos.",https://www.indeed.com/rc/clk?jk=cc452c9c46fa4e4f&bb=uv_iBv-UnSYZeAxWzDRPxp-GMtQrg6psLnocJzkdeuvAqMsNOhLXiqWnijX4pOlYVe2WmZAbrkln4PFI3uM8iEcC37ccjp2toDnBwEB-36mo4__afmUWSq_Wu817UHo2&xkcb=SoCp67M3-ukjTZapFx0ObzkdCdPP&fccid=34f8c7d77241eaa8&vjs=3
Founding Product Designer,Recruiting From Scratch,Remote,Not Provided,Not Provided,"Who is Recruiting from Scratch:
Recruiting from Scratch is a talent firm that focuses on placing the best candidate for our clients.",https://www.indeed.com/rc/clk?jk=719a869ab626c09d&bb=uv_iBv-UnSYZeAxWzDRPxgH3F2HQURFwPrWG9QUzqKU8cU7FEMv8fWVSXOJAbGPeERO07dY_0MnCWiuNWxypVzs4SUHToAvCcuV9SFzoItlycYCU9V3dW2czNFbper_u&xkcb=SoA067M3-ukjTZapFx0NbzkdCdPP&fccid=09e02654c2f26bbd&vjs=3
Associate II,JSI,"Boston, MA 02210 (South Boston area)","$72,246 - $105,837 a year",Not Provided,"Utilizes emotional intelligence to deeply analyze and understand problems, synthesizing information from multiple sources.
Posting Date: 07/19/2024.",https://www.indeed.com/rc/clk?jk=155657918145705f&bb=uv_iBv-UnSYZeAxWzDRPxtChQlpjtly7xoUd1VhSaBz9C0FJP2-vbAoFMSA5C5Cgw8gadsxL5A8mk-oUECX3kCRtT6Am02QfvR3epKNqg5rCSjQQcxU_-6PpuC7bFPWO&xkcb=SoCA67M3-ukjTZapFx0MbzkdCdPP&fccid=fe36c8f8c4a817e4&vjs=3
AI Engineer,Cornerstone Defense,"Bethesda, MD",Not Provided,Not Provided,"View all Cornerstone Defense jobs in Bethesda, MD - Bethesda jobs - Engineer jobs in Bethesda, MDSalary Search: AI Engineer salaries in Bethesda, MDSee popular questions & answers about Cornerstone Defense",https://www.indeed.com/rc/clk?jk=61b528624c24ea78&bb=uv_iBv-UnSYZeAxWzDRPxvhahM6_4Od_iis83Bdtnknvomc-aCSR4vAce9mwwn5XqgWLPMJoOotNvyJkwUx2jfebauZuLct3fXzCBKuzuPWKs8f3yle6PRy5PvM3-gMX&xkcb=SoBp67M3-ukjTZapFx0DbzkdCdPP&fccid=c4dad3c95358e466&vjs=3
Chatbot Developer,ADP,"Roseland, NJ 07068",Not Provided,Full-time,"The HR Technology team is responsible for transforming Human Resources with science, technology and human intelligence.",https://www.indeed.com/rc/clk?jk=d67bcf4a4edb0da6&bb=uv_iBv-UnSYZeAxWzDRPxj6T7SltfqdR-f-CS8tjQb2n4PG8Unff36y4Q8SBnQHQssOIgmiPVBfpHdtikHMnprh0HQohYlGHwt6C2rd3eVNJxqxUJtXHFA%3D%3D&xkcb=SoDd67M3-ukjTZapFx0CbzkdCdPP&fccid=e996c2d6855fe778&vjs=3
